RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# BIRDIES,GREENS HIT
1,0,01810,Phil Mickelson,3.64,353,969
2,0,01161,Mark Calcavecchia,3.52,321,912
2,0,01706,Davis Love III,3.52,316,899
4,0,09011,David Duval,3.44,294,855
5,0,01378,David Frost,3.42,326,953
6,0,20098,Stuart Appleby,3.41,374,1097
6,0,06527,Steve Stricker,3.41,235,689
8,0,21209,Sergio Garcia,3.39,232,685
8,0,06567,Vijay Singh,3.39,373,1101
10,0,01527,Scott Hoch,3.36,332,989
10,0,02206,David Toms,3.36,404,1203
12,0,01249,John Daly,3.35,325,969
12,0,06251,Chris DiMarco,3.35,421,1258
12,0,11032,Frank Lickliter II,3.35,404,1206
12,0,21949,Joe Ogilvie,3.35,389,1162
12,0,08793,Tiger Woods,3.35,312,932
17,0,10585,Scott McCarron,3.33,394,1184
18,0,07547,Craig Kanada,3.31,280,847
18,0,01945,Kenny Perry,3.31,379,1144
20,0,19846,Brian Gay,3.29,436,1325
20,0,20566,Kaname Yokoo,3.29,313,951
22,0,01666,Bernhard Langer,3.28,230,702
23,0,01941,Tom Pernice Jr.,3.27,385,1176
23,0,20127,Chris Riley,3.27,383,1172
25,0,01320,Bob Estes,3.26,337,1035
25,0,10860,Justin Leonard,3.26,381,1168
25,0,02104,Jeff Sluman,3.26,429,1315
28,0,01024,Billy Andrade,3.25,284,873
28,0,12652,Cameron Beckman,3.25,398,1226
30,0,20593,Greg Chalmers,3.24,341,1054
31,0,02239,Scott Verplank,3.23,382,1183
31,0,02257,Brian Watts,3.23,214,662
33,0,22046,Geoff Ogilvy,3.21,216,673
33,0,07749,Brett Quigley,3.21,242,755
35,0,07457,Steve Flesch,3.20,410,1283
35,0,10809,Jim Furyk,3.20,349,1092
35,0,22892,Jason Gore,3.20,294,919
35,0,02110,Jerry Smith,3.20,350,1093
39,0,01619,Skip Kendall,3.19,415,1302
40,0,01797,Rocco Mediate,3.18,276,869
41,0,20229,Stewart Cink,3.17,370,1168
42,0,01098,Jay Don Blake,3.16,358,1133
42,0,24604,Hunter Haas,3.16,261,825
42,0,06575,Dudley Hart,3.16,279,882
42,0,12680,Shigeki Maruyama,3.16,343,1087
42,0,12753,David Morland IV,3.16,305,965
42,0,06613,Tommy Tolles,3.16,321,1016
48,0,01329,Brad Faxon,3.15,308,979
48,0,12823,Carlos Franco,3.15,309,980
48,0,01577,Lee Janzen,3.15,352,1119
48,0,02106,Chris Smith,3.15,392,1245
52,0,06004,Stephen Ames,3.14,328,1045
52,0,08931,Glen Day,3.14,309,985
52,0,21805,Harrison Frazar,3.14,316,1006
52,0,20043,Edward Fryatt,3.14,330,1051
