RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG (YARDS),TOTAL DISTANCE (INCHES),NUMBER OF APPROACH SHOTS
1,0,30925,Dustin Johnson,156.5,3706219000,658
2,0,45526,Abraham Ancer,157.8,2414747000,425
3,0,25274,Steven Bowditch,157.9,3228809000,568
3,0,32150,Michael Thompson,157.9,3347600000,589
3,0,28114,Dawie van der Walt,157.9,3559430000,626
6,0,33410,Andrew Landry,158.0,2234815000,393
7,0,32876,Martin Piller,158.2,3120803000,548
8,0,33204,Shane Lowry,158.6,2334999000,409
9,0,35300,Andrew Loupe,158.8,3937658000,689
10,0,35879,Kelly Kraft,158.9,2889439000,505
10,0,28092,D.H. Lee,158.9,2883704000,504
12,0,21961,Charles Howell III,159.2,5151680000,899
12,0,35732,Wes Roach,159.2,2722968000,475
14,0,32618,Rhein Gibson,159.4,2858480000,498
14,0,20572,Rod Pampling,159.4,2565205000,447
16,0,22892,Jason Gore,159.6,3935219000,685
17,0,25349,Tim Wilkinson,159.7,3356828000,584
18,0,20104,Ken Duke,159.8,2894016000,503
18,0,34466,Peter Malnati,159.8,4894833000,851
20,0,29745,Tyler Aldridge,159.9,4485172000,779
20,0,34098,Russell Henley,159.9,4691534000,815
20,0,27141,J.B. Holmes,159.9,3683072000,640
20,0,23325,Vaughn Taylor,159.9,4317797000,750
24,0,29720,Andres Gonzales,160.0,4193147000,728
25,0,29974,Branden Grace,160.2,2855435000,495
25,0,35891,Cameron Smith,160.2,2999298000,520
27,0,27936,Martin Laird,160.3,4635250000,803
27,0,34431,Robert Streb,160.3,4332646000,751
27,0,27770,Camilo Villegas,160.3,4680000000,811
30,0,10213,Dicky Pride,160.4,2684276000,465
31,0,33418,Shawn Stefani,160.5,5373472000,930
32,0,35532,Tom Hoge,160.6,4052954000,701
32,0,24781,Hunter Mahan,160.6,3249435000,562
32,0,29485,Brett Stegmaier,160.6,5013934000,867
32,0,27214,Kevin Streelman,160.6,4140453000,716
36,0,33461,Morgan Hoffmann,160.7,3719340000,643
36,0,25804,Bubba Watson,160.7,3331858000,576
38,0,28158,Steve Marino,160.8,3565451000,616
39,0,37189,Harold Varner III,161.2,5078860000,875
40,0,37273,Derek Ernst,161.3,2886735000,497
40,0,33448,Justin Thomas,161.3,4854844000,836
42,0,27644,Brian Harman,161.4,6031572000,1038
42,0,34046,Jordan Spieth,161.4,3731346000,642
44,0,29725,Tony Finau,161.5,5046177000,868
44,0,08075,Jerry Kelly,161.5,4255717000,732
44,0,36699,Patrick Rodgers,161.5,4680337000,805
47,0,28237,Rory McIlroy,161.6,2996548000,515
47,0,30927,Brendon Todd,161.6,3641180000,626
47,0,26289,Boo Weekley,161.6,4606352000,792
50,0,23320,Ryan Palmer,161.7,4937194000,848
51,0,20229,Stewart Cink,161.8,3297070000,566
51,0,28089,Jason Day,161.8,3477921000,597
51,0,33413,Ben Martin,161.8,5080202000,872
51,0,34360,Patrick Reed,161.8,5172778000,888
55,0,29479,Scott Brown,161.9,4667770000,801
55,0,24494,Erik Compton,161.9,3380085000,580
55,0,26758,David Hearn,161.9,5701569000,978
55,0,22046,Geoff Ogilvy,161.9,3358048000,576
55,0,26329,Louis Oosthuizen,161.9,2855938000,490
60,0,25720,Chad Collins,162.0,4339738000,744
60,0,46440,Smylie Kaufman,162.0,4618917000,792
60,0,34261,Scott Langley,162.0,3692520000,633
63,0,25686,Jason Dufner,162.1,5200734000,891
63,0,23353,J.J. Henry,162.1,4253947000,729
63,0,36689,Brooks Koepka,162.1,3741465000,641
63,0,26951,Johnson Wagner,162.1,5071226000,869
67,0,25900,Lucas Glover,162.2,4578960000,784
67,0,33122,Russell Knox,162.2,4448585000,762
67,0,29289,S.Y. Noh,162.2,4518159000,774
67,0,02206,David Toms,162.2,3738235000,640
67,0,25892,Steve Wheatcroft,162.2,4658736000,798
72,0,35539,Luke Guthrie,162.3,3009591000,515
72,0,39975,Michael Kim,162.3,5698193000,975
72,0,24912,Will MacKenzie,162.3,4476723000,766
72,0,30110,Kyle Stanley,162.3,5236523000,896
76,0,34563,Chesson Hadley,162.4,4243828000,726
76,0,25493,Nick Taylor,162.4,4444450000,760
78,0,20098,Stuart Appleby,162.5,4522647000,773
78,0,12716,Charley Hoffman,162.5,4650908000,795
78,0,33667,Carlos Ortiz,162.5,3850318000,658
81,0,23638,Brendon de Jonge,162.6,4385328000,749
81,0,24140,Sean O'Hair,162.6,5473503000,935
81,0,35451,Scott Pinckney,162.6,4625239000,790
81,0,34264,Hudson Swafford,162.6,5919675000,1011
85,0,20472,Alex Cejka,162.7,3560423000,608
86,0,24358,Robert Garrigus,162.8,3487330000,595
86,0,21731,Freddie Jacobson,162.8,4734502000,808
88,0,29268,Bronson Burgoon,162.9,4399610000,750
88,0,27466,Spencer Levin,162.9,5658858000,965
88,0,29461,Jamie Lovemark,162.9,5441479000,928
91,0,37455,Si Woo Kim,163.0,6659764000,1135
91,0,23800,Bryce Molder,163.0,4628913000,789
91,0,25818,Scott Piercy,163.0,4290687000,731
94,0,35545,Blayne Barber,163.1,4884333000,832
94,0,24846,Ricky Barnes,163.1,5324720000,907
96,0,06522,Ernie Els,163.2,3654733000,622
96,0,31416,Derek Fathauer,163.2,4993886000,850
96,0,27649,Brandt Snedeker,163.2,5099602000,868
99,0,10885,Robert Allenby,163.3,2786095000,474
99,0,20157,Retief Goosen,163.3,3291411000,560
101,0,20691,Greg Owen,163.4,4623765000,786
102,0,31557,Jim Herman,163.5,4879345000,829
102,0,30944,Jason Kokrak,163.5,5086840000,864
104,0,32448,James Hahn,163.6,4612505000,783
104,0,30926,Chris Kirk,163.6,5099752000,866
106,0,30163,Henrik Norlander,163.7,3600777000,611
107,0,25240,D.A. Points,163.8,2524412000,428
107,0,30692,Scott Stallings,163.8,4309998000,731
109,0,24924,Bill Haas,163.9,4650260000,788
109,0,29478,Kevin Kisner,163.9,4902681000,831
109,0,25632,Jimmy Walker,163.9,4514651000,765
112,0,23108,Matt Kuchar,164.0,5207864000,882
112,0,06527,Steve Stricker,164.0,3140120000,532
114,0,22371,Aaron Baddeley,164.1,5132254000,869
114,0,12510,Chad Campbell,164.1,5600915000,948
116,0,24357,K.J. Choi,164.2,4557505000,771
116,0,26300,Matt Jones,164.2,4184759000,708
116,0,29518,Brendan Steele,164.2,4669776000,790
119,0,23983,Luke Donald,164.3,4247501000,718
119,0,30711,Colt Knost,164.3,5032801000,851
119,0,29223,Sam Saunders,164.3,3318935000,561
119,0,31323,Gary Woodland,164.3,5341084000,903
123,0,24024,Zach Johnson,164.4,4935900000,834
123,0,28132,Tyrone Van Aswegen,164.4,6091214000,1029
125,0,23541,Ben Crane,164.5,4595661000,776
125,0,34099,Harris English,164.5,4986014000,842
125,0,29222,Billy Hurley III,164.5,4086935000,690
125,0,37454,Whee Kim,164.5,4501207000,760
125,0,29476,Kyle Reifers,164.5,6692171000,1130
125,0,33419,Cameron Tringale,164.5,4564749000,771
131,0,26331,Charl Schwartzel,164.6,3774879000,637
131,0,21878,Mark Wilson,164.6,3927956000,663
133,0,27129,Luke List,164.7,4346661000,733
134,0,33399,Adam Hadwin,164.8,5890936000,993
134,0,06567,Vijay Singh,164.8,4277560000,721
136,0,34409,David Lingmerth,164.9,4109134000,692
136,0,32640,Troy Merritt,164.9,4345332000,732
136,0,26476,Chez Reavie,164.9,5300071000,893
139,0,32102,Rickie Fowler,165.0,4520547000,761
