RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# HOLES
1,22,01690,Bruce Lietzke,72.60,967,1332
2,30,01385,Jim Gallagher Jr.,71.01,1470,2070
3,32,01060,Dave Barr,70.17,1162,1656
4,32,01725,John Mahaffey,70.01,1328,1897
5,33,02118,J.C. Snead,69.77,1080,1548
6,33,02087,Don Shirey Jr.,69.48,1038,1494
7,33,02033,Dave Rummells,69.44,1225,1764
7,33,02170,Hal Sutton,69.44,1250,1800
9,45,01682,Wayne Levi,69.38,1074,1548
10,45,01837,Gil Morgan,69.36,1064,1534
11,45,01035,Tommy Armour III,69.27,1328,1917
12,45,02100,Tim Simpson,69.02,1348,1953
13,45,01042,Paul Azinger,69.00,1155,1674
14,45,01783,Mark McCumber,68.87,843,1224
14,45,01797,Rocco Mediate,68.87,1252,1818
16,45,01201,Lennie Clements,68.83,1016,1476
17,46,01876,Greg Norman,68.73,767,1116
18,46,01510,Nolan Henke,68.65,865,1260
19,46,02185,Lance Ten Broeck,68.59,987,1439
20,46,01418,Bill Glasson,68.54,987,1440
21,46,02067,Ted Schulz,68.52,1406,2052
22,47,02321,Fuzzy Zoeller,68.34,816,1194
23,47,06284,Jim Hallet,68.32,1365,1998
24,47,01938,David Peoples,68.31,750,1098
25,47,01945,Kenny Perry,68.21,1019,1494
26,47,01154,Bill Buttner,68.19,1031,1512
27,48,01133,Billy Ray Brown,68.12,1124,1650
28,49,01282,Trevor Dodds,68.01,710,1044
29,49,01633,Tom Kite,67.92,1088,1602
29,49,02133,Craig Stadler,67.92,978,1440
31,49,01143,Brad Bryant,67.90,1271,1872
32,49,01151,Clark Burroughs,67.83,818,1206
33,49,01941,Tom Pernice Jr.,67.81,769,1134
34,49,01307,Joel Edwards,67.73,829,1224
35,49,02146,Payne Stewart,67.72,1028,1518
36,49,01559,Hale Irwin,67.64,767,1134
37,49,01975,Tom Purtzer,67.59,949,1404
38,49,01098,Jay Don Blake,67.52,1054,1561
