RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,0,28089,Jason Day,2.118,114.345,53.300,61.042,54
2,0,30925,Dustin Johnson,1.928,121.436,103.706,17.729,63
3,0,24502,Adam Scott,1.894,106.049,115.451,-9.406,56
4,0,28237,Rory McIlroy,1.681,80.664,90.600,-9.939,48
5,0,34046,Jordan Spieth,1.569,91.007,47.052,43.954,58
6,0,32102,Rickie Fowler,1.378,88.176,78.366,9.807,64
7,0,25364,Paul Casey,1.372,78.202,71.815,6.384,57
8,0,01810,Phil Mickelson,1.364,80.465,47.128,33.335,59
9,0,23108,Matt Kuchar,1.314,101.155,71.814,29.342,77
10,0,32839,Hideki Matsuyama,1.290,74.811,76.281,-1.472,58
11,0,22405,Justin Rose,1.128,55.269,64.906,-9.639,49
12,0,36689,Brooks Koepka,1.092,65.547,38.862,26.681,60
13,0,26331,Charl Schwartzel,1.043,58.409,66.059,-7.649,56
14,0,34360,Patrick Reed,1.026,80.018,58.213,21.805,78
15,0,25804,Bubba Watson,.992,50.598,69.290,-18.693,51
16,0,27649,Brandt Snedeker,.968,72.577,42.974,29.605,75
17,0,31202,William McGirt,.958,84.268,52.598,31.667,88
18,0,31323,Gary Woodland,.903,70.408,83.043,-12.638,78
19,0,26596,Ryan Moore,.895,58.170,35.337,22.831,65
20,0,40026,Daniel Berger,.893,64.310,51.681,12.627,72
21,0,25632,Jimmy Walker,.892,63.348,47.610,15.737,71
22,0,29974,Branden Grace,.855,35.923,40.325,-4.403,42
23,0,26329,Louis Oosthuizen,.836,35.110,36.007,-.898,42
24,0,29420,Billy Horschel,.829,47.250,40.844,6.405,57
25,0,21209,Sergio Garcia,.801,24.818,36.845,-12.029,31
26,0,23320,Ryan Palmer,.774,60.360,67.673,-7.314,78
27,0,32366,Kevin Chappell,.770,60.076,84.022,-23.948,78
28,0,06527,Steve Stricker,.721,32.433,4.539,27.895,45
29,0,21961,Charles Howell III,.701,55.370,43.367,11.999,79
30,0,33204,Shane Lowry,.669,24.752,20.572,4.180,37
31,0,29221,Webb Simpson,.667,38.703,66.647,-27.946,58
32,0,30926,Chris Kirk,.653,48.356,48.822,-.466,74
33,0,20472,Alex Cejka,.642,32.717,32.184,.527,51
34,0,24358,Robert Garrigus,.637,35.010,45.984,-10.975,55
35,0,34099,Harris English,.634,46.258,2.927,43.331,73
36,0,25396,Kevin Na,.627,43.284,38.144,5.140,69
37,0,20157,Retief Goosen,.613,29.402,7.243,22.157,48
38,0,24024,Zach Johnson,.609,44.452,15.635,28.816,73
39,0,32200,Roberto Castro,.587,51.649,74.291,-22.642,88
40,0,25900,Lucas Glover,.572,38.306,51.171,-12.866,67
41,0,27064,Jhonattan Vegas,.571,46.211,40.372,5.836,81
42,0,25198,Francesco Molinari,.562,32.042,48.935,-16.896,57
43,0,25349,Tim Wilkinson,.561,28.056,11.279,16.775,50
44,0,34098,Russell Henley,.560,38.611,25.283,13.327,69
45,0,29478,Kevin Kisner,.548,39.993,-9.059,49.051,73
46,0,12510,Chad Campbell,.544,43.528,61.400,-17.875,80
47,0,23800,Bryce Molder,.540,36.178,-.885,37.064,67
48,0,10809,Jim Furyk,.530,23.316,20.351,2.965,44
49,0,26758,David Hearn,.525,43.070,25.505,17.563,82
49,0,12716,Charley Hoffman,.525,37.274,43.791,-6.516,71
49,0,30944,Jason Kokrak,.525,39.366,60.993,-21.628,75
52,0,24924,Bill Haas,.519,33.203,44.357,-11.157,64
52,0,33399,Adam Hadwin,.519,45.700,-.977,46.675,88
54,0,26851,Marc Leishman,.510,33.118,16.766,16.350,65
55,0,33122,Russell Knox,.506,32.876,36.373,-3.500,65
56,0,27141,J.B. Holmes,.504,30.749,38.635,-7.886,61
56,0,29461,Jamie Lovemark,.504,41.868,30.957,10.909,83
58,0,37455,Si Woo Kim,.503,49.825,59.872,-10.050,99
59,0,26476,Chez Reavie,.500,37.963,57.877,-19.913,76
60,0,25686,Jason Dufner,.488,38.534,66.397,-27.865,79
61,0,31646,Emiliano Grillo,.479,34.949,39.004,-4.058,73
62,0,20645,John Senden,.451,35.662,10.307,25.352,79
63,0,27129,Luke List,.436,28.364,46.100,-17.737,65
64,0,32757,Patton Kizzire,.403,30.205,-2.952,33.154,75
65,0,02206,David Toms,.380,20.523,13.375,7.145,54
66,0,23983,Luke Donald,.378,22.308,13.546,8.761,59
67,0,24140,Sean O'Hair,.371,31.161,13.685,17.474,84
68,0,26951,Johnson Wagner,.368,27.996,7.265,20.728,76
69,0,29222,Billy Hurley III,.348,20.559,-4.963,25.520,59
70,0,46440,Smylie Kaufman,.344,24.741,16.631,8.107,72
71,0,33448,Justin Thomas,.320,24.034,37.927,-13.896,75
72,0,30711,Colt Knost,.318,22.586,-5.470,28.051,71
73,0,36699,Patrick Rodgers,.311,22.099,35.814,-13.719,71
74,0,27936,Martin Laird,.306,21.713,10.510,11.202,71
75,0,33141,Keegan Bradley,.298,18.777,58.524,-39.747,63
75,0,34264,Hudson Swafford,.298,27.408,8.542,18.864,92
77,0,24846,Ricky Barnes,.295,23.560,-7.268,30.827,80
78,0,29926,Danny Lee,.268,19.052,34.748,-15.698,71
79,0,34409,David Lingmerth,.261,15.659,12.382,3.274,60
80,0,22371,Aaron Baddeley,.257,19.250,-24.713,43.961,75
81,0,29518,Brendan Steele,.255,17.624,37.391,-19.769,69
82,0,27466,Spencer Levin,.238,19.517,18.819,.696,82
83,0,25834,Daniel Summerhays,.236,18.619,-28.130,46.747,79
84,0,34431,Robert Streb,.210,13.857,40.019,-26.163,66
85,0,24357,K.J. Choi,.204,13.662,-9.740,23.403,67
86,0,23541,Ben Crane,.202,13.346,-1.815,15.160,66
87,0,25818,Scott Piercy,.187,12.175,31.141,-18.967,65
88,0,29476,Kyle Reifers,.177,17.143,5.525,11.617,97
89,0,20098,Stuart Appleby,.176,11.639,-1.650,13.289,66
89,0,30110,Kyle Stanley,.176,13.910,22.009,-8.100,79
91,0,27644,Brian Harman,.169,15.534,-27.230,42.762,92
92,0,08075,Jerry Kelly,.167,10.027,22.875,-12.848,60
93,0,24461,Thomas Aiken,.156,7.464,7.181,.284,48
94,0,30692,Scott Stallings,.138,8.666,27.888,-19.225,63
95,0,29725,Tony Finau,.128,9.997,16.832,-6.838,78
95,0,06567,Vijay Singh,.128,8.342,14.431,-6.090,65
97,0,27214,Kevin Streelman,.124,7.932,28.794,-20.863,64
97,0,37189,Harold Varner III,.124,9.900,38.489,-28.590,80
99,0,27963,Chris Stroud,.121,8.374,-2.006,10.380,69
100,0,27436,Graham DeLaet,.120,7.081,20.450,-13.371,59
101,0,35545,Blayne Barber,.099,7.319,6.541,.776,74
102,0,26289,Boo Weekley,.082,5.822,21.797,-15.978,71
103,0,21731,Freddie Jacobson,.072,5.214,-29.827,35.039,72
104,0,31420,Anirban Lahiri,.068,3.244,4.203,-.959,48
105,0,30163,Henrik Norlander,.063,3.356,1.262,2.092,53
106,0,20229,Stewart Cink,.062,3.014,22.528,-19.512,49
107,0,35879,Kelly Kraft,.058,2.601,-6.702,9.302,45
108,0,34262,Jon Curran,.053,4.449,-29.744,34.190,84
109,0,29485,Brett Stegmaier,.048,3.602,8.144,-4.545,75
110,0,23325,Vaughn Taylor,.033,2.222,30.611,-28.391,67
111,0,29289,S.Y. Noh,.026,1.821,-10.297,12.116,69
112,0,33413,Ben Martin,.023,1.813,-9.392,11.202,80
113,0,29479,Scott Brown,.011,.767,.033,.734,70
114,0,27974,Sung Kang,.004,.285,-13.321,13.606,73
115,0,28132,Tyrone Van Aswegen,-.009,-.791,4.855,-5.648,88
116,0,06522,Ernie Els,-.024,-1.321,-23.983,22.659,56
116,0,33419,Cameron Tringale,-.024,-1.683,-5.687,4.003,70
118,0,28679,Fabián Gómez,-.037,-2.672,-18.190,15.516,73
119,0,33410,Andrew Landry,-.040,-1.325,-22.916,21.591,33
120,0,34174,John Huh,-.051,-4.033,10.748,-14.782,79
121,0,20766,Padraig Harrington,-.067,-2.966,12.085,-15.051,44
122,0,25493,Nick Taylor,-.068,-4.465,5.695,-10.160,66
123,0,32150,Michael Thompson,-.072,-3.904,4.273,-8.180,54
124,0,27895,Jonas Blixt,-.086,-5.866,-41.677,35.810,68
125,0,34265,Will Wilcox,-.089,-5.074,-3.544,-1.533,57
126,0,31560,Brian Stuard,-.093,-5.554,-4.215,-1.340,60
127,0,35300,Andrew Loupe,-.115,-7.682,-26.449,18.765,67
128,0,33461,Morgan Hoffmann,-.116,-6.839,-19.132,12.291,59
129,0,33418,Shawn Stefani,-.144,-11.101,14.737,-25.840,77
130,0,39975,Michael Kim,-.147,-12.632,-36.340,23.706,86
131,0,25572,Graeme McDowell,-.178,-8.028,.936,-8.967,45
132,0,22046,Geoff Ogilvy,-.187,-9.374,12.473,-21.846,50
133,0,34563,Chesson Hadley,-.196,-13.137,-.250,-12.889,67
134,0,32448,James Hahn,-.199,-13.943,3.043,-16.989,70
135,0,29268,Bronson Burgoon,-.200,-13.032,-13.179,.145,65
136,0,31557,Jim Herman,-.207,-14.676,7.888,-22.564,71
137,0,37454,Whee Kim,-.209,-13.590,.618,-14.208,65
138,0,36801,Mark Hubbard,-.216,-17.900,-40.447,22.546,83
139,0,24507,Jason Bohn,-.220,-12.957,-14.869,1.909,59
140,0,25892,Steve Wheatcroft,-.221,-15.477,-26.218,10.738,70
141,0,29223,Sam Saunders,-.232,-11.837,-14.920,3.082,51
142,0,29745,Tyler Aldridge,-.240,-16.062,-7.384,-8.682,67
143,0,28114,Dawie van der Walt,-.274,-15.357,-11.918,-3.442,56
144,0,27942,Rob Oppenheim,-.298,-15.200,-13.271,-1.931,51
145,0,24912,Will MacKenzie,-.304,-20.047,11.597,-31.646,66
146,0,35732,Wes Roach,-.316,-13.568,-26.447,12.878,43
147,0,35532,Tom Hoge,-.323,-20.359,-15.981,-4.381,63
148,0,26300,Matt Jones,-.324,-20.426,-.670,-19.755,63
149,0,35451,Scott Pinckney,-.325,-23.102,-18.590,-4.514,71
150,0,23638,Brendon de Jonge,-.332,-21.612,-31.739,10.126,65
151,0,32640,Troy Merritt,-.364,-23.679,-39.507,15.828,65
152,0,27770,Camilo Villegas,-.369,-26.190,-40.585,14.392,71
153,0,40058,Zac Blair,-.370,-29.953,-45.760,15.806,81
154,0,25240,D.A. Points,-.406,-15.833,7.413,-23.247,39
155,0,20572,Rod Pampling,-.426,-15.780,1.810,-17.590,37
156,0,31416,Derek Fathauer,-.435,-33.022,-60.078,27.054,76
157,0,35539,Luke Guthrie,-.444,-19.968,-38.137,18.169,45
158,0,25720,Chad Collins,-.452,-28.942,-28.670,-.273,64
159,0,20691,Greg Owen,-.453,-31.289,36.847,-68.137,69
160,0,29720,Andres Gonzales,-.462,-29.552,-30.019,.466,64
161,0,32876,Martin Piller,-.479,-22.494,-46.852,24.357,47
162,0,28158,Steve Marino,-.487,-27.295,-31.072,3.776,56
163,0,28475,Jeff Overton,-.492,-28.548,-4.419,-24.134,58
164,0,21878,Mark Wilson,-.554,-30.481,-21.951,-8.532,55
165,0,22892,Jason Gore,-.558,-33.491,-26.930,-6.561,60
166,0,34261,Scott Langley,-.594,-31.467,-33.863,2.395,53
167,0,27747,Hiroshi Iwata,-.643,-43.097,-54.743,11.645,67
168,0,34466,Peter Malnati,-.652,-48.235,-84.588,36.352,74
169,0,37273,Derek Ernst,-.683,-29.374,-5.468,-23.907,43
170,0,24494,Erik Compton,-.687,-35.021,-32.965,-2.058,51
171,0,32618,Rhein Gibson,-.708,-31.168,-19.463,-11.705,44
172,0,33667,Carlos Ortiz,-.723,-44.133,-29.357,-14.777,61
173,0,45526,Abraham Ancer,-.727,-27.640,-11.660,-15.980,38
174,0,20104,Ken Duke,-.734,-35.238,-10.092,-25.147,48
174,0,23353,J.J. Henry,-.734,-44.772,-28.378,-16.396,61
176,0,35891,Cameron Smith,-.763,-35.095,-32.475,-2.619,46
177,0,24781,Hunter Mahan,-.779,-38.961,-51.624,12.663,50
178,0,24490,George McNeill,-.791,-36.378,-14.065,-22.315,46
179,0,10213,Dicky Pride,-.830,-34.015,-39.915,5.901,41
180,0,20848,Ángel Cabrera,-1.164,-57.015,-40.030,-16.986,49
181,0,23621,Rory Sabbatini,-1.403,-54.728,-17.894,-36.836,39
182,0,30927,Brendon Todd,-1.593,-86.026,-110.968,24.939,54
183,0,28092,D.H. Lee,-1.778,-81.801,-83.752,1.949,46
184,0,10885,Robert Allenby,-1.950,-79.953,-59.839,-20.117,41
185,0,25274,Steven Bowditch,-3.209,-176.506,-183.718,7.212,55
