RANK,MOVEMENT,PLAYER_ID,PLAYER,BEST STREAK
1,0,01945,Kenny Perry,11
2,0,27214,Kevin Streelman,10
3,0,01035,Tommy Armour III,9
3,0,12510,Chad Campbell,9
5,0,20104,Ken Duke,8
5,0,19846,Brian Gay,8
5,0,26695,Michael Letzig,8
5,0,01706,Davis Love III,8
5,0,24490,George McNeill,8
5,0,06595,Kevin Sutherland,8
5,0,25804,Bubba Watson,8
5,0,10423,Mike Weir,8
13,0,07867,Woody Austin,7
13,0,23541,Ben Crane,7
13,0,24924,Bill Haas,7
13,0,10860,Justin Leonard,7
13,0,26476,Chez Reavie,7
13,0,23621,Rory Sabbatini,7
13,0,27963,Chris Stroud,7
13,0,26668,Marc Turnesa,7
13,0,23623,Bo Van Pelt,7
22,0,12823,Carlos Franco,6
22,0,20433,Mark Hensby,6
22,0,30925,Dustin Johnson,6
22,0,24024,Zach Johnson,6
22,0,29718,Anthony Kim,6
22,0,28475,Jeff Overton,6
22,0,22548,Patrick Sheehan,6
22,0,02223,Bob Tway,6
22,0,27095,Nick Watney,6
22,0,20160,Charlie Wi,6
32,0,21633,Steve Allan,5
32,0,10885,Robert Allenby,5
32,0,06004,Stephen Ames,5
32,0,01024,Billy Andrade,5
32,0,20498,Briny Baird,5
32,0,12652,Cameron Beckman,5
32,0,10505,Shane Bertsch,5
32,0,01142,Bart Bryant,5
32,0,24357,K.J. Choi,5
32,0,20850,Daniel Chopra,5
32,0,20229,Stewart Cink,5
32,0,25720,Chad Collins,5
32,0,21753,Brian Davis,5
32,0,08931,Glen Day,5
32,0,06621,Joe Durant,5
32,0,23125,Brad Elder,5
32,0,01313,Steve Elkington,5
32,0,01388,Robert Gamez,5
32,0,20574,Mathew Goggin,5
32,0,22892,Jason Gore,5
32,0,06575,Dudley Hart,5
32,0,12782,Tim Herron,5
32,0,12716,Charley Hoffman,5
32,0,06573,Brandt Jobe,5
32,0,06012,Greg Kraft,5
32,0,23108,Matt Kuchar,5
32,0,24781,Hunter Mahan,5
32,0,28158,Steve Marino,5
32,0,01766,Billy Mayfair,5
32,0,24449,Parker McLachlin,5
32,0,26596,Ryan Moore,5
32,0,22348,Nick O'Hern,5
32,0,20572,Rod Pampling,5
