RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS
1,0,02206,David Toms,2165147
2,0,01320,Bob Estes,1743292
3,0,02239,Scott Verplank,1325280
4,0,06251,Chris DiMarco,1259239
5,0,08793,Tiger Woods,1231466
6,0,10809,Jim Furyk,1157329
7,0,10423,Mike Weir,1129450
8,0,10885,Robert Allenby,1042264
9,0,01706,Davis Love III,1031867
10,0,10860,Justin Leonard,967081
11,0,01945,Kenny Perry,910715
12,0,01707,Steve Lowery,851417
13,0,01307,Joel Edwards,843501
14,0,01810,Phil Mickelson,783900
15,0,19972,José Coceres,783707
16,0,09011,David Duval,717467
17,0,12652,Cameron Beckman,715152
18,0,21961,Charles Howell III,630926
19,0,23353,J.J. Henry,627579
20,0,06522,Ernie Els,627167
21,0,01219,John Cook,625522
22,0,01677,Tom Lehman,569733
23,0,02214,Kirk Triplett,557248
24,0,01381,Fred Funk,526790
25,0,21209,Sergio Garcia,523700
26,0,23108,Matt Kuchar,500616
27,0,10585,Scott McCarron,471851
28,0,20127,Chris Riley,465591
29,0,07457,Steve Flesch,458001
30,0,20098,Stuart Appleby,448954
31,0,23621,Rory Sabbatini,431941
32,0,01968,Nick Price,427174
33,0,19846,Brian Gay,422430
34,0,06332,Neal Lancaster,415261
35,0,06567,Vijay Singh,401572
36,0,02110,Jerry Smith,400273
37,0,02101,Joey Sindelar,388800
38,0,01249,John Daly,371195
39,0,01823,Larry Mize,369412
40,0,01042,Paul Azinger,366628
41,0,08075,Jerry Kelly,362776
42,0,01161,Mark Calcavecchia,357364
43,0,12660,Jesper Parnevik,341857
44,0,01797,Rocco Mediate,341344
45,0,20229,Stewart Cink,339773
46,0,06595,Kevin Sutherland,328750
47,0,01938,David Peoples,319950
48,0,10201,Matt Gogel,317350
49,0,06575,Dudley Hart,305867
50,0,01313,Steve Elkington,304387
51,0,01527,Scott Hoch,299333
52,0,02223,Bob Tway,296856
53,0,01619,Skip Kendall,288601
54,0,06078,Esteban Toledo,287077
55,0,01666,Bernhard Langer,269464
56,0,01766,Billy Mayfair,259470
57,0,12510,Chad Campbell,259200
58,0,01724,Jeff Maggert,257390
59,0,12645,Brent Geiberger,255913
60,0,19817,Michael Muehr,248476
61,0,02104,Jeff Sluman,242840
62,0,12823,Carlos Franco,236989
63,0,07749,Brett Quigley,236642
64,0,02170,Hal Sutton,232114
65,0,24357,K.J. Choi,225174
66,0,01361,Dan Forsman,223050
67,0,20218,Shingo Katayama,222500
68,0,23800,Bryce Molder,211105
69,0,01378,David Frost,210819
70,0,23338,David Gossett,209049
71,0,01941,Tom Pernice Jr.,207563
72,0,20095,Carl Paulson,206157
73,0,10425,Jay Williamson,205094
74,0,20566,Kaname Yokoo,204983
75,0,12680,Shigeki Maruyama,203716
76,0,01887,Mark O'Meara,198779
77,0,12760,Danny Ellis,195187
78,0,11032,Frank Lickliter II,194344
79,0,02010,Loren Roberts,193613
80,0,10912,Craig Perks,193085
81,0,01024,Billy Andrade,192820
82,0,01761,Len Mattiace,192342
83,0,08545,Glen Hnatiuk,183738
84,0,01157,Tom Byrum,183724
85,0,08633,Per-Ulrik Johansson,181567
86,0,10565,Ian Leggatt,177412
87,0,12753,David Morland IV,175393
88,0,06613,Tommy Tolles,172383
89,0,02002,John Riegger,168509
90,0,01329,Brad Faxon,167630
91,0,06012,Greg Kraft,167016
92,0,10213,Dicky Pride,159219
93,0,20043,Edward Fryatt,155813
94,0,07003,David Berganio Jr.,155115
95,0,20094,Jonathan Kaye,152058
96,0,20157,Retief Goosen,152000
97,0,01577,Lee Janzen,148246
98,0,06621,Joe Durant,148010
99,0,06527,Steve Stricker,147502
100,0,21806,Paul Gow,145582
101,0,01457,Jay Haas,144270
102,0,12782,Tim Herron,143088
103,0,11011,Mike Sposa,142063
104,0,10963,Jimmy Green,141563
105,0,07867,Woody Austin,139162
106,0,08881,Tripp Isenhour,138338
107,0,01920,Craig Parry,135563
108,0,02246,Duffy Waldorf,134880
109,0,20498,Briny Baird,134540
110,0,02245,Grant Waite,132579
111,0,01374,Robin Freeman,130481
112,0,06809,Bob Burns,129688
113,0,01685,J.L. Lewis,123910
114,0,01553,John Huston,123765
115,0,08537,J.P. Hayes,120801
116,0,08553,Lee Porter,120643
117,0,06090,Jim McGovern,120194
118,0,06350,Bob May,120135
119,0,01203,Russ Cochran,114719
120,0,23614,Rich Beem,114270
121,0,02106,Chris Smith,114248
122,0,08057,Brian Wilson,112440
123,0,08375,Paul Stankowski,111619
124,0,06617,Brian Henninger,110219
125,0,20766,Padraig Harrington,107725
126,0,21949,Joe Ogilvie,105380
127,0,01139,Olin Browne,105158
128,0,01487,Jeff Hart,102666
129,0,01098,Jay Don Blake,101400
130,0,20593,Greg Chalmers,100061
131,0,02294,Willie Wood,96419
132,0,06515,Shaun Micheel,91575
133,0,08931,Glen Day,90344
134,0,01388,Robert Gamez,89695
135,0,23034,Brent Schwarzrock,88085
136,0,01175,Jim Carter,82850
137,0,01035,Tommy Armour III,82644
138,0,06004,Stephen Ames,82400
139,0,23983,Luke Donald,80747
140,0,01014,Fulton Allem,78740
141,0,01927,Dennis Paulson,78381
142,0,12714,Chris Tidland,76084
143,0,22892,Jason Gore,74610
144,0,01132,Mark Brooks,72685
145,0,01723,Andrew Magee,72280
146,0,02257,Brian Watts,66264
147,0,06315,Pete Jordan,66097
148,0,01928,Corey Pavin,62976
149,0,01876,Greg Norman,62438
150,0,02218,Ted Tryba,62309
151,0,06573,Brandt Jobe,61595
152,0,06220,Jaxon Brigman,61500
153,0,19881,Robert Damron,59740
154,0,06431,Jean Van de Velde,58971
155,0,07101,Dave Stockton Jr.,57643
156,0,22051,Ben Ferguson,56916
157,0,01771,Blaine McCallister,53765
158,0,01226,Fred Couples,52918
159,0,19824,Craig Barlow,51628
160,0,23125,Brad Elder,50814
161,0,08123,Jeff Brehaut,49937
162,0,10649,Tom Scherrer,46222
163,0,22293,Heath Slocum,45670
164,0,06034,Marco Dawson,44931
165,0,12461,Paul McGinley,44286
166,0,22122,Andrew McLardy,42838
167,0,02099,Scott Simpson,42496
168,0,01926,Steve Pate,40999
