RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,YEAR/TOURN#,ROUND,HOLE
1,0,24024,Zach Johnson,92' 11",U.S. Open(2020),3,4 - Par 4 -
2,0,23623,Bo Van Pelt,91' 7",Wells Fargo,1,1 - Par 4 -
3,0,33667,Carlos Ortiz,82' 7",WGC-Workday,4,18 - Par 4
4,0,48081,Xander Schauffele,81' 6",Sentry,2,18 - Par 5
5,0,49960,Sepp Straka,79' 0",Genesis,1,8 - Par 4 -
6,0,40026,Daniel Berger,76' 11",WGC-FedEx,1,15 - Par 4
7,0,32254,Xinjun Zhang,74' 4",Honda,1,2 - Par 4 -
8,0,27408,Martin Kaymer,73' 9",Honda,2,12 - Par 4
9,0,32757,Patton Kizzire,73' 2",Valspar,1,5 - Par 5 -
10,0,47591,Eric Cole,72' 6",U.S. Open(2021),1,13 - Par 5
11,0,23638,Brendon de Jonge,71' 3",Palmetto,2,15 - Par 4
12,0,49766,Hank Lebioda,70' 5",3M Open,1,13 - Par 3
13,0,27141,J.B. Holmes,69' 6",Sanderson Farms,4,7 - Par 3 -
14,0,30110,Kyle Stanley,69' 1",Genesis,2,13 - Par 4
15,0,20766,Padraig Harrington,68' 4",Arnold Palmer,3,18 - Par 4
16,0,33399,Adam Hadwin,68' 2",U.S. Open(2021),1,5 - Par 4 -
17,0,12716,Charley Hoffman,68' 0",Pebble Beach,2,9 - Par 4 -
18,0,47987,Cole Hammer,67' 3",U.S. Open(2020),2,1 - Par 4 -
19,0,33293,Thomas Pieters,66' 10",PGA Champ,2,6 - Par 4 -
20,0,23108,Matt Kuchar,66' 10",3M Open,1,13 - Par 3
21,0,27556,Ted Potter Jr.,66' 8",Honda,3,8 - Par 4 -
22,0,31323,Gary Woodland,66' 7",PGA Champ,3,4 - Par 4 -
23,0,29479,Scott Brown,66' 6",Byron Nelson,1,3 - Par 4 -
24,0,24138,Ian Poulter,66' 1",Arnold Palmer,4,2 - Par 3 -
25,0,47483,Will Zalatoris,66' 1",THE PLAYERS,4,11 - Par 5
26,0,56762,Will Gordon,65' 9",Arnold Palmer,4,2 - Par 3 -
27,0,27129,Luke List,65' 2",Phoenix Open,4,3 - Par 5 -
28,0,29974,Branden Grace,65' 1",THE PLAYERS,1,4 - Par 4 -
29,0,34213,Grayson Murray,64' 11",Barbasol,1,15 - Par 5
30,0,26300,Matt Jones,64' 10",BMW Champ,1,4 - Par 5 -
31,0,45734,John Catlin,64' 5",PGA Champ,2,5 - Par 3 -
32,0,32816,Satoshi Kodaira,64' 5",3M Open,1,14 - Par 4
33,0,33597,Harry Higgs,64' 0",PGA Champ,2,18 - Par 4
34,0,33490,Bo Hoag,63' 11",Byron Nelson,3,15 - Par 3
35,0,31560,Brian Stuard,63' 9",John Deere,3,7 - Par 3 -
36,0,01810,Phil Mickelson,63' 8",Travelers,1,9 - Par 4 -
37,0,53165,Doc Redman,63' 7",Wells Fargo,1,17 - Par 3
38,0,45486,Joaquin Niemann,63' 5",U.S. Open(2020),3,13 - Par 3
39,0,39977,Max Homa,62' 9",Arnold Palmer,4,1 - Par 4 -
40,0,27064,Jhonattan Vegas,62' 6",THE PLAYERS,2,1 - Par 4 -
41,0,35450,Patrick Cantlay,62' 3",Shriners,1,8 - Par 3 -
42,0,26476,Chez Reavie,62' 3",Phoenix Open,1,5 - Par 4 -
43,0,40009,Dominic Bozzelli,62' 3",3M Open,2,6 - Par 5 -
44,0,49964,Aaron Wise,62' 2",PGA Champ,3,8 - Par 3 -
45,0,19846,Brian Gay,62' 0",PGA Champ,1,5 - Par 3 -
46,0,35506,Mackenzie Hughes,61' 8",U.S. Open(2021),3,13 - Par 5
