RANK,MOVEMENT,PLAYER_ID,PLAYER,MONEY
1,0,08793,Tiger Woods,$120851706
2,0,01810,Phil Mickelson,$94814452
3,0,30925,Dustin Johnson,$72594310
4,0,10809,Jim Furyk,$71479894
5,0,06567,Vijay Singh,$71236216
6,0,28237,Rory McIlroy,$57519984
7,0,24502,Adam Scott,$56960400
8,0,22405,Justin Rose,$55757245
9,0,21209,Sergio Garcia,$53537052
10,0,23108,Matt Kuchar,$52867169
11,0,06522,Ernie Els,$49339400
12,0,28089,Jason Day,$49004626
13,0,34046,Jordan Spieth,$47750891
14,0,25804,Bubba Watson,$47439129
15,0,24024,Zach Johnson,$47138301
16,0,01706,Davis Love III,$44944195
17,0,06527,Steve Stricker,$44936354
18,0,33448,Justin Thomas,$44085824
19,0,29221,Webb Simpson,$43196393
20,0,02206,David Toms,$41901709
21,0,20229,Stewart Cink,$41757459
22,0,21961,Charles Howell III,$40999456
23,0,27649,Brandt Snedeker,$40169141
24,0,32102,Rickie Fowler,$39990482
25,0,23983,Luke Donald,$36796359
26,0,36689,Brooks Koepka,$36670172
27,0,25396,Kevin Na,$36664125
28,0,34360,Patrick Reed,$35505096
29,0,23621,Rory Sabbatini,$35341989
30,0,25364,Paul Casey,$34879789
31,0,32839,Hideki Matsuyama,$34513127
32,0,10860,Justin Leonard,$33884793
33,0,26851,Marc Leishman,$33201264
34,0,24357,K.J. Choi,$32803596
35,0,26596,Ryan Moore,$32222361
36,0,01945,Kenny Perry,$32123130
37,0,12716,Charley Hoffman,$31930223
38,0,21528,Henrik Stenson,$31807607
39,0,20157,Retief Goosen,$31301518
40,0,23320,Ryan Palmer,$31080765
41,0,24781,Hunter Mahan,$30786458
42,0,22046,Geoff Ogilvy,$30453426
43,0,24924,Bill Haas,$30374350
44,0,20098,Stuart Appleby,$29828521
45,0,46970,Jon Rahm,$29775822
46,0,31323,Gary Woodland,$29174618
47,0,08075,Jerry Kelly,$29053709
48,0,29420,Billy Horschel,$28431234
49,0,10423,Mike Weir,$28021982
50,0,27095,Nick Watney,$27977395
51,0,33141,Keegan Bradley,$27909071
52,0,24361,Pat Perez,$27758179
53,0,24138,Ian Poulter,$27672528
54,0,25686,Jason Dufner,$27664059
55,0,26329,Louis Oosthuizen,$27622623
56,0,02239,Scott Verplank,$27500225
57,0,10885,Robert Allenby,$27492076
58,0,12510,Chad Campbell,$26817362
59,0,25632,Jimmy Walker,$26378910
60,0,25900,Lucas Glover,$26062359
61,0,47959,Bryson DeChambeau,$25999307
62,0,27141,J.B. Holmes,$25772908
63,0,20766,Padraig Harrington,$25586584
64,0,29725,Tony Finau,$25393467
65,0,29478,Kevin Kisner,$25016649
66,0,24140,Sean O'Hair,$24373378
67,0,01161,Mark Calcavecchia,$24216436
68,0,23135,Tim Clark,$23942321
69,0,19846,Brian Gay,$23819103
70,0,27214,Kevin Streelman,$23480262
71,0,20396,Lee Westwood,$23459451
72,0,48081,Xander Schauffele,$23023958
73,0,01226,Fred Couples,$22814254
74,0,25345,Carl Pettersson,$22688674
75,0,06251,Chris DiMarco,$22656443
76,0,35450,Patrick Cantlay,$22280758
77,0,34099,Harris English,$22113639
78,0,22371,Aaron Baddeley,$21895743
79,0,40026,Daniel Berger,$21828516
80,0,20645,John Senden,$21640998
81,0,01320,Bob Estes,$21628540
82,0,23541,Ben Crane,$21626587
83,0,25818,Scott Piercy,$21534494
84,0,01677,Tom Lehman,$21509830
85,0,01381,Fred Funk,$21310437
86,0,23623,Bo Van Pelt,$21229960
87,0,01968,Nick Price,$20576104
88,0,27770,Camilo Villegas,$20517134
89,0,27644,Brian Harman,$20495809
90,0,01766,Billy Mayfair,$20303642
91,0,26331,Charl Schwartzel,$20140463
92,0,06004,Stephen Ames,$19718160
93,0,27936,Martin Laird,$19563395
94,0,30926,Chris Kirk,$19534241
95,0,24925,Jonathan Byrd,$19484290
96,0,12782,Tim Herron,$19382388
97,0,01724,Jeff Maggert,$19364566
98,0,23325,Vaughn Taylor,$19020937
99,0,09011,David Duval,$18983931
100,0,25572,Graeme McDowell,$18571872
101,0,01527,Scott Hoch,$18530156
102,0,22913,John Rollins,$18446947
103,0,07457,Steve Flesch,$18299945
104,0,21731,Freddie Jacobson,$18191698
105,0,02104,Jeff Sluman,$18165266
106,0,30944,Jason Kokrak,$18097450
107,0,01329,Brad Faxon,$17769249
108,0,34098,Russell Henley,$17742434
109,0,26476,Chez Reavie,$17359846
110,0,29518,Brendan Steele,$17341094
111,0,35891,Cameron Smith,$16929136
112,0,23353,J.J. Henry,$16883630
113,0,01797,Rocco Mediate,$16824617
114,0,30110,Kyle Stanley,$16800654
115,0,25198,Francesco Molinari,$16783447
116,0,07867,Woody Austin,$16580132
117,0,32366,Kevin Chappell,$16418481
118,0,24507,Jason Bohn,$16062113
119,0,01577,Lee Janzen,$16040639
120,0,20572,Rod Pampling,$16039993
121,0,01928,Corey Pavin,$16021370
122,0,22293,Heath Slocum,$15948701
123,0,02223,Bob Tway,$15785815
124,0,06595,Kevin Sutherland,$15658171
125,0,01313,Steve Elkington,$15505418
126,0,26300,Matt Jones,$15415941
127,0,21878,Mark Wilson,$15343537
128,0,12660,Jesper Parnevik,$15321627
129,0,02170,Hal Sutton,$15267685
130,0,26289,Boo Weekley,$15167517
131,0,02010,Loren Roberts,$15154767
132,0,01707,Steve Lowery,$15128611
133,0,33122,Russell Knox,$14985034
134,0,01553,John Huston,$14967146
135,0,01941,Tom Pernice Jr.,$14950594
136,0,24358,Robert Garrigus,$14752637
137,0,27064,Jhonattan Vegas,$14625483
138,0,20848,Ángel Cabrera,$14583622
139,0,37455,Si Woo Kim,$14555642
140,0,01876,Greg Norman,$14484458
141,0,01042,Paul Azinger,$14467496
142,0,01457,Jay Haas,$14440317
143,0,01887,Mark O'Meara,$14325371
144,0,33419,Cameron Tringale,$14259485
145,0,06621,Joe Durant,$14181693
146,0,02214,Kirk Triplett,$14096656
147,0,50525,Collin Morikawa,$14065666
148,0,12680,Shigeki Maruyama,$13809170
149,0,29926,Danny Lee,$13780377
150,0,22621,Ben Curtis,$13779910
151,0,21753,Brian Davis,$13374228
152,0,45526,Abraham Ancer,$13263821
153,0,20498,Briny Baird,$13251178
154,0,33399,Adam Hadwin,$12925175
155,0,20472,Alex Cejka,$12902236
156,0,27963,Chris Stroud,$12816017
157,0,06643,Paul Goydos,$12800167
158,0,28475,Jeff Overton,$12790635
159,0,30692,Scott Stallings,$12755347
160,0,01219,John Cook,$12685199
161,0,10585,Scott McCarron,$12649527
162,0,06575,Dudley Hart,$12635726
163,0,22378,Trevor Immelman,$12628762
164,0,26951,Johnson Wagner,$12555901
165,0,31646,Emiliano Grillo,$12515484
166,0,01024,Billy Andrade,$12494805
167,0,06373,José María Olazábal,$12363945
168,0,24490,George McNeill,$12199267
169,0,01948,Tim Petrovic,$12193429
170,0,02246,Duffy Waldorf,$11932543
171,0,25240,D.A. Points,$11856885
172,0,11032,Frank Lickliter II,$11841515
173,0,34431,Robert Streb,$11729013
174,0,23638,Brendon de Jonge,$11568484
175,0,20127,Chris Riley,$11525199
176,0,29974,Branden Grace,$11505435
177,0,21805,Harrison Frazar,$11456390
178,0,30927,Brendon Todd,$11440601
179,0,27408,Martin Kaymer,$11392872
180,0,39971,Sungjae Im,$11379408
181,0,27436,Graham DeLaet,$11265285
182,0,02101,Joey Sindelar,$11196462
183,0,23800,Bryce Molder,$11142502
184,0,32640,Troy Merritt,$11130265
185,0,31560,Brian Stuard,$11118678
186,0,02256,Tom Watson,$11081140
187,0,32150,Michael Thompson,$11063631
188,0,07749,Brett Quigley,$11058693
189,0,01633,Tom Kite,$11041042
190,0,23788,D.J. Trahan,$11006498
191,0,30911,Tommy Fleetwood,$10940624
192,0,32448,James Hahn,$10932467
193,0,33204,Shane Lowry,$10924491
194,0,20104,Ken Duke,$10836211
195,0,01666,Bernhard Langer,$10759526
196,0,31202,William McGirt,$10746451
197,0,20593,Greg Chalmers,$10731588
198,0,20094,Jonathan Kaye,$10597848
199,0,29479,Scott Brown,$10557431
200,0,34363,Tyrrell Hatton,$10303539
201,0,01249,John Daly,$10270681
202,0,28307,Matt Every,$10230834
203,0,21949,Joe Ogilvie,$10149923
204,0,27895,Jonas Blixt,$10123963
205,0,20160,Charlie Wi,$10079659
206,0,02133,Craig Stadler,$10021897
207,0,26758,David Hearn,$10004615
208,0,12652,Cameron Beckman,$9870919
209,0,27974,Sung Kang,$9828621
210,0,26679,Kevin Stadler,$9730388
211,0,01142,Bart Bryant,$9713852
212,0,33948,Byeong Hun An,$9705683
213,0,25562,Andres Romero,$9700831
214,0,23614,Rich Beem,$9656392
215,0,32757,Patton Kizzire,$9583113
216,0,20634,Peter Lonard,$9501202
217,0,45486,Joaquin Niemann,$9495524
218,0,01035,Tommy Armour III,$9458248
219,0,01132,Mark Brooks,$9455441
220,0,12823,Carlos Franco,$9437758
221,0,34174,John Huh,$9406931
222,0,27120,Troy Matteson,$9392206
