RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 320+,TOTAL DRIVES - OVERALL,RELATIVE TO PAR
1,0,01927,Dennis Paulson,50.00,2,4,-0.500
2,0,01943,Chris Perry,33.33,4,12,E
2,0,02279,Mark Wiebe,33.33,1,3,E
4,0,06613,Tommy Tolles,30.00,3,10,E
5,0,23614,Rich Beem,25.00,1,4,E
5,0,01249,John Daly,25.00,6,24,-0.500
5,0,01388,Robert Gamez,25.00,1,4,E
5,0,12782,Tim Herron,25.00,1,4,E
5,0,01553,John Huston,25.00,5,20,-0.200
5,0,06090,Jim McGovern,25.00,1,4,-1.000
5,0,06140,Sean Murphy,25.00,2,8,E
12,0,12645,Brent Geiberger,22.86,8,35,E
13,0,22892,Jason Gore,19.05,4,21,E
14,0,06527,Steve Stricker,17.86,5,28,+0.800
15,0,02106,Chris Smith,17.39,4,23,-0.250
16,0,21633,Steve Allan,16.67,2,12,-0.500
16,0,22051,Ben Ferguson,16.67,2,12,+0.500
18,0,06595,Kevin Sutherland,15.56,7,45,-0.286
19,0,06034,Marco Dawson,15.38,4,26,E
19,0,09011,David Duval,15.38,8,52,-0.125
19,0,10733,Kent Jones,15.38,2,13,+0.500
22,0,01418,Bill Glasson,14.29,5,35,-0.200
23,0,08633,Per-Ulrik Johansson,13.89,5,36,E
24,0,01723,Andrew Magee,13.04,6,46,E
25,0,21806,Paul Gow,12.50,2,16,E
25,0,06315,Pete Jordan,12.50,4,32,-0.500
25,0,01926,Steve Pate,12.50,3,24,E
28,0,01685,J.L. Lewis,12.00,6,50,E
29,0,10885,Robert Allenby,11.67,7,60,-0.143
30,0,20566,Kaname Yokoo,10.87,5,46,-0.600
31,0,08075,Jerry Kelly,10.53,2,19,E
32,0,01941,Tom Pernice Jr.,10.42,5,48,-0.200
32,0,08793,Tiger Woods,10.42,5,48,+0.400
34,0,01132,Mark Brooks,10.34,3,29,E
35,0,06522,Ernie Els,10.26,4,39,E
35,0,21209,Sergio Garcia,10.26,4,39,+0.250
37,0,10423,Mike Weir,10.20,5,49,-0.400
38,0,02223,Bob Tway,10.17,6,59,E
39,0,20593,Greg Chalmers,10.00,2,20,E
39,0,01200,Keith Clearwater,10.00,1,10,E
39,0,21584,Richie Coughlan,10.00,1,10,E
39,0,24604,Hunter Haas,10.00,1,10,E
39,0,07547,Craig Kanada,10.00,2,20,-0.500
