RANK,MOVEMENT,PLAYER_ID,PLAYER,%,NUMBER OF TIMES,ATTEMPTS,AVG RTP SCORE
1,0,34098,Russell Henley,37.1,114,307,+0.53
2,0,01116,Michael Bradley,39.2,102,260,+1.27
3,0,23353,J.J. Henry,40.6,140,345,+1.86
4,0,21209,Sergio Garcia,41.2,100,243,+1.00
5,0,10885,Robert Allenby,41.3,123,298,+3.09
6,0,27129,Luke List,41.4,150,362,+0.67
6,0,26679,Kevin Stadler,41.4,139,336,+1.80
8,0,33418,Shawn Stefani,42.4,132,311,+0.30
9,0,01810,Phil Mickelson,42.6,136,319,+0.37
10,0,34431,Robert Streb,42.9,139,324,+2.52
10,0,26951,Johnson Wagner,42.9,126,294,+1.75
12,0,01724,Jeff Maggert,43.1,109,253,+2.48
13,0,30852,Ryo Ishikawa,43.4,142,327,+2.18
14,0,23983,Luke Donald,43.5,103,237,+1.07
15,0,21528,Henrik Stenson,43.8,71,162,+0.56
16,0,21753,Brian Davis,44.1,153,347,+1.83
17,0,26497,Casey Wittenberg,45.0,170,378,+2.35
18,0,25240,D.A. Points,45.3,150,331,+0.73
19,0,28500,Martin Flores,45.4,216,476,+0.69
19,0,28780,Nicholas Thompson,45.4,183,403,+1.37
21,0,25345,Carl Pettersson,45.7,153,335,+1.63
22,0,25900,Lucas Glover,45.9,122,266,+1.80
23,0,26476,Chez Reavie,46.0,126,274,+1.19
24,0,20691,Greg Owen,46.1,166,360,+3.31
25,0,23409,James Driscoll,46.3,180,389,+1.56
26,0,27963,Chris Stroud,46.4,182,392,+1.10
27,0,08725,Tom Gillis,46.5,134,288,+2.61
27,0,30163,Henrik Norlander,46.5,147,316,+1.43
27,0,25562,Andres Romero,46.5,133,286,+1.73
30,0,27895,Jonas Blixt,46.6,173,371,+1.62
30,0,30944,Jason Kokrak,46.6,197,423,+1.22
32,0,25274,Steven Bowditch,46.7,162,347,+1.67
32,0,12716,Charley Hoffman,46.7,179,383,+0.89
34,0,24924,Bill Haas,46.9,161,343,+1.30
35,0,12510,Chad Campbell,47.0,179,381,+2.51
35,0,20396,Lee Westwood,47.0,116,247,+2.24
37,0,35139,Richard Lee,47.2,154,326,+1.43
38,0,22371,Aaron Baddeley,47.5,182,383,+0.99
39,0,02206,David Toms,47.7,73,153,+2.47
40,0,23788,D.J. Trahan,47.8,89,186,+1.91
41,0,24507,Jason Bohn,47.9,147,307,+2.45
41,0,22806,Doug LaBelle II,47.9,123,257,+2.76
43,0,32366,Kevin Chappell,48.0,164,342,+2.20
43,0,29289,S.Y. Noh,48.0,184,383,+2.28
45,0,32102,Rickie Fowler,48.1,143,297,+0.63
46,0,24358,Robert Garrigus,48.4,136,281,+1.47
46,0,23325,Vaughn Taylor,48.4,93,192,+0.97
48,0,10860,Justin Leonard,48.5,176,363,+1.25
49,0,24494,Erik Compton,48.6,179,368,+1.34
49,0,34360,Patrick Reed,48.6,212,436,+2.22
49,0,30692,Scott Stallings,48.6,168,346,+2.26
52,0,28089,Jason Day,48.7,164,337,+0.61
52,0,24024,Zach Johnson,48.7,132,271,+1.29
54,0,22792,Peter Hanson,48.8,100,205,+2.00
55,0,22405,Justin Rose,48.9,110,225,+0.55
56,0,25686,Jason Dufner,49.1,143,291,+1.75
57,0,19970,Robert Karlsson,49.3,100,203,+2.80
57,0,27770,Camilo Villegas,49.3,176,357,+0.85
59,0,28307,Matt Every,49.4,217,439,+1.43
60,0,29420,Billy Horschel,49.5,196,396,+0.61
60,0,24502,Adam Scott,49.5,108,218,+0.93
60,0,26289,Boo Weekley,49.5,186,376,+2.04
63,0,06567,Vijay Singh,49.6,127,256,+1.65
64,0,20766,Padraig Harrington,49.7,91,183,+1.87
64,0,31323,Gary Woodland,49.7,228,459,+2.02
66,0,30750,Tommy Gainey,49.8,220,442,+2.14
66,0,22046,Geoff Ogilvy,49.8,113,227,+1.33
66,0,27214,Kevin Streelman,49.8,151,303,+1.13
69,0,27408,Martin Kaymer,50.0,103,206,+2.33
69,0,24361,Pat Perez,50.0,165,330,+1.70
69,0,25336,Alistair Presnell,50.0,131,262,+1.22
72,0,06573,Brandt Jobe,50.2,125,249,+3.28
72,0,34409,David Lingmerth,50.2,133,265,+1.35
72,0,33869,Eric Meierdierks,50.2,110,219,+2.45
72,0,27649,Brandt Snedeker,50.2,149,297,+1.07
72,0,23623,Bo Van Pelt,50.2,130,259,+2.00
77,0,27436,Graham DeLaet,50.3,178,354,+1.07
78,0,31557,Jim Herman,50.4,114,226,+1.67
78,0,27120,Troy Matteson,50.4,169,335,+1.07
78,0,23320,Ryan Palmer,50.4,194,385,+1.39
81,0,23621,Rory Sabbatini,50.5,201,398,+0.80
82,0,33141,Keegan Bradley,50.6,170,336,+0.71
82,0,35539,Luke Guthrie,50.6,178,352,+0.79
82,0,29221,Webb Simpson,50.6,171,338,+0.12
82,0,29518,Brendan Steele,50.6,203,401,+1.87
86,0,34021,Bud Cauley,50.7,153,302,+2.29
87,0,20098,Stuart Appleby,50.9,203,399,+1.48
87,0,23108,Matt Kuchar,50.9,199,391,+1.01
89,0,23541,Ben Crane,51.0,148,290,+2.09
89,0,24663,Y.E. Yang,51.0,100,196,+2.80
91,0,30925,Dustin Johnson,51.1,161,315,+0.81
92,0,20229,Stewart Cink,51.3,156,304,+1.92
92,0,06522,Ernie Els,51.3,135,263,+1.04
94,0,28455,Will Claxton,51.4,146,284,+2.47
94,0,27644,Brian Harman,51.4,209,407,+1.87
94,0,08075,Jerry Kelly,51.4,126,245,+1.67
94,0,31202,William McGirt,51.4,184,358,+2.12
94,0,27933,John Merrick,51.4,188,366,+1.28
94,0,22056,Cameron Percy,51.4,161,313,+1.06
100,0,24357,K.J. Choi,51.5,136,264,+1.32
100,0,29740,Brad Fritsch,51.5,201,390,+1.39
100,0,33419,Cameron Tringale,51.5,195,379,+1.23
103,0,27556,Ted Potter Jr.,51.7,125,242,+1.92
103,0,25804,Bubba Watson,51.7,163,315,+1.66
105,0,22621,Ben Curtis,51.9,126,243,+2.38
106,0,10809,Jim Furyk,52.0,132,254,+1.36
107,0,26331,Charl Schwartzel,52.2,144,276,+1.18
108,0,23135,Tim Clark,52.5,94,179,+1.28
108,0,24138,Ian Poulter,52.5,96,183,+1.88
110,0,23497,Tag Ridings,52.8,189,358,+2.06
111,0,19846,Brian Gay,52.9,180,340,+2.11
112,0,25572,Graeme McDowell,53.0,80,151,+1.75
113,0,24140,Sean O'Hair,53.3,161,302,+1.99
113,0,31560,Brian Stuard,53.3,161,302,+2.42
113,0,25834,Daniel Summerhays,53.3,215,403,+0.98
116,0,28475,Jeff Overton,53.4,227,425,+1.23
116,0,20443,Jin Park,53.4,101,189,+2.87
118,0,29425,Andrew Svoboda,53.6,97,181,+0.82
119,0,20848,Ángel Cabrera,53.7,173,322,+1.68
119,0,32200,Roberto Castro,53.7,196,365,+1.58
119,0,25632,Jimmy Walker,53.7,251,467,-0.28
122,0,32334,Charlie Beljan,53.8,149,277,+1.48
122,0,36884,Ben Kohles,53.8,149,277,+2.08
124,0,21099,David Lynn,53.9,166,308,+1.57
125,0,28237,Rory McIlroy,54.1,120,222,+1.67
126,0,30110,Kyle Stanley,54.7,168,307,+1.37
126,0,32150,Michael Thompson,54.7,145,265,+1.86
126,0,28310,Lee Williams,54.7,152,278,+2.17
129,0,12782,Tim Herron,54.9,152,277,+1.18
129,0,33461,Morgan Hoffmann,54.9,168,306,+0.95
131,0,28259,Sangmoon Bae,55.0,224,407,+1.56
