RANK,MOVEMENT,PLAYER_ID,PLAYER,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
1,0,08075,Jerry Kelly,71.81,749,1043
2,0,21878,Mark Wilson,70.74,515,728
3,0,06527,Steve Stricker,70.65,467,661
4,0,10809,Jim Furyk,70.47,766,1087
5,0,23135,Tim Clark,70.31,599,852
6,0,26476,Chez Reavie,70.29,705,1003
7,0,21528,Henrik Stenson,70.09,628,896
8,0,24024,Zach Johnson,69.68,809,1161
9,0,25444,Justin Hicks,69.61,726,1043
10,0,20104,Ken Duke,69.28,841,1214
11,0,01724,Jeff Maggert,68.83,605,879
12,0,20443,Jin Park,68.82,479,696
13,0,21753,Brian Davis,68.61,870,1268
14,0,34174,John Huh,68.53,845,1233
15,0,25572,Graeme McDowell,68.51,470,686
16,0,26596,Ryan Moore,68.44,681,995
17,0,27556,Ted Potter Jr.,68.03,581,854
18,0,34046,Jordan Spieth,67.80,775,1143
19,0,36884,Ben Kohles,67.78,669,987
20,0,22295,Darron Stiles,67.64,462,683
21,0,22806,Doug LaBelle II,67.42,658,976
22,0,32200,Roberto Castro,67.36,910,1351
23,0,27214,Kevin Streelman,67.25,805,1197
24,0,35139,Richard Lee,66.95,717,1071
25,0,24781,Hunter Mahan,66.61,794,1192
26,0,02206,David Toms,66.50,407,612
27,0,30711,Colt Knost,66.48,601,904
28,0,26289,Boo Weekley,66.36,925,1394
29,0,23638,Brendon de Jonge,66.28,1016,1533
30,0,28092,D.H. Lee,66.23,600,906
31,0,24357,K.J. Choi,66.04,774,1172
32,0,31560,Brian Stuard,65.99,679,1029
33,0,23800,Bryce Molder,65.95,734,1113
34,0,27436,Graham DeLaet,65.80,862,1310
35,0,24507,Jason Bohn,65.74,641,975
36,0,24490,George McNeill,65.62,624,951
37,0,23325,Vaughn Taylor,65.32,420,643
38,0,10213,Dicky Pride,65.24,608,932
39,0,23353,J.J. Henry,64.93,735,1132
40,0,34409,David Lingmerth,64.87,613,945
41,0,25686,Jason Dufner,64.81,698,1077
42,0,19846,Brian Gay,64.79,714,1102
43,0,06573,Brandt Jobe,64.78,526,812
44,0,08725,Tom Gillis,64.75,586,905
45,0,26300,Matt Jones,64.74,749,1157
45,0,28780,Nicholas Thompson,64.74,894,1381
47,0,34098,Russell Henley,64.68,705,1090
48,0,10860,Justin Leonard,64.36,771,1198
49,0,26679,Kevin Stadler,64.21,707,1101
50,0,29420,Billy Horschel,64.17,858,1337
51,0,23623,Bo Van Pelt,63.80,624,978
52,0,22405,Justin Rose,63.57,534,840
53,0,23788,D.J. Trahan,63.54,406,639
54,0,25240,D.A. Points,63.48,770,1213
55,0,29221,Webb Simpson,63.30,778,1229
56,0,01320,Bob Estes,63.11,580,919
57,0,28135,Aaron Watkins,63.03,387,614
58,0,20160,Charlie Wi,63.02,622,987
59,0,33419,Cameron Tringale,62.89,700,1113
60,0,23983,Luke Donald,62.87,508,808
61,0,33141,Keegan Bradley,62.82,767,1221
62,0,20593,Greg Chalmers,62.80,638,1016
62,0,28455,Will Claxton,62.80,552,879
64,0,24663,Y.E. Yang,62.79,491,782
65,0,31557,Jim Herman,62.71,481,767
66,0,20396,Lee Westwood,62.59,604,965
67,0,27649,Brandt Snedeker,62.57,692,1106
68,0,20098,Stuart Appleby,62.53,731,1169
69,0,08793,Tiger Woods,62.50,525,840
