RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL 10TH TEE EARLY RDS.
1,0,21961,Charles Howell III,68.64,961,14
2,0,24502,Adam Scott,68.69,893,13
3,0,27963,Chris Stroud,68.73,1031,15
4,0,30925,Dustin Johnson,68.80,688,10
5,0,27436,Graham DeLaet,68.83,826,12
6,0,25572,Graeme McDowell,69.08,898,13
7,0,21731,Freddie Jacobson,69.24,1177,17
8,0,27095,Nick Watney,69.25,554,8
9,0,28089,Jason Day,69.30,693,10
10,0,34099,Harris English,69.32,1317,19
11,0,34264,Hudson Swafford,69.38,902,13
12,0,32839,Hideki Matsuyama,69.46,903,13
13,0,33141,Keegan Bradley,69.47,1181,17
14,0,22405,Justin Rose,69.54,904,13
15,0,10809,Jim Furyk,69.56,1113,16
16,0,21209,Sergio Garcia,69.63,557,8
17,0,26596,Ryan Moore,69.64,766,11
18,0,33122,Russell Knox,69.65,1184,17
19,0,23108,Matt Kuchar,69.67,1463,21
19,0,26331,Charl Schwartzel,69.67,627,9
19,0,34431,Robert Streb,69.67,1045,15
22,0,33461,Morgan Hoffmann,69.71,1673,24
22,0,34265,Will Wilcox,69.71,488,7
24,0,25804,Bubba Watson,69.76,1186,17
25,0,34046,Jordan Spieth,69.80,1745,25
26,0,30944,Jason Kokrak,69.89,629,9
27,0,28475,Jeff Overton,69.93,1049,15
28,0,29518,Brendan Steele,69.94,1259,18
28,0,25349,Tim Wilkinson,69.94,1119,16
30,0,29221,Webb Simpson,70.00,1330,19
30,0,31560,Brian Stuard,70.00,1120,16
30,0,32150,Michael Thompson,70.00,1120,16
30,0,31323,Gary Woodland,70.00,630,9
34,0,34360,Patrick Reed,70.05,1541,22
35,0,32102,Rickie Fowler,70.09,1542,22
35,0,28237,Rory McIlroy,70.09,771,11
37,0,24138,Ian Poulter,70.10,701,10
38,0,28486,Michael Putnam,70.16,1754,25
39,0,25632,Jimmy Walker,70.18,1544,22
40,0,22621,Ben Curtis,70.19,1123,16
41,0,12510,Chad Campbell,70.25,1124,16
41,0,25444,Justin Hicks,70.25,843,12
43,0,34261,Scott Langley,70.26,1335,19
44,0,24024,Zach Johnson,70.27,1546,22
44,0,27466,Spencer Levin,70.27,1054,15
44,0,31202,William McGirt,70.27,1546,22
44,0,25834,Daniel Summerhays,70.27,1546,22
48,0,26300,Matt Jones,70.29,984,14
48,0,27408,Martin Kaymer,70.29,984,14
50,0,08075,Jerry Kelly,70.33,1055,15
50,0,36689,Brooks Koepka,70.33,844,12
50,0,02206,David Toms,70.33,1266,18
53,0,24494,Erik Compton,70.35,1618,23
54,0,23623,Bo Van Pelt,70.36,774,11
55,0,25191,Gonzalo Fernandez-Castaño,70.38,1126,16
56,0,20645,John Senden,70.39,1267,18
57,0,20593,Greg Chalmers,70.41,1197,17
58,0,32366,Kevin Chappell,70.42,1338,19
58,0,24490,George McNeill,70.42,845,12
58,0,26679,Kevin Stadler,70.42,845,12
61,0,30852,Ryo Ishikawa,70.45,1409,20
62,0,10885,Robert Allenby,70.50,1128,16
62,0,22293,Heath Slocum,70.50,705,10
64,0,21753,Brian Davis,70.54,917,13
64,0,06567,Vijay Singh,70.54,917,13
66,0,29425,Andrew Svoboda,70.55,776,11
67,0,32334,Charlie Beljan,70.56,1270,18
68,0,33419,Cameron Tringale,70.58,1694,24
69,0,20229,Stewart Cink,70.60,1059,15
69,0,23353,J.J. Henry,70.60,1412,20
69,0,33413,Ben Martin,70.60,1059,15
69,0,33418,Shawn Stefani,70.60,706,10
73,0,28132,Tyrone Van Aswegen,70.61,1271,18
74,0,27770,Camilo Villegas,70.63,1130,16
75,0,23409,James Driscoll,70.64,989,14
76,0,24357,K.J. Choi,70.65,1201,17
76,0,25720,Chad Collins,70.65,1201,17
78,0,24912,Will MacKenzie,70.67,1060,15
79,0,27649,Brandt Snedeker,70.68,1343,19
80,0,29740,Brad Fritsch,70.70,707,10
80,0,30927,Brendon Todd,70.70,1626,23
82,0,23983,Luke Donald,70.73,778,11
83,0,34021,Bud Cauley,70.75,566,8
83,0,26758,David Hearn,70.75,1415,20
83,0,24781,Hunter Mahan,70.75,849,12
86,0,27556,Ted Potter Jr.,70.77,920,13
87,0,24358,Robert Garrigus,70.78,1274,18
88,0,29420,Billy Horschel,70.80,708,10
88,0,24361,Pat Perez,70.80,1062,15
90,0,24846,Ricky Barnes,70.81,1133,16
91,0,20104,Ken Duke,70.83,850,12
92,0,29535,Brice Garnett,70.84,1346,19
93,0,25364,Paul Casey,70.86,496,7
94,0,12716,Charley Hoffman,70.87,1063,15
