RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOT. EARLY RDS.(1ST TEE)
1,0,28237,Rory McIlroy,68.90,689,10
2,0,24502,Adam Scott,69.00,552,8
3,0,25632,Jimmy Walker,69.09,1520,22
4,0,21528,Henrik Stenson,69.10,691,10
5,0,23108,Matt Kuchar,69.30,693,10
6,0,29740,Brad Fritsch,69.31,901,13
7,0,30925,Dustin Johnson,69.36,763,11
8,0,36689,Brooks Koepka,69.38,1457,21
9,0,35539,Luke Guthrie,69.50,1668,24
10,0,32366,Kevin Chappell,69.52,2155,31
11,0,33122,Russell Knox,69.58,2296,33
12,0,30926,Chris Kirk,69.61,2297,33
13,0,22405,Justin Rose,69.64,975,14
14,0,29926,Danny Lee,69.65,1602,23
15,0,29478,Kevin Kisner,69.67,1672,24
16,0,20160,Charlie Wi,69.71,1185,17
17,0,34021,Bud Cauley,69.75,1116,16
18,0,25396,Kevin Na,69.81,1885,27
19,0,32150,Michael Thompson,69.85,1816,26
20,0,21209,Sergio Garcia,70.00,980,14
20,0,02206,David Toms,70.00,1050,15
22,0,20157,Retief Goosen,70.06,2172,31
23,0,25562,Andres Romero,70.08,1822,26
24,0,20645,John Senden,70.10,2103,30
25,0,34261,Scott Langley,70.11,1893,27
25,0,01810,Phil Mickelson,70.11,1332,19
27,0,33141,Keegan Bradley,70.16,1333,19
28,0,24490,George McNeill,70.17,2035,29
28,0,23800,Bryce Molder,70.17,1614,23
30,0,34099,Harris English,70.18,1965,28
31,0,28475,Jeff Overton,70.20,2106,30
32,0,25364,Paul Casey,70.21,1685,24
33,0,22371,Aaron Baddeley,70.22,1615,23
34,0,20098,Stuart Appleby,70.23,2107,30
35,0,34360,Patrick Reed,70.25,1686,24
36,0,24924,Bill Haas,70.27,2600,37
37,0,24912,Will MacKenzie,70.28,1757,25
38,0,23320,Ryan Palmer,70.29,1476,21
39,0,26596,Ryan Moore,70.30,1617,23
39,0,31323,Gary Woodland,70.30,2601,37
41,0,24846,Ricky Barnes,70.31,2250,32
41,0,30927,Brendon Todd,70.31,2039,29
43,0,21961,Charles Howell III,70.32,2883,41
44,0,26331,Charl Schwartzel,70.33,1266,18
44,0,33419,Cameron Tringale,70.33,2743,39
46,0,29289,S.Y. Noh,70.35,2392,34
47,0,34264,Hudson Swafford,70.39,1619,23
47,0,27770,Camilo Villegas,70.39,2675,38
49,0,35300,Andrew Loupe,70.41,1197,17
50,0,25834,Daniel Summerhays,70.42,2183,31
51,0,30852,Ryo Ishikawa,70.44,1127,16
52,0,12716,Charley Hoffman,70.50,2397,34
52,0,29222,Billy Hurley III,70.50,1692,24
52,0,25804,Bubba Watson,70.50,987,14
55,0,29518,Brendan Steele,70.52,2186,31
56,0,31202,William McGirt,70.56,1905,27
57,0,29425,Andrew Svoboda,70.57,1976,28
58,0,20104,Ken Duke,70.58,2329,33
58,0,31560,Brian Stuard,70.58,1835,26
58,0,27064,Jhonattan Vegas,70.58,1694,24
61,0,25572,Graeme McDowell,70.59,1200,17
62,0,28259,Sangmoon Bae,70.60,2118,30
62,0,26758,David Hearn,70.60,2471,35
64,0,30944,Jason Kokrak,70.61,1271,18
65,0,26851,Marc Leishman,70.62,2048,29
66,0,24494,Erik Compton,70.65,1413,20
67,0,24361,Pat Perez,70.67,1696,24
67,0,29221,Webb Simpson,70.67,1908,27
67,0,22293,Heath Slocum,70.67,1908,27
70,0,24925,Jonathan Byrd,70.68,1343,19
70,0,27644,Brian Harman,70.68,2615,37
70,0,10860,Justin Leonard,70.68,1555,22
70,0,32640,Troy Merritt,70.68,1343,19
74,0,28500,Martin Flores,70.69,2050,29
74,0,29535,Brice Garnett,70.69,2050,29
76,0,25274,Steven Bowditch,70.70,2333,33
76,0,20229,Stewart Cink,70.70,2333,33
76,0,23353,J.J. Henry,70.70,2121,30
79,0,25349,Tim Wilkinson,70.71,1485,21
80,0,28307,Matt Every,70.74,2193,31
80,0,27214,Kevin Streelman,70.74,1627,23
82,0,27649,Brandt Snedeker,70.76,1486,21
83,0,08075,Jerry Kelly,70.77,2123,30
84,0,22621,Ben Curtis,70.78,1628,23
85,0,32839,Hideki Matsuyama,70.81,1841,26
86,0,24357,K.J. Choi,70.82,1983,28
87,0,23541,Ben Crane,70.83,1629,23
88,0,24358,Robert Garrigus,70.84,1771,25
88,0,34563,Chesson Hadley,70.84,1771,25
88,0,06567,Vijay Singh,70.84,2267,32
