RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR
115,0,22548,Patrick Sheehan,50' 5",6004.250,119,-4
117,0,23718,Nathan Green,50' 6",9338.000,185,-30
118,0,23542,Tommy Biershenk,50' 7",8445.167,167,-20
118,0,29221,Webb Simpson,50' 7",11481.000,227,-46
120,0,23135,Tim Clark,50' 8",8011.250,158,-12
120,0,27936,Martin Laird,50' 8",8924.167,176,-37
120,0,24663,Y.E. Yang,50' 8",6941.250,137,-14
123,0,10213,Dicky Pride,50' 10",7523.417,148,-22
123,0,30927,Brendon Todd,50' 10",8489.167,167,-8
125,0,29222,Billy Hurley III,51' 0",8417.333,165,+13
126,0,28087,Kris Blanks,51' 1",10062.667,197,-40
126,0,26300,Matt Jones,51' 1",5979.083,117,-17
128,0,29910,Blake Adams,51' 2",14422.667,282,-39
128,0,28259,Sangmoon Bae,51' 2",8750.500,171,-13
130,0,06034,Marco Dawson,51' 3",6201.417,121,-12
131,0,23903,Stephen Gangluff,51' 5",5910.667,115,-6
131,0,01797,Rocco Mediate,51' 5",9311.167,181,-17
131,0,24361,Pat Perez,51' 5",11369.167,221,-36
131,0,23621,Rory Sabbatini,51' 5",10999.667,214,-40
131,0,06567,Vijay Singh,51' 5",13529.083,263,-35
136,0,06036,Scott Dunlap,51' 6",7307.500,142,-10
136,0,19846,Brian Gay,51' 6",11323.500,220,-7
138,0,35139,Richard Lee,51' 7",9587.833,186,-24
138,0,24940,Edward Loar,51' 7",5676.500,110,-11
138,0,28475,Jeff Overton,51' 7",15226.417,295,-52
141,0,29479,Scott Brown,51' 11",7581.000,146,-17
142,0,20098,Stuart Appleby,52' 1",9536.083,183,-27
142,0,21407,Arjun Atwal,52' 1",10623.083,204,-17
142,0,01116,Michael Bradley,52' 1",7866.667,151,E
142,0,08075,Jerry Kelly,52' 1",12595.583,242,-20
142,0,25396,Kevin Na,52' 1",11986.333,230,-42
147,0,28455,Will Claxton,52' 2",12632.583,242,-28
148,0,21731,Freddie Jacobson,52' 3",6057.917,116,-13
148,0,10860,Justin Leonard,52' 3",9402.250,180,+9
148,0,02206,David Toms,52' 3",8575.000,164,-13
151,0,30711,Colt Knost,52' 4",10630.083,203,-16
151,0,27649,Brandt Snedeker,52' 4",11151.000,213,-37
153,0,24138,Ian Poulter,52' 5",6757.417,129,-18
153,0,26951,Johnson Wagner,52' 5",12888.583,246,-29
155,0,06004,Stephen Ames,52' 6",4933.417,94,-9
155,0,01941,Tom Pernice Jr.,52' 6",8666.500,165,-17
157,0,20070,Matt Bettencourt,52' 7",8307.167,158,-6
157,0,20572,Rod Pampling,52' 7",12144.917,231,-36
159,0,20848,Ángel Cabrera,52' 8",5843.750,111,-13
159,0,01766,Billy Mayfair,52' 8",13172.583,250,-39
161,0,20766,Padraig Harrington,52' 10",6652.000,126,-26
161,0,21350,Ryuji Imada,52' 10",10722.417,203,-11
161,0,29926,Danny Lee,52' 10",9143.000,173,-10
164,0,31558,J.J. Killeen,53' 0",11651.333,220,+2
165,0,25457,Alexandre Rocha,53' 2",7545.500,142,-8
165,0,20645,John Senden,53' 2",11380.750,214,-42
167,0,28308,Troy Kelly,53' 4",7197.167,135,-12
168,0,23541,Ben Crane,53' 5",11262.667,211,-33
168,0,29478,Kevin Kisner,53' 5",7426.500,139,-25
168,0,29476,Kyle Reifers,53' 5",11385.083,213,-19
171,0,21209,Sergio Garcia,53' 6",8348.500,156,-21
172,0,33120,Mark Anderson,53' 7",8513.833,159,-21
172,0,23353,J.J. Henry,53' 7",10510.250,196,-21
174,0,24604,Hunter Haas,53' 10",7912.250,147,-2
175,0,06251,Chris DiMarco,54' 0",13329.917,247,-5
176,0,23409,James Driscoll,54' 1",11363.917,210,-38
177,0,27556,Ted Potter Jr.,54' 2",10447.500,193,+8
178,0,20850,Daniel Chopra,54' 3",5862.750,108,+3
179,0,22913,John Rollins,54' 5",11967.500,220,-46
180,0,24925,Jonathan Byrd,55' 1",10305.083,187,-22
180,0,29518,Brendan Steele,55' 1",10633.833,193,-20
182,0,20593,Greg Chalmers,55' 2",13247.000,240,-40
183,0,22961,David Mathis,55' 3",10944.917,198,-2
184,0,21528,Henrik Stenson,55' 5",8259.083,149,-42
185,0,24924,Bill Haas,55' 7",11394.333,205,-33
185,0,27466,Spencer Levin,55' 7",11117.667,200,-22
187,0,22348,Nick O'Hern,55' 10",11116.083,199,+20
188,0,24494,Erik Compton,56' 0",10982.833,196,-6
189,0,22371,Aaron Baddeley,56' 2",8758.667,156,-17
190,0,27974,Sung Kang,58' 7",10195.667,174,+17
191,0,27797,Derek Lamely,58' 10",8822.750,150,-4
