RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# BIRDIES,GREENS HIT
1,0,01150,George Burns,3.27,316,966
2,0,01925,Jerry Pate,3.25,177,544
3,0,01887,Mark O'Meara,3.23,330,1023
3,0,02223,Bob Tway,3.23,365,1130
5,0,01706,Davis Love III,3.21,338,1053
5,0,02146,Payne Stewart,3.21,356,1110
7,0,02049,Gene Sauers,3.20,372,1162
8,0,01876,Greg Norman,3.18,229,720
9,0,01361,Dan Forsman,3.17,320,1010
10,0,01161,Mark Calcavecchia,3.14,350,1116
11,0,01388,Robert Gamez,3.13,288,919
12,0,02007,Larry Rinker,3.08,336,1090
13,0,01329,Brad Faxon,3.07,303,986
14,0,01049,Ian Baker-Finch,3.06,295,965
15,0,02239,Scott Verplank,3.05,309,1012
16,0,01414,Bob Gilder,3.04,271,891
17,0,01690,Bruce Lietzke,3.01,222,738
17,0,01823,Larry Mize,3.01,317,1053
17,0,01926,Steve Pate,3.01,357,1187
17,0,02104,Jeff Sluman,3.01,358,1191
21,0,01495,Morris Hatalsky,3.00,262,872
21,0,01766,Billy Mayfair,3.00,395,1315
23,0,01313,Steve Elkington,2.99,344,1150
23,0,02279,Mark Wiebe,2.99,335,1121
25,0,02133,Craig Stadler,2.98,225,754
26,0,01024,Billy Andrade,2.97,362,1218
26,0,01175,Jim Carter,2.97,285,958
26,0,01261,Jay Delsing,2.97,329,1107
26,0,01522,Lon Hinkle,2.97,215,723
26,0,02094,Tony Sills,2.97,171,575
31,0,01355,Raymond Floyd,2.96,169,571
31,0,01945,Kenny Perry,2.96,266,898
31,0,02186,Brian Tennyson,2.96,333,1125
34,0,01098,Jay Don Blake,2.95,322,1093
35,0,01042,Paul Azinger,2.94,349,1187
35,0,01284,Mike Donald,2.94,401,1364
35,0,01960,Don Pooley,2.94,250,849
35,0,02242,Lanny Wadkins,2.94,278,946
39,0,01599,Steve Jones,2.93,264,901
39,0,02100,Tim Simpson,2.93,345,1177
41,0,01527,Scott Hoch,2.92,308,1053
42,0,01143,Brad Bryant,2.91,303,1042
42,0,06148,Dennis Harrington,2.91,227,779
42,0,01553,John Huston,2.91,248,853
42,0,02095,Larry Silveira,2.91,271,931
42,0,02303,Robert Wrenn,2.91,335,1152
47,0,01378,David Frost,2.90,268,923
47,0,01938,David Peoples,2.90,394,1359
47,0,02041,Bill Sander,2.90,324,1117
50,0,01577,Lee Janzen,2.89,322,1116
51,0,01096,Phil Blackmar,2.88,305,1058
51,0,01457,Jay Haas,2.88,305,1060
51,0,02321,Fuzzy Zoeller,2.88,242,840
54,0,01846,Jodie Mudd,2.87,273,951
55,0,01499,Mark Hayes,2.86,248,866
