RANK,MOVEMENT,PLAYER_ID,PLAYER,TOP 10,2ND,3RD
1,0,10885,Robert Allenby,9,2,1
1,0,10809,Jim Furyk,9,1,2
3,0,29718,Anthony Kim,8,2,1,3
3,0,10860,Justin Leonard,8,1,1
3,0,01810,Phil Mickelson,8,2,1,1
3,0,06567,Vijay Singh,8,3,2,1
3,0,10423,Mike Weir,8,2
8,0,06004,Stephen Ames,7,1
8,0,20098,Stuart Appleby,7,1
8,0,12510,Chad Campbell,7,1,2
8,0,20229,Stewart Cink,7,1,2,2
8,0,01945,Kenny Perry,7,3,1,1
8,0,27770,Camilo Villegas,7,2,2
14,0,07867,Woody Austin,6,1,1
14,0,21209,Sergio Garcia,6,1,3
14,0,19846,Brian Gay,6,1,1
14,0,20766,Padraig Harrington,6,2,1
14,0,06575,Dudley Hart,6,1,1
14,0,28158,Steve Marino,6,1,2
14,0,22046,Geoff Ogilvy,6,1,1
14,0,24361,Pat Perez,6
14,0,01941,Tom Pernice Jr.,6
14,0,06527,Steve Stricker,6,1
14,0,06595,Kevin Sutherland,6,2
14,0,28780,Nicholas Thompson,6,1
14,0,08793,Tiger Woods,6,4,1
27,0,01035,Tommy Armour III,5,1,1
27,0,24357,K.J. Choi,5,1
27,0,22621,Ben Curtis,5,2
27,0,20104,Ken Duke,5,2
27,0,06522,Ernie Els,5,1,1
27,0,20574,Mathew Goggin,5,1,2
27,0,21350,Ryuji Imada,5,1,2,1
27,0,23108,Matt Kuchar,5,1,1
27,0,26695,Michael Letzig,5,1
27,0,24781,Hunter Mahan,5,1
27,0,27120,Troy Matteson,5,1
27,0,20572,Rod Pampling,5,1,1
27,0,25345,Carl Pettersson,5,1
27,0,22293,Heath Slocum,5
27,0,27649,Brandt Snedeker,5,1
27,0,26289,Boo Weekley,5,1
27,0,21878,Mark Wilson,5,1
44,0,21633,Steve Allan,4,1
44,0,25364,Paul Casey,4
44,0,20472,Alex Cejka,4
44,0,23541,Ben Crane,4
44,0,21961,Charles Howell III,4,1
44,0,08075,Jerry Kelly,4,2,1
44,0,12705,Cliff Kresge,4,1
44,0,27060,John Mallinger,4,2
44,0,01766,Billy Mayfair,4,2
44,0,27933,John Merrick,4,1
44,0,22348,Nick O'Hern,4,1
44,0,21949,Joe Ogilvie,4
44,0,21528,Henrik Stenson,4,2
44,0,27214,Kevin Streelman,4
44,0,23788,D.J. Trahan,4,1
44,0,20160,Charlie Wi,4,1
60,0,23778,Brad Adamonis,3,1
60,0,06197,Michael Allen,3,1
60,0,23048,Eric Axley,3
60,0,22371,Aaron Baddeley,3,1
60,0,20498,Briny Baird,3
60,0,23135,Tim Clark,3,1
60,0,01226,Fred Couples,3
60,0,23983,Luke Donald,3,1,1
60,0,01313,Steve Elkington,3
60,0,22892,Jason Gore,3
60,0,06643,Paul Goydos,3,1
60,0,12782,Tim Herron,3
60,0,12716,Charley Hoffman,3
60,0,27141,J.B. Holmes,3,1
