RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# HOLES
1,20,01690,Bruce Lietzke,73.32,937,1278
2,21,02170,Hal Sutton,72.50,1318,1818
3,29,01219,John Cook,71.74,1188,1656
4,30,02321,Fuzzy Zoeller,71.73,723,1008
5,31,01926,Steve Pate,71.24,1231,1728
6,31,01975,Tom Purtzer,71.15,1127,1584
7,31,01060,Dave Barr,71.06,1100,1548
8,35,01203,Russ Cochran,70.73,1254,1773
9,35,01938,David Peoples,70.70,1228,1737
10,35,01971,Dillard Pruitt,70.65,1081,1530
11,35,06284,Jim Hallet,70.56,1359,1926
12,35,01797,Rocco Mediate,70.44,1065,1512
13,35,01958,Dan Pohl,70.39,856,1216
14,36,01072,Chip Beck,70.29,1164,1656
15,36,01306,David Edwards,70.05,1223,1746
16,36,06044,Scott Gump,69.75,1155,1656
17,36,01633,Tom Kite,69.60,1115,1602
18,36,01226,Fred Couples,69.58,1027,1476
19,36,01527,Scott Hoch,69.52,1439,2070
20,36,01142,Bart Bryant,69.44,1175,1692
21,50,01457,Jay Haas,69.35,1161,1674
21,50,01823,Larry Mize,69.35,1136,1638
23,50,01771,Blaine McCallister,69.33,1223,1764
23,50,02101,Joey Sindelar,69.33,1173,1692
25,50,02049,Gene Sauers,69.21,1034,1494
26,50,01599,Steve Jones,69.17,1133,1638
27,51,01093,Ronnie Black,69.08,945,1368
28,52,01469,Dan Halldorson,68.93,1067,1548
29,52,01968,Nick Price,68.88,1029,1494
30,52,02256,Tom Watson,68.85,632,918
31,52,06034,Marco Dawson,68.77,1015,1476
32,52,02067,Ted Schulz,68.69,1224,1782
33,52,01569,Peter Jacobsen,68.67,890,1296
34,52,01945,Kenny Perry,68.57,975,1422
35,52,01323,Brad Fabel,68.52,1147,1674
35,52,02131,Mike Springer,68.52,1110,1620
37,54,01725,John Mahaffey,68.49,863,1260
38,54,01313,Steve Elkington,68.44,1121,1638
38,54,02322,Richard Zokol,68.44,850,1242
40,54,01837,Gil Morgan,68.43,1010,1476
41,54,01887,Mark O'Meara,68.38,997,1458
41,54,02010,Loren Roberts,68.38,1317,1926
43,54,01151,Clark Burroughs,68.31,664,972
44,54,01549,Mike Hulbert,68.23,1351,1980
45,54,01682,Wayne Levi,68.22,921,1350
46,54,02167,Mike Sullivan,68.18,1080,1584
46,54,02225,Howard Twitty,68.18,1258,1845
48,54,01129,Bill Britton,68.17,1178,1728
49,54,01201,Lennie Clements,68.16,638,936
50,54,02267,D.A. Weibring,68.10,1042,1530
51,54,01724,Jeff Maggert,68.09,1103,1620
52,54,01783,Mark McCumber,68.07,968,1422
53,57,02223,Bob Tway,67.98,930,1368
54,57,01042,Paul Azinger,67.96,929,1367
55,57,01766,Billy Mayfair,67.87,1295,1908
55,57,02214,Kirk Triplett,67.87,1124,1656
57,57,02111,Mike Smith,67.86,1246,1836
58,57,01156,Curt Byrum,67.81,1184,1746
58,57,01550,Ed Humenik,67.81,1123,1656
60,57,01014,Fulton Allem,67.78,812,1198
60,57,02090,Tom Sieckmann,67.78,1037,1530
62,57,01288,Ed Dougherty,67.69,1389,2052
62,57,02099,Scott Simpson,67.69,792,1170
64,57,02100,Tim Simpson,67.67,1011,1494
65,57,02195,Leonard Thompson,67.64,974,1440
66,57,01444,Ken Green,67.62,1132,1674
67,57,01390,Buddy Gardner,67.61,1290,1908
68,58,01040,Emlyn Aubrey,67.51,1276,1890
68,58,02242,Lanny Wadkins,67.51,1045,1548
70,58,02246,Duffy Waldorf,67.48,1166,1728
71,59,01006,John Adams,67.45,1117,1656
71,59,06118,Greg Bruckner,67.45,1202,1782
73,59,01715,Mark Lye,67.40,1104,1638
74,59,01346,Ed Fiori,67.39,1213,1800
75,60,02104,Jeff Sluman,67.38,1322,1962
76,60,02303,Robert Wrenn,67.35,1079,1602
77,60,01098,Jay Don Blake,67.33,1212,1800
77,60,01723,Andrew Magee,67.33,1115,1656
79,60,01200,Keith Clearwater,67.31,1260,1872
80,60,02190,Doug Tewell,67.24,823,1224
81,60,01361,Dan Forsman,67.23,1065,1584
82,60,02201,Jim Thorpe,67.15,979,1458
83,60,02159,Curtis Strange,67.09,797,1188
84,60,01928,Corey Pavin,67.06,1195,1782
84,60,02146,Payne Stewart,67.06,857,1278
86,60,01385,Jim Gallagher Jr.,67.01,1351,2016
87,60,02133,Craig Stadler,66.90,843,1260
88,60,06332,Neal Lancaster,66.87,1324,1980
89,60,01307,Joel Edwards,66.86,1035,1548
90,60,01133,Billy Ray Brown,66.78,1130,1692
91,60,01282,Trevor Dodds,66.67,1032,1548
92,84,01191,Barry Cheesman,66.58,815,1224
93,84,01846,Jodie Mudd,66.57,719,1080
94,84,01701,Bob Lohr,66.53,970,1458
95,84,01553,John Huston,66.49,1161,1746
96,84,01143,Brad Bryant,66.45,909,1368
