RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS
1,0,01766,Billy Mayfair,907251
2,0,01313,Steve Elkington,625500
3,0,01876,Greg Norman,523750
4,0,01887,Mark O'Meara,480547
5,0,01143,Brad Bryant,451400
6,0,06522,Ernie Els,417300
7,0,07867,Woody Austin,394382
8,0,01577,Lee Janzen,386639
9,0,02170,Hal Sutton,363096
10,0,10809,Jim Furyk,355214
11,0,10860,Justin Leonard,336433
12,0,01968,Nick Price,334853
13,0,01527,Scott Hoch,311511
14,0,01381,Fred Funk,303205
15,0,01457,Jay Haas,293272
16,0,02010,Loren Roberts,292630
17,0,01928,Corey Pavin,290766
18,0,02246,Duffy Waldorf,278642
19,0,02214,Kirk Triplett,262062
20,0,02267,D.A. Weibring,245809
21,0,02104,Jeff Sluman,238253
22,0,02223,Bob Tway,225408
23,0,08635,Colin Montgomerie,216000
24,0,01385,Jim Gallagher Jr.,203326
25,0,06090,Jim McGovern,199377
26,0,06567,Vijay Singh,196000
27,0,01701,Bob Lohr,191384
28,0,01706,Davis Love III,190350
29,0,01677,Tom Lehman,176600
30,0,02146,Payne Stewart,172930
31,0,07235,John Morse,172724
32,0,20094,Jonathan Kaye,160221
33,0,02218,Ted Tryba,156164
34,0,10569,Mike Brisky,154195
35,0,09011,David Duval,150279
36,0,01810,Phil Mickelson,149333
37,0,01226,Fred Couples,138551
38,0,02133,Craig Stadler,137790
39,0,02099,Scott Simpson,136050
40,0,06034,Marco Dawson,128167
41,0,02279,Mark Wiebe,125985
42,0,10585,Scott McCarron,124950
43,0,01724,Jeff Maggert,123008
44,0,01326,Nick Faldo,122170
45,0,20051,Joe Acosta Jr.,120251
46,0,01569,Peter Jacobsen,118488
47,0,01945,Kenny Perry,117120
48,0,06373,José María Olazábal,117031
49,0,01320,Bob Estes,116878
50,0,02008,Lee Rinker,114937
51,0,01707,Steve Lowery,114567
52,0,01723,Andrew Magee,105157
53,0,01203,Russ Cochran,102361
54,0,02101,Joey Sindelar,100575
55,0,01096,Phil Blackmar,99786
56,0,01361,Dan Forsman,96720
57,0,01329,Brad Faxon,96387
58,0,08931,Glen Day,96285
59,0,01157,Tom Byrum,92086
60,0,01261,Jay Delsing,89379
61,0,01418,Bill Glasson,87300
62,0,01161,Mark Calcavecchia,86571
63,0,01306,David Edwards,85340
64,0,01549,Mike Hulbert,83945
65,0,01098,Jay Don Blake,82449
66,0,01235,Ben Crenshaw,77400
67,0,02167,Mike Sullivan,76222
68,0,01307,Joel Edwards,72528
69,0,06124,Patrick Burke,72520
70,0,02239,Scott Verplank,70897
71,0,01927,Dennis Paulson,65241
72,0,01725,John Mahaffey,64680
73,0,01156,Curt Byrum,63912
74,0,10425,Jay Williamson,62715
75,0,06214,Guy Boros,62333
