RANK,MOVEMENT,PLAYER_ID,PLAYER,NUMBER OF CUTS
1,0,21753,Brian Davis,17
2,0,08793,Tiger Woods,16
3,0,20498,Briny Baird,14
4,0,24140,Sean O'Hair,12
5,0,01142,Bart Bryant,11
5,0,06522,Ernie Els,11
5,0,26289,Boo Weekley,11
8,0,21731,Freddie Jacobson,10
8,0,22212,Craig Lile,10
8,0,01945,Kenny Perry,10
11,0,12652,Cameron Beckman,9
11,0,06527,Steve Stricker,9
13,0,06004,Stephen Ames,8
13,0,07867,Woody Austin,8
13,0,20396,Lee Westwood,8
16,0,20104,Ken Duke,7
16,0,21209,Sergio Garcia,7
16,0,20572,Rod Pampling,7
16,0,24502,Adam Scott,7
16,0,27770,Camilo Villegas,7
21,0,20218,Shingo Katayama,6
21,0,10860,Justin Leonard,6
21,0,11032,Frank Lickliter II,6
21,0,22046,Geoff Ogilvy,6
21,0,20691,Greg Owen,6
21,0,01928,Corey Pavin,6
21,0,22913,John Rollins,6
21,0,23623,Bo Van Pelt,6
29,0,06197,Michael Allen,5
29,0,19803,Ryan Armour,5
29,0,23614,Rich Beem,5
29,0,12510,Chad Campbell,5
29,0,25364,Paul Casey,5
29,0,20472,Alex Cejka,5
29,0,20850,Daniel Chopra,5
29,0,23541,Ben Crane,5
29,0,25686,Jason Dufner,5
29,0,20105,Jeff Gove,5
29,0,20569,Richard Green,5
29,0,12782,Tim Herron,5
29,0,12461,Paul McGinley,5
29,0,12660,Jesper Parnevik,5
29,0,27963,Chris Stroud,5
29,0,27095,Nick Watney,5
45,0,24507,Jason Bohn,4
45,0,23135,Tim Clark,4
45,0,23638,Brendon de Jonge,4
45,0,06621,Joe Durant,4
45,0,20585,Niclas Fasth,4
45,0,10809,Jim Furyk,4
45,0,25900,Lucas Glover,4
45,0,21350,Ryuji Imada,4
45,0,24024,Zach Johnson,4
45,0,10733,Kent Jones,4
45,0,12680,Shigeki Maruyama,4
45,0,01941,Tom Pernice Jr.,4
45,0,23621,Rory Sabbatini,4
45,0,20645,John Senden,4
45,0,10423,Mike Weir,4
45,0,20436,Garrett Willis,4
61,0,21407,Arjun Atwal,3
61,0,24925,Jonathan Byrd,3
61,0,22792,Peter Hanson,3
61,0,01766,Billy Mayfair,3
61,0,26596,Ryan Moore,3
61,0,21949,Joe Ogilvie,3
61,0,23320,Ryan Palmer,3
61,0,24361,Pat Perez,3
61,0,06567,Vijay Singh,3
61,0,27649,Brandt Snedeker,3
61,0,06595,Kevin Sutherland,3
61,0,02246,Duffy Waldorf,3
61,0,20160,Charlie Wi,3
74,0,20098,Stuart Appleby,2
74,0,19824,Craig Barlow,2
74,0,10944,Thomas Bjørn,2
74,0,23933,Michael Boyd,2
74,0,08191,Paul Broadhurst,2
74,0,01132,Mark Brooks,2
74,0,20848,Ángel Cabrera,2
74,0,24357,K.J. Choi,2
74,0,19825,Darren Clarke,2
74,0,23983,Luke Donald,2
74,0,01313,Steve Elkington,2
74,0,12760,Danny Ellis,2
74,0,20121,Todd Fischer,2
74,0,07457,Steve Flesch,2
74,0,01381,Fred Funk,2
74,0,01388,Robert Gamez,2
74,0,19846,Brian Gay,2
74,0,22892,Jason Gore,2
74,0,06643,Paul Goydos,2
74,0,27576,Anton Haig,2
74,0,22378,Trevor Immelman,2
74,0,01577,Lee Janzen,2
74,0,07547,Craig Kanada,2
74,0,19970,Robert Karlsson,2
74,0,29718,Anthony Kim,2
74,0,06012,Greg Kraft,2
74,0,23108,Matt Kuchar,2
74,0,22806,Doug LaBelle II,2
74,0,01666,Bernhard Langer,2
74,0,21207,José Manuel Lara,2
74,0,29461,Jamie Lovemark,2
74,0,01707,Steve Lowery,2
74,0,01717,Sandy Lyle,2
74,0,24781,Hunter Mahan,2
74,0,27060,John Mallinger,2
74,0,28158,Steve Marino,2
74,0,06090,Jim McGovern,2
74,0,24449,Parker McLachlin,2
74,0,23800,Bryce Molder,2
74,0,08635,Colin Montgomerie,2
74,0,22348,Nick O'Hern,2
74,0,01948,Tim Petrovic,2
74,0,10213,Dicky Pride,2
74,0,29476,Kyle Reifers,2
74,0,20127,Chris Riley,2
74,0,22405,Justin Rose,2
74,0,28456,Andrew Ruthkoski,2
74,0,26882,Michael Sim,2
74,0,23969,Graeme Storm,2
74,0,02223,Bob Tway,2
74,0,02245,Grant Waite,2
74,0,23349,Charles Warren,2
74,0,25892,Steve Wheatcroft,2
