RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED
1,0,08793,Tiger Woods,15.67,673.64,-878.98,568.11
2,0,01810,Phil Mickelson,9.16,430.58,-379.15,411.85
3,0,09011,David Duval,7.98,327.14,-257.71,308.89
4,0,06522,Ernie Els,6.99,356.43,-367.64,267.57
5,0,01706,Davis Love III,6.02,271.11,-254.19,275.25
6,0,21209,Sergio Garcia,5.86,293.22,-246.10,315.46
7,0,02206,David Toms,5.83,332.33,-222.84,320.60
8,0,06567,Vijay Singh,5.60,335.94,-327.19,352.35
9,0,19825,Darren Clarke,5.03,281.55,-260.40,232.31
10,0,20157,Retief Goosen,4.95,292.11,-189.14,307.03
11,0,20766,Padraig Harrington,4.93,241.51,-181.33,221.19
12,0,10423,Mike Weir,4.92,250.71,-207.43,221.94
13,0,01666,Bernhard Langer,4.52,239.33,-125.12,251.60
14,0,08635,Colin Montgomerie,4.39,219.51,-300.87,184.11
15,0,10809,Jim Furyk,4.28,209.95,-222.22,219.35
16,0,10821,Toshi Izawa,4.27,183.79,-121.31,175.15
17,0,02239,Scott Verplank,4.23,228.54,-131.72,228.55
18,0,01320,Bob Estes,4.08,191.57,-97.43,204.91
19,0,19972,José Coceres,4.06,166.63,-100.54,156.34
20,0,06251,Chris DiMarco,3.90,241.89,-126.17,232.94
21,0,01527,Scott Hoch,3.87,213.11,-141.79,224.92
22,0,10885,Robert Allenby,3.86,231.89,-166.24,206.40
23,0,01677,Tom Lehman,3.82,171.72,-200.51,152.83
24,0,10944,Thomas Bjørn,3.70,203.62,-209.99,164.34
25,0,01042,Paul Azinger,3.58,143.06,-126.47,134.66
26,0,01161,Mark Calcavecchia,3.56,178.23,-150.07,192.17
27,0,01797,Rocco Mediate,3.35,143.98,-137.54,145.15
28,0,20400,Michael Campbell,3.33,169.73,-195.17,121.51
29,0,20396,Lee Westwood,3.26,166.33,-300.49,48.41
30,0,01968,Nick Price,3.23,148.41,-193.13,117.22
31,0,20229,Stewart Cink,3.18,178.10,-198.08,160.11
32,0,12660,Jesper Parnevik,3.14,157.18,-208.85,142.33
33,0,01945,Kenny Perry,3.14,141.22,-72.34,144.15
34,0,20848,Ángel Cabrera,3.12,146.41,-125.78,149.30
35,0,12461,Paul McGinley,3.08,160.01,-91.79,156.29
36,0,02170,Hal Sutton,3.06,156.08,-239.09,139.02
37,0,20218,Shingo Katayama,3.06,159.01,-105.82,124.63
38,0,20585,Niclas Fasth,2.73,117.44,-47.38,126.39
39,0,06621,Joe Durant,2.73,141.81,-86.88,187.34
40,0,10860,Justin Leonard,2.62,154.83,-179.94,125.86
41,0,01707,Steve Lowery,2.62,149.19,-101.83,140.42
42,0,02214,Kirk Triplett,2.58,139.34,-139.47,118.01
43,0,20098,Stuart Appleby,2.56,148.40,-143.20,120.35
44,0,01329,Brad Faxon,2.45,134.51,-104.08,152.77
45,0,21961,Charles Howell III,2.42,99.29,-23.73,107.11
46,0,06373,José María Olazábal,2.40,134.12,-128.93,112.23
47,0,11032,Frank Lickliter II,2.39,140.73,-100.15,153.97
48,0,20935,Toru Taniguchi,2.23,127.11,-104.17,91.14
49,0,24502,Adam Scott,2.21,108.09,-42.32,111.72
50,0,06527,Steve Stricker,2.20,87.80,-73.38,113.35
51,0,01249,John Daly,2.18,124.27,-28.96,144.57
52,0,01024,Billy Andrade,2.18,124.15,-75.45,121.09
53,0,20763,Pierre Fulke,2.18,87.10,-95.62,50.46
54,0,10585,Scott McCarron,2.18,119.69,-63.77,143.48
55,0,07457,Steve Flesch,2.17,138.88,-125.50,99.50
56,0,19904,Paul Lawrie,2.13,110.95,-101.10,99.33
57,0,01766,Billy Mayfair,2.11,120.38,-80.75,145.96
58,0,19958,Miguel Angel Jiménez,2.08,108.24,-150.71,89.34
