RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL 3 PUTTS 5'-10',TOTAL 3 PUTTS
1,0,46402,Talor Gooch,5,24
2,0,30927,Brendon Todd,4,38
3,0,33404,Chris Baker,3,23
3,0,40058,Zac Blair,3,32
3,0,34076,Joel Dahmen,3,28
3,7,46717,Viktor Hovland,3,22
3,0,36689,Brooks Koepka,3,22
3,0,23108,Matt Kuchar,3,13
3,0,48822,Sebastián Muñoz,3,39
3,0,27556,Ted Potter Jr.,3,22
11,-1,34255,Joseph Bramlett,2,30
11,-1,34314,Sebastian Cappelen,2,22
11,-1,25686,Jason Dufner,2,43
11,-1,21209,Sergio Garcia,2,23
11,-1,35310,Lanto Griffin,2,41
11,-1,34563,Chesson Hadley,2,29
11,-1,49298,Kramer Hickok,2,23
11,-1,39977,Max Homa,2,20
11,-1,29420,Billy Horschel,2,18
11,-1,33410,Andrew Landry,2,31
11,-1,29926,Danny Lee,2,38
11,-1,32839,Hideki Matsuyama,2,42
11,-1,28237,Rory McIlroy,2,27
11,-1,34213,Grayson Murray,2,24
11,-1,45486,Joaquin Niemann,2,42
11,-1,24361,Pat Perez,2,20
11,-1,25818,Scott Piercy,2,19
11,-1,24138,Ian Poulter,2,16
11,-1,53165,Doc Redman,2,35
11,-1,46046,Scottie Scheffler,2,38
11,-1,23325,Vaughn Taylor,2,14
11,-1,33448,Justin Thomas,2,24
11,-1,29484,Peter Uihlein,2,10
11,-1,35658,Kris Ventura,2,16
11,-1,27095,Nick Watney,2,19
11,-1,32254,Xinjun Zhang,2,31
37,0,33948,Byeong Hun An,1,45
37,0,45526,Abraham Ancer,1,21
37,0,22371,Aaron Baddeley,1,17
37,0,25364,Paul Casey,1,23
37,0,52372,Cameron Champ,1,39
37,0,51766,Wyndham Clark,1,24
37,0,45157,Cam Davis,1,39
37,0,47959,Bryson DeChambeau,1,24
37,0,32102,Rickie Fowler,1,20
37,0,29970,Dylan Frittelli,1,41
37,0,48045,Michael Gellerman,1,24
37,0,25900,Lucas Glover,1,27
37,0,28679,Fabián Gómez,1,18
37,0,29974,Branden Grace,1,16
37,0,31646,Emiliano Grillo,1,32
37,0,33399,Adam Hadwin,1,23
37,0,27644,Brian Harman,1,22
37,0,34098,Russell Henley,1,24
37,0,33597,Harry Higgs,1,30
37,0,12716,Charley Hoffman,1,24
37,0,36801,Mark Hubbard,1,24
37,0,24024,Zach Johnson,1,21
37,0,26300,Matt Jones,1,36
37,0,27974,Sung Kang,1,39
37,0,29478,Kevin Kisner,1,22
37,0,32757,Patton Kizzire,1,20
37,0,30944,Jason Kokrak,1,33
37,0,31420,Anirban Lahiri,1,20
37,0,27936,Martin Laird,1,23
37,0,28775,Nate Lashley,1,23
37,0,49766,Hank Lebioda,1,32
37,0,26851,Marc Leishman,1,25
37,0,27129,Luke List,1,36
37,0,40042,Tyler McCumber,1,31
37,0,25572,Graeme McDowell,1,22
37,0,32640,Troy Merritt,1,22
37,0,39546,Keith Mitchell,1,29
37,0,26596,Ryan Moore,1,17
37,0,27942,Rob Oppenheim,1,33
37,0,33667,Carlos Ortiz,1,30
37,0,23320,Ryan Palmer,1,32
37,0,22056,Cameron Percy,1,18
37,0,28252,Seamus Power,1,13
37,0,34360,Patrick Reed,1,22
37,0,35732,Wes Roach,1,19
37,0,36699,Patrick Rodgers,1,23
37,0,22405,Justin Rose,1,19
37,0,46441,Robby Shelton,1,28
37,0,33486,Roger Sloan,1,18
37,0,27649,Brandt Snedeker,1,17
37,0,34046,Jordan Spieth,1,25
37,0,30692,Scott Stallings,1,25
37,0,29518,Brendan Steele,1,34
37,0,33449,Zack Sucher,1,15
37,0,25493,Nick Taylor,1,21
37,0,27330,Josh Teater,1,22
37,0,23788,D.J. Trahan,1,17
37,0,33419,Cameron Tringale,1,29
37,0,51894,Vince Whaley,1,20
37,0,25349,Tim Wilkinson,1,16
37,0,32139,Danny Willett,1,19
37,0,49964,Aaron Wise,1,33
