RANK,MOVEMENT,PLAYER_ID,PLAYER,%,OFFICIAL MONEY WON,TOTAL PURSE AVAILABLE
1,0,30925,Dustin Johnson,5.03,8732193,173700000
2,0,34046,Jordan Spieth,4.85,9433033,194500000
3,0,33448,Justin Thomas,4.77,9921560,208200000
4,0,32839,Hideki Matsuyama,4.39,8380569,191000000
5,0,32102,Rickie Fowler,3.34,6083197,182050000
6,0,46970,Jon Rahm,3.16,6123248,193600010
7,0,26851,Marc Leishman,2.84,5866390,206750010
8,0,36689,Brooks Koepka,2.74,5612397,205000000
8,0,35174,Matthew Southgate,2.74,281000,10250000
10,0,22405,Justin Rose,2.70,4245308,157450000
11,0,46464,Jordan L Smith,2.38,250000,10500000
12,0,21209,Sergio Garcia,2.30,3522476,153050000
12,0,39546,Keith Mitchell,2.30,144900,6300000
14,0,30911,Tommy Fleetwood,2.10,2094455,99900000
14,0,48081,Xander Schauffele,2.10,4312674,205000010
16,0,29478,Kevin Kisner,2.08,4766936,229300000
17,0,21528,Henrik Stenson,2.06,2769771,134650000
18,0,40026,Daniel Berger,2.02,4287161,212600000
18,0,24361,Pat Perez,2.02,4361400,216100010
20,0,30736,Oscar Fraustro,2.00,140000,7000010
21,0,23108,Matt Kuchar,1.99,4282488,215000000
22,0,35450,Patrick Cantlay,1.96,2049632,104800000
23,0,25364,Paul Casey,1.94,3906974,201800000
24,0,26329,Louis Oosthuizen,1.92,3105422,161350000
25,0,27644,Brian Harman,1.91,4396470,230300010
26,0,33293,Thomas Pieters,1.86,2058070,110700000
27,0,28237,Rory McIlroy,1.82,2430182,133750000
28,0,12716,Charley Hoffman,1.73,4161008,240400010
29,0,28089,Jason Day,1.72,2978181,173550000
30,0,25686,Jason Dufner,1.68,3310341,197600000
31,0,34098,Russell Henley,1.63,3413876,209400000
32,0,25198,Francesco Molinari,1.60,2875850,179850000
33,0,30163,Henrik Norlander,1.57,498914,31700000
33,0,30110,Kyle Stanley,1.57,3402106,217300010
35,0,33399,Adam Hadwin,1.56,3455012,221200010
35,0,35296,Haotong Li,1.56,751972,48050000
37,0,21961,Charles Howell III,1.54,2606383,169550010
38,0,01226,Fred Couples,1.49,148500,10000000
39,0,32070,Rafael Campos,1.47,333979,22700000
40,0,29221,Webb Simpson,1.45,3209646,220600010
41,0,24138,Ian Poulter,1.44,2098346,145800010
42,0,29518,Brendan Steele,1.43,2907095,202950000
43,0,45157,Cam Davis,1.41,98467,7000010
44,0,32366,Kevin Chappell,1.40,3149615,224800000
45,0,24924,Bill Haas,1.39,2842173,204950000
45,0,27649,Brandt Snedeker,1.39,1625806,116900000
47,0,31323,Gary Woodland,1.38,2980225,216700010
48,0,26331,Charl Schwartzel,1.32,2156036,162850000
49,0,34709,Eddie Pepperell,1.31,156809,12000000
50,0,29725,Tony Finau,1.30,2838629,217950010
51,0,34360,Patrick Reed,1.28,3055111,238100000
52,0,47906,Austin Connelly,1.26,128917,10250000
52,0,27064,Jhonattan Vegas,1.26,2944738,233600010
54,0,27896,Ross Fisher,1.25,1258083,100700000
54,0,29420,Billy Horschel,1.25,2697960,215850010
56,0,24024,Zach Johnson,1.24,2362968,190050000
57,0,24502,Adam Scott,1.20,1695144,141000000
58,0,48084,Wesley Bryan,1.19,2495751,208950010
59,0,31420,Anirban Lahiri,1.17,1944289,165800010
59,0,01810,Phil Mickelson,1.17,2102599,179750000
61,0,26499,Rafa Cabrera Bello,1.15,1934675,167750000
62,0,35891,Cameron Smith,1.12,2123216,189900010
63,0,27349,Alex Noren,1.11,1205516,108200000
64,0,37455,Si Woo Kim,1.10,2681177,243450010
65,0,34264,Hudson Swafford,1.06,2246090,211100010
66,0,25900,Lucas Glover,1.02,1955822,191650000
66,0,35506,Mackenzie Hughes,1.02,2355553,231750010
66,0,46501,Ollie Schniederjans,1.02,1935669,190250010
69,0,27899,Rikard Karlberg,.98,93000,9500000
70,0,27408,Martin Kaymer,.96,892353,93350000
70,0,49773,Chase Koepka,.96,140225,14600000
72,0,27436,Graham DeLaet,.93,1603666,172900000
72,0,24140,Sean O'Hair,.93,1873856,201250000
72,0,20572,Rod Pampling,.93,1539422,166250000
72,0,32254,Xinjun Zhang,.93,88000,9500000
76,0,27963,Chris Stroud,.92,1308445,142400010
77,0,34363,Tyrrell Hatton,.91,1103224,120700000
77,0,27936,Martin Laird,.91,1759706,193000010
77,0,06527,Steve Stricker,.91,1002036,110500000
80,0,33141,Keegan Bradley,.90,1940478,215250010
80,0,26596,Ryan Moore,.90,1751851,195350000
82,0,29461,Jamie Lovemark,.89,1886972,211700010
83,0,23063,Scott Hend,.88,501635,56750000
83,0,26476,Chez Reavie,.88,1819206,206650010
85,0,32448,James Hahn,.87,1841314,211900000
85,0,35879,Kelly Kraft,.87,1638045,187400000
87,0,27129,Luke List,.86,1813219,211950010
88,0,29479,Scott Brown,.85,1748324,206750010
88,0,27974,Sung Kang,.85,1943309,228500010
90,0,33122,Russell Knox,.84,1643924,196300010
90,0,33870,Ashun Wu,.84,80167,9500000
92,0,25396,Kevin Na,.83,1728350,207900000
92,0,27942,Rob Oppenheim,.83,224190,27100000
92,0,32333,Kevin Tway,.83,1472613,176650010
95,0,45836,Richard Bland,.81,160000,19750000
95,0,47959,Bryson DeChambeau,.81,1817054,224450010
95,0,21498,Hideto Tanihara,.81,816347,101100000
98,0,27895,Jonas Blixt,.80,1408288,175200010
99,0,34587,Chan Kim,.79,175333,22250000
100,0,25818,Scott Piercy,.78,1317452,169600010
100,0,29454,Bernd Wiesberger,.78,769314,99000000
102,0,20229,Stewart Cink,.77,1463923,190500010
102,0,29974,Branden Grace,.77,1315054,170500000
104,0,34021,Bud Cauley,.76,1553685,203150010
105,0,31646,Emiliano Grillo,.75,1567015,208250010
106,0,24925,Jonathan Byrd,.73,328337,45100000
106,0,23983,Luke Donald,.73,958850,131550010
106,0,34431,Robert Streb,.73,1588287,216900000
109,0,27214,Kevin Streelman,.72,1313327,182000010
110,0,33974,Dean Burmester,.71,67000,9500000
110,0,29926,Danny Lee,.71,1611331,226350010
112,0,27141,J.B. Holmes,.70,1353584,192750000
112,0,20691,Greg Owen,.70,738711,105100000
114,0,33948,Byeong Hun An,.69,1236090,179600000
114,0,34213,Grayson Murray,.69,1468728,211450000
114,0,36699,Patrick Rodgers,.69,1346322,195600010
117,0,12510,Chad Campbell,.68,1329941,197000010
118,0,39954,Cody Gribble,.67,1305554,195100010
119,0,31557,Jim Herman,.66,1205632,182000010
119,0,25804,Bubba Watson,.66,1223129,185600000
121,0,37338,Zecheng Dou,.65,62000,9500000
121,0,33461,Morgan Hoffmann,.65,1278568,198100010
121,0,25493,Nick Taylor,.65,1255259,191800010
124,0,30926,Chris Kirk,.64,1216047,190400010
125,0,24179,David Drysdale,.63,64500,10250000
125,0,25632,Jimmy Walker,.63,1101162,174150000
127,0,37454,Whee Kim,.62,1125368,182000000
127,0,34409,David Lingmerth,.62,1070754,174000000
127,0,33204,Shane Lowry,.62,831411,134600000
127,0,29908,C.T. Pan,.62,1267649,203300010
127,0,37157,Renato Paratore,.62,60000,9750000
132,0,40098,Matt Fitzpatrick,.61,687437,113600000
133,0,25240,D.A. Points,.60,893700,150050000
134,0,32757,Patton Kizzire,.59,1110395,187700000
134,0,39324,J.J. Spaun,.59,1122611,188900010
134,0,27770,Camilo Villegas,.59,971420,165900010
134,0,20396,Lee Westwood,.59,581198,99000000
138,0,40009,Dominic Bozzelli,.58,868519,149400010
138,0,19846,Brian Gay,.58,942372,163450010
138,0,24748,WC Liang,.58,55000,9500000
138,0,23548,Bill Lunde,.58,233984,40100000
138,0,49964,Aaron Wise,.58,209488,36300010
143,0,23320,Ryan Palmer,.57,772560,136700000
143,0,30692,Scott Stallings,.57,955337,167750010
145,0,49298,Kramer Hickok,.56,75300,13500000
145,0,30944,Jason Kokrak,.56,1173708,211300010
145,0,28300,Joost Luiten,.56,279237,49750000
145,0,31202,William McGirt,.56,1225005,217050000
145,0,47128,Richy Werenski,.56,890262,159750010
150,0,28783,Sam Brazel,.55,107000,19500000
150,0,27095,Nick Watney,.55,824162,151050000
152,0,22371,Aaron Baddeley,.54,755356,139150000
152,0,34643,Michael Johnson,.54,54768,10200000
152,0,22986,Søren Kjeldsen,.54,722913,133250000
152,0,48822,Sebastián Muñoz,.54,563900,105350000
152,0,29289,S.Y. Noh,.54,1080706,201050010
152,0,35314,Andy Sullivan,.54,360639,67000000
158,0,24358,Robert Garrigus,.53,880905,167050010
158,0,46550,Brandon Hagy,.53,861227,162250000
158,0,22046,Geoff Ogilvy,.53,867249,164350000
158,0,23621,Rory Sabbatini,.53,741617,140750010
162,0,27958,Ryan Blaum,.52,962768,183950010
162,0,39975,Michael Kim,.52,1018204,195500010
162,0,25572,Graeme McDowell,.52,639770,123300010
162,0,10213,Dicky Pride,.52,165022,31800000
162,0,24459,Richard Sterne,.52,154950,29750000
162,0,22000,Chris Wood,.52,456562,88500000
168,0,35545,Blayne Barber,.51,823082,162550000
169,0,31416,Derek Fathauer,.50,898491,180550010
169,0,24511,Thongchai Jaidee,.50,246500,49750000
169,0,33968,Thorbjørn Olesen,.50,257917,51950000
169,0,35107,Jordan Zunic,.50,47750,9500000
173,0,19824,Craig Barlow,.49,53426,11000000
173,0,28500,Martin Flores,.49,830057,167750010
175,0,28258,K.T. Kim,.47,236208,49750000
175,0,46732,Rick Lamb,.47,524372,111600010
175,0,33413,Ben Martin,.47,850319,179250010
175,0,24077,Matthew Millar,.47,44375,9500000
175,0,29484,Peter Uihlein,.47,272529,57850000
180,0,34099,Harris English,.46,864960,189650010
