RANK,MOVEMENT,PLAYER_ID,PLAYER,MONEY,YTD VICTORIES
1,0,33448,Justin Thomas,$9921560,5
2,0,34046,Jordan Spieth,$9433033,3
3,0,30925,Dustin Johnson,$8732193,4
4,0,32839,Hideki Matsuyama,$8380569,3
5,0,46970,Jon Rahm,$6123248,1
6,0,32102,Rickie Fowler,$6083197,1
7,0,26851,Marc Leishman,$5866390,2
8,0,36689,Brooks Koepka,$5612397,1
9,0,29478,Kevin Kisner,$4766936,1
10,0,27644,Brian Harman,$4396470,1
11,0,24361,Pat Perez,$4361400,1
12,0,48081,Xander Schauffele,$4312674,2
13,0,40026,Daniel Berger,$4287161,1
14,0,23108,Matt Kuchar,$4282488
15,0,22405,Justin Rose,$4245308
16,0,12716,Charley Hoffman,$4161008
17,0,25364,Paul Casey,$3906974
18,0,21209,Sergio Garcia,$3522476,1
19,0,33399,Adam Hadwin,$3455012,1
20,0,34098,Russell Henley,$3413876,1
21,0,30110,Kyle Stanley,$3402106,1
22,0,25686,Jason Dufner,$3310341,1
23,0,29221,Webb Simpson,$3209646
24,0,32366,Kevin Chappell,$3149615,1
25,0,26329,Louis Oosthuizen,$3105422
26,0,34360,Patrick Reed,$3055111
27,0,31323,Gary Woodland,$2980225
28,0,28089,Jason Day,$2978181
29,0,27064,Jhonattan Vegas,$2944738,1
30,0,29518,Brendan Steele,$2907095,1
31,0,25198,Francesco Molinari,$2875850
32,0,24924,Bill Haas,$2842173
33,0,29725,Tony Finau,$2838629
34,0,21528,Henrik Stenson,$2769771,1
35,0,29420,Billy Horschel,$2697960,1
36,0,37455,Si Woo Kim,$2681177,1
37,0,21961,Charles Howell III,$2606383
38,0,48084,Wesley Bryan,$2495751,1
39,0,28237,Rory McIlroy,$2430182
40,0,24024,Zach Johnson,$2362968
41,0,35506,Mackenzie Hughes,$2355553,1
42,0,34264,Hudson Swafford,$2246090,1
43,0,26331,Charl Schwartzel,$2156036
44,0,35891,Cameron Smith,$2123216,1
45,0,01810,Phil Mickelson,$2102599
46,0,24138,Ian Poulter,$2098346
47,0,35450,Patrick Cantlay,$2049632
48,0,25900,Lucas Glover,$1955822
49,0,31420,Anirban Lahiri,$1944289
50,0,27974,Sung Kang,$1943309
51,0,33141,Keegan Bradley,$1940478
52,0,46501,Ollie Schniederjans,$1935669
53,0,26499,Rafa Cabrera Bello,$1934675
54,0,29461,Jamie Lovemark,$1886972
55,0,24140,Sean O'Hair,$1873856
56,0,32448,James Hahn,$1841314
57,0,26476,Chez Reavie,$1819206
58,0,47959,Bryson DeChambeau,$1817054,1
59,0,27129,Luke List,$1813219
60,0,27936,Martin Laird,$1759706
61,0,26596,Ryan Moore,$1751851
62,0,29479,Scott Brown,$1748324
63,0,25396,Kevin Na,$1728350
64,0,24502,Adam Scott,$1695144
65,0,33122,Russell Knox,$1643924
66,0,35879,Kelly Kraft,$1638045
67,0,27649,Brandt Snedeker,$1625806
68,0,29926,Danny Lee,$1611331
69,0,27436,Graham DeLaet,$1603666
70,0,34431,Robert Streb,$1588287
71,0,31646,Emiliano Grillo,$1567015
72,0,34021,Bud Cauley,$1553685
73,0,20572,Rod Pampling,$1539422,1
74,0,32333,Kevin Tway,$1472613
75,0,34213,Grayson Murray,$1468728,1
76,0,20229,Stewart Cink,$1463923
77,0,27895,Jonas Blixt,$1408288,1
78,0,27141,J.B. Holmes,$1353584
79,0,36699,Patrick Rodgers,$1346322
80,0,12510,Chad Campbell,$1329941
81,0,25818,Scott Piercy,$1317452
82,0,29974,Branden Grace,$1315054
83,0,27214,Kevin Streelman,$1313327
84,0,27963,Chris Stroud,$1308445,1
85,0,39954,Cody Gribble,$1305554,1
86,0,33461,Morgan Hoffmann,$1278568
87,0,29908,C.T. Pan,$1267649
88,0,25493,Nick Taylor,$1255259
89,0,33948,Byeong Hun An,$1236090
90,0,31202,William McGirt,$1225005
91,0,25804,Bubba Watson,$1223129
92,0,30926,Chris Kirk,$1216047
93,0,31557,Jim Herman,$1205632
94,0,30944,Jason Kokrak,$1173708
95,0,37454,Whee Kim,$1125368
96,0,39324,J.J. Spaun,$1122611
97,0,32757,Patton Kizzire,$1110395
98,0,25632,Jimmy Walker,$1101162
99,0,29289,S.Y. Noh,$1080706
100,0,34409,David Lingmerth,$1070754
101,0,39975,Michael Kim,$1018204
102,0,06527,Steve Stricker,$1002036
103,0,27770,Camilo Villegas,$971420
104,0,27958,Ryan Blaum,$962768
105,0,23983,Luke Donald,$958850
106,0,30692,Scott Stallings,$955337
107,0,19846,Brian Gay,$942372
108,0,37189,Harold Varner III,$918779
109,0,31416,Derek Fathauer,$898491
110,0,25240,D.A. Points,$893700,1
111,0,47128,Richy Werenski,$890262
112,0,24358,Robert Garrigus,$880905
113,0,40009,Dominic Bozzelli,$868519
114,0,22046,Geoff Ogilvy,$867249
115,0,34099,Harris English,$864960
116,0,46550,Brandon Hagy,$861227
117,0,33413,Ben Martin,$850319
118,0,33204,Shane Lowry,$831411
119,0,28500,Martin Flores,$830057
120,0,25834,Daniel Summerhays,$826124
121,0,27095,Nick Watney,$824162
122,0,35545,Blayne Barber,$823082
123,0,28132,Tyrone Van Aswegen,$806410
124,0,26758,David Hearn,$800710
125,0,23325,Vaughn Taylor,$797385
126,0,33419,Cameron Tringale,$792814
127,0,40058,Zac Blair,$788352
128,0,46440,Smylie Kaufman,$784758
129,0,23320,Ryan Palmer,$772560
130,0,34174,John Huh,$767575
131,0,46601,Trey Mullinax,$758141
132,0,22371,Aaron Baddeley,$755356
133,0,23621,Rory Sabbatini,$741617
