RANK,MOVEMENT,PLAYER_ID,PLAYER,NUMBER OF ROUNDS
1,0,02206,David Toms,24
2,0,20098,Stuart Appleby,20
2,0,06515,Shaun Micheel,20
4,0,01219,John Cook,18
4,0,21961,Charles Howell III,18
6,0,01553,John Huston,17
6,0,11032,Frank Lickliter II,17
6,0,01810,Phil Mickelson,17
9,0,07003,David Berganio Jr.,16
10,0,01948,Tim Petrovic,15
10,0,02101,Joey Sindelar,15
10,0,02223,Bob Tway,15
13,0,06621,Joe Durant,14
13,0,20105,Jeff Gove,14
13,0,08633,Per-Ulrik Johansson,14
13,0,01920,Craig Parry,14
13,0,02239,Scott Verplank,14
18,0,12510,Chad Campbell,13
19,0,24925,Jonathan Byrd,12
19,0,12388,Michael Clark II,12
19,0,01527,Scott Hoch,12
19,0,01577,Lee Janzen,12
19,0,02214,Kirk Triplett,12
24,0,23983,Luke Donald,11
25,0,23541,Ben Crane,10
26,0,20400,Michael Campbell,9
26,0,01175,Jim Carter,9
26,0,19846,Brian Gay,9
26,0,12782,Tim Herron,9
26,0,22046,Geoff Ogilvy,9
26,0,10425,Jay Williamson,9
32,0,20229,Stewart Cink,8
32,0,23135,Tim Clark,8
32,0,19881,Robert Damron,8
32,0,01374,Robin Freeman,8
32,0,20572,Rod Pampling,8
32,0,02002,John Riegger,8
38,0,06004,Stephen Ames,7
38,0,01307,Joel Edwards,7
38,0,10201,Matt Gogel,7
38,0,21806,Paul Gow,7
38,0,02106,Chris Smith,7
43,0,01132,Mark Brooks,6
43,0,12826,Paul Claxton,6
43,0,01313,Steve Elkington,6
43,0,01388,Robert Gamez,6
43,0,01408,Kelly Gibson,6
43,0,22378,Trevor Immelman,6
43,0,20094,Jonathan Kaye,6
43,0,06332,Neal Lancaster,6
43,0,10565,Ian Leggatt,6
43,0,25572,Graeme McDowell,6
43,0,22293,Heath Slocum,6
43,0,20548,Hidemichi Tanaka,6
43,0,02246,Duffy Waldorf,6
56,0,10944,Thomas Bjørn,5
56,0,01139,Olin Browne,5
56,0,19972,José Coceres,5
56,0,20585,Niclas Fasth,5
56,0,10117,Bob Heintz,5
56,0,06514,Kevin Johnson,5
56,0,20382,Stephen Leaney,5
56,0,10585,Scott McCarron,5
56,0,08339,Spike McRoy,5
56,0,01823,Larry Mize,5
56,0,08635,Colin Montgomerie,5
56,0,10107,Deane Pappas,5
56,0,07749,Brett Quigley,5
56,0,12663,Phil Tataurangi,5
56,0,08057,Brian Wilson,5
71,0,20593,Greg Chalmers,4
71,0,01191,Barry Cheesman,4
71,0,06251,Chris DiMarco,4
71,0,01282,Trevor Dodds,4
71,0,23125,Brad Elder,4
71,0,21284,Hiroyuki Fujita,4
71,0,25052,Derek Gillespie,4
71,0,10963,Jimmy Green,4
71,0,20766,Padraig Harrington,4
71,0,01633,Tom Kite,4
71,0,23552,Hank Kuehne,4
71,0,24781,Hunter Mahan,4
71,0,12753,David Morland IV,4
71,0,02020,Eduardo Romero,4
71,0,21452,Steve Scott,4
71,0,20645,John Senden,4
71,0,02224,Greg Twiggs,4
71,0,02294,Willie Wood,4
89,0,07223,Brian Bateman,3
89,0,12652,Cameron Beckman,3
89,0,01142,Bart Bryant,3
89,0,24357,K.J. Choi,3
89,0,01203,Russ Cochran,3
89,0,01226,Fred Couples,3
89,0,24937,Jess Daley,3
89,0,12819,Todd Doohan,3
89,0,09011,David Duval,3
89,0,06522,Ernie Els,3
89,0,01329,Brad Faxon,3
89,0,01331,Rick Fehr,3
89,0,06064,Jeff Gallagher,3
89,0,23903,Stephen Gangluff,3
89,0,26768,Billy Harvey,3
89,0,06617,Brian Henninger,3
89,0,21259,Jason Hill,3
89,0,08075,Jerry Kelly,3
89,0,08993,Franklin Langham,3
89,0,20573,Scott Laycock,3
89,0,01706,Davis Love III,3
89,0,01783,Mark McCumber,3
89,0,08535,Gary Nicklaus,3
89,0,12660,Jesper Parnevik,3
89,0,01941,Tom Pernice Jr.,3
89,0,10213,Dicky Pride,3
89,0,22405,Justin Rose,3
89,0,10649,Tom Scherrer,3
89,0,06076,Jim Schuman,3
89,0,02110,Jerry Smith,3
89,0,11011,Mike Sposa,3
89,0,06847,Jay Synkelma,3
89,0,12454,Mario Tiziani,3
89,0,06613,Tommy Tolles,3
89,0,10423,Mike Weir,3
89,0,20436,Garrett Willis,3
89,0,08793,Tiger Woods,3
126,0,21633,Steve Allan,2
126,0,25459,Mike Capone,2
126,0,01185,Brandel Chamblee,2
126,0,20121,Todd Fischer,2
126,0,07457,Steve Flesch,2
126,0,01355,Raymond Floyd,2
126,0,01361,Dan Forsman,2
126,0,01425,Ernie Gonzalez,2
126,0,01468,Gary Hallberg,2
126,0,01499,Mark Hayes,2
126,0,20634,Peter Lonard,2
126,0,26421,Kris Maffet,2
126,0,12680,Shigeki Maruyama,2
126,0,01797,Rocco Mediate,2
126,0,08549,Aaron Meeks,2
126,0,01886,Peter O'Malley,2
126,0,08553,Lee Porter,2
126,0,01996,Mike Reid,2
126,0,22913,John Rollins,2
126,0,02099,Scott Simpson,2
126,0,06567,Vijay Singh,2
126,0,02104,Jeff Sluman,2
126,0,02133,Craig Stadler,2
126,0,06581,David Sutherland,2
126,0,02218,Ted Tryba,2
126,0,25450,Ty Tryon,2
126,0,26675,Jon Turcott,2
126,0,26498,Matt Weibring,2
126,0,23322,Brett Wetterich,2
