RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG (YARDS),TOTAL DISTANCE (INCHES),NUMBER OF APPROACH SHOTS
1,0,51894,Vince Whaley,146.6,485644000,92
2,0,56762,Will Gordon,146.8,311838000,59
3,0,34213,Grayson Murray,148.2,544161000,102
4,0,46550,Brandon Hagy,148.5,556171000,104
5,0,28252,Seamus Power,150.2,302824000,56
6,0,46442,Maverick McNealy,150.8,852047000,157
7,0,32366,Kevin Chappell,152.2,520514000,95
8,0,30944,Jason Kokrak,152.5,730055000,133
9,0,34466,Peter Malnati,153.2,727956000,132
10,1,35450,Patrick Cantlay,154.4,622737000,112
11,1,48887,Matt Wallace,155.0,613773000,110
12,1,56278,Matthew Wolff,155.8,959300000,171
13,1,33449,Zack Sucher,155.9,415395000,74
14,1,49771,J.T. Poston,156.2,910837000,162
15,2,51766,Wyndham Clark,156.6,862665000,153
15,2,35230,Nelson Ledesma,156.6,462303000,82
17,2,36699,Patrick Rodgers,156.9,1078823000,191
18,2,30692,Scott Stallings,157.2,758550000,134
19,2,46435,Austin Cook,157.3,741842000,131
20,4,52372,Cameron Champ,157.4,1008855000,178
20,3,25493,Nick Taylor,157.4,827036000,146
22,2,52375,Doug Ghim,157.5,447841000,79
23,3,29518,Brendan Steele,157.7,800550000,141
24,3,35461,Beau Hossler,157.8,812404000,143
25,4,27554,Scott Harrington,157.9,926605000,163
25,4,12716,Charley Hoffman,157.9,721773000,127
27,5,34046,Jordan Spieth,158.0,819093000,144
28,5,32757,Patton Kizzire,158.1,774159000,136
28,5,40042,Tyler McCumber,158.1,728558000,128
30,6,29535,Brice Garnett,158.2,603814000,106
30,6,33204,Shane Lowry,158.2,535266000,94
32,-11,29420,Billy Horschel,158.3,946135000,166
33,5,33490,Bo Hoag,158.4,815385000,143
34,5,33948,Byeong Hun An,158.5,1021485000,179
34,5,01810,Phil Mickelson,158.5,599268000,105
34,5,29484,Peter Uihlein,158.5,496459000,87
37,6,40058,Zac Blair,158.9,926646000,162
38,6,35617,Martin Trainer,159.0,984599000,172
39,6,48119,Ben Taylor,159.2,446934000,78
40,6,28420,Ryan Brehm,159.3,596406000,104
40,6,37455,Si Woo Kim,159.3,923266000,161
42,6,32102,Rickie Fowler,159.4,608087000,106
42,0,46717,Viktor Hovland,159.4,889438000,155
44,5,33597,Harry Higgs,159.5,1045091000,182
45,5,39997,Corey Conners,159.6,965026000,168
46,5,35532,Tom Hoge,159.7,1086928000,189
47,5,28307,Matt Every,159.8,857118000,149
47,5,19846,Brian Gay,159.8,908986000,158
47,-20,45486,Joaquin Niemann,159.8,983685000,171
50,4,32618,Rhein Gibson,160.0,581767000,101
50,18,48822,Sebastián Muñoz,160.0,1134812000,197
52,3,47504,Sam Burns,160.1,835591000,145
52,3,32662,Michael Gligic,160.1,553394000,96
52,-19,30925,Dustin Johnson,160.1,656952000,114
52,3,27095,Nick Watney,160.1,564756000,98
56,2,21961,Charles Howell III,160.2,813169000,141
56,2,27330,Josh Teater,160.2,501880000,87
56,2,23623,Bo Van Pelt,160.2,617198000,107
59,2,31420,Anirban Lahiri,160.4,409949000,71
60,3,27644,Brian Harman,160.5,918596000,159
