RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL MONEY,OFFICIAL MONEY,WGC MONEY ONLY
1,0,25364,Paul Casey,$1012770,55327005,45950000
2,0,10425,Jay Williamson,$835515,83551501
3,0,20585,Niclas Fasth,$813405,40465534,40875000
4,0,25562,Andres Romero,$798414,59641400,20200000
5,0,19970,Robert Karlsson,$575870,42487000,15100000
6,0,20569,Richard Green,$544070,44607000,9800000
7,0,24236,Nick Dougherty,$227922,22792183
8,0,20686,Jeev Milkha Singh,$227679,7917900,14850000
9,0,24512,Simon Dyson,$227500,22750000
10,0,08635,Colin Montgomerie,$216989,3598875,18100000
11,0,12461,Paul McGinley,$195152,14415193,5100000
12,0,20218,Shingo Katayama,$194928,7492771,12000000
13,0,10944,Thomas Bjørn,$188044,3704383,15100000
14,0,19958,Miguel Angel Jiménez,$182991,14299100,4000000
15,0,24663,Y.E. Yang,$170980,5348000,11750000
16,0,08191,Paul Broadhurst,$169458,12045800,4900000
17,0,20400,Michael Campbell,$159832,3958228,12025000
18,0,27088,Johan Edfors,$140005,5100500,8900000
19,0,26331,Charl Schwartzel,$134303,7780300,5650000
20,0,20945,Markus Brier,$120458,12045800
20,0,27776,Pelle Edberg,$120458,12045800
22,0,24511,Thongchai Jaidee,$118500,0,11850000
23,0,22792,Peter Hanson,$116159,11615919
24,0,22983,Bradley Dredge,$112533,2253300,9000000
25,0,26500,Alejandro Cañizares,$111900,11190000
26,0,27576,Anton Haig,$94750,0,9475000
27,0,20121,Todd Fischer,$92000,9200000
28,0,25572,Graeme McDowell,$52768,5276800
29,0,20832,Raphael Jacquelin,$52419,2066883,3175000
30,0,29416,Andy Bare,$52143,5214286
31,0,23969,Graeme Storm,$47150,1365000,3350000
32,0,25972,Pablo Martin Benavides,$45313,4531300
33,0,20369,John Bickerton,$45000,0,4500000
33,0,26329,Louis Oosthuizen,$45000,0,4500000
35,0,22582,Kyle Thompson,$42900,4290000
36,0,24459,Richard Sterne,$42000,0,4200000
37,0,22379,Mark Foster,$41352,4135234
38,0,22400,Hennie Otto,$39250,0,3925000
39,0,22540,Anthony Wall,$38000,0,3800000
40,0,24748,WC Liang,$36750,0,3675000
40,0,24039,Prom Meesawat,$36750,0,3675000
42,0,21498,Hideto Tanihara,$36000,0,3600000
43,0,22896,Grégory Havret,$33500,0,3350000
44,0,21207,José Manuel Lara,$32250,0,3225000
45,0,21461,Kenneth Ferrie,$31084,3108400
46,0,08993,Franklin Langham,$30720,3072000
47,0,23129,Ross Bain,$29821,2982070
48,0,30711,Colt Knost,$27483,2748300
49,0,28670,Wonjoon Lee,$26736,2673580
50,0,29939,Fabrizio Zanotti,$25900,2590000
51,0,24083,Marcus Fraser,$25016,2501600
52,0,26525,Grégory Bourdy,$23394,2339383
53,0,20935,Toru Taniguchi,$21594,2159430
54,0,23982,Jon Bevan,$21080,2108015
55,0,24184,Alastair Forsyth,$20258,2025751
56,0,20367,Fredrik Andersson Hed,$19846,1984619
57,0,28456,Andrew Ruthkoski,$19112,1911240
58,0,20566,Kaname Yokoo,$16640,1664000
59,0,19795,Kelly Mitchum,$16326,1632600
60,0,23821,Yusaku Miyazato,$13537,1353733
61,0,07707,Mike Small,$13050,1305000
62,0,25896,Ryan Benzel,$12900,1290000
63,0,24846,Ricky Barnes,$12540,1254000
64,0,28307,Matt Every,$12420,1242000
65,0,10875,Todd Demsey,$12411,1241100
66,0,06078,Esteban Toledo,$12250,1225000
67,0,23548,Bill Lunde,$12093,1209333
68,0,25074,Martin Rominger,$11163,1116300
69,0,08725,Tom Gillis,$11152,1115240
69,0,28310,Lee Williams,$11152,1115240
71,0,23091,Alan Morin,$11000,1100000
72,0,19883,Joe Daley,$10920,1092000
72,0,22951,Azuma Yano,$10920,1092000
74,0,26758,David Hearn,$10850,1085000
75,0,07941,Mike Grob,$10200,1020000
76,0,27124,Chris Baryla,$9800,980000
77,0,30786,Brady Schnell,$9102,910200
78,0,27958,Ryan Blaum,$8800,880000
79,0,26956,Bronson La'Cassie,$8692,869200
80,0,29725,Tony Finau,$7960,796000
81,0,02215,Paul Trittler,$7640,764000
82,0,23824,Oliver Thomson,$7630,763000
83,0,29720,Andres Gonzales,$7120,712000
