RANK,MOVEMENT,PLAYER_ID,PLAYER,%,OFFICIAL MONEY WON,TOTAL PURSE AVAILABLE
1,0,36689,Brooks Koepka,10.22%,5057192,49500000
2,0,46046,Scottie Scheffler,6.33%,21014342,331800000
3,0,45426,Nathan Kimsey,5.86%,445423,7600000
4,0,46970,Jon Rahm,5.43%,16522608,304400000
5,0,28237,Rory McIlroy,4.92%,13921008,283000000
6,0,46717,Viktor Hovland,4.08%,14112235,345900000
7,0,36884,Ben Kohles,3.70%,310800,8400000
8,0,35891,Cameron Smith,3.31%,1637180,49500000
9,0,01810,Phil Mickelson,3.27%,1617250,49500000
10,0,57259,Daniel Brown,3.25%,123500,3800000
11,0,28521,Ryutaro Nagano,3.22%,273762,8500000
12,0,35450,Patrick Cantlay,3.21%,10372998,323100000
13,0,39977,Max Homa,3.09%,10761517,348200000
14,0,51766,Wyndham Clark,3.05%,10757490,352300000
15,0,33459,Jens Dantorp,2.95%,224200,7600000
15,0,28340,Julien Guerrier,2.95%,224200,7600000
15,0,34371,Adrien Saddier,2.95%,224200,7600000
18,0,34363,Tyrrell Hatton,2.67%,8336912,312400000
19,0,33141,Keegan Bradley,2.55%,9010040,352800000
20,0,52215,Robert MacIntyre,2.53%,1023050,40500000
20,0,52287,David Ravetto,2.53%,95950,3800000
22,0,30852,Ryo Ishikawa,2.49%,416080,16700000
23,0,48081,Xander Schauffele,2.46%,8459066,343300000
24,0,52955,Ludvig Åberg,2.40%,3144994,130900000
25,0,27644,Brian Harman,2.39%,9175262,383200000
26,0,40098,Matt Fitzpatrick,2.37%,8144543,343700000
27,0,34046,Jordan Spieth,2.24%,7240044,322700000
28,0,32102,Rickie Fowler,2.22%,7864161,354600000
29,0,34360,Patrick Reed,2.20%,1086934,49500000
30,0,37066,Grant Forrest,2.19%,197100,9000000
31,0,51287,Ryo Hisatsune,2.17%,588502,27100000
32,0,28089,Jason Day,2.09%,6922758,331900000
32,0,30911,Tommy Fleetwood,2.09%,6510641,310800000
32,0,50525,Collin Morikawa,2.09%,7573198,362500000
35,0,55182,Tom Kim,2.05%,7774918,379200000
36,0,27770,Camilo Villegas,2.03%,1951764,96300000
37,0,47504,Sam Burns,2.01%,7139050,355300000
38,0,47959,Bryson DeChambeau,1.94%,960052,49500000
39,0,63121,William Mouw,1.90%,140600,7400000
40,0,48117,Kurt Kitayama,1.88%,6840062,364400000
41,0,34098,Russell Henley,1.84%,6332282,344500000
42,0,25493,Nick Taylor,1.81%,6242461,345000000
43,0,25900,Lucas Glover,1.80%,6399296,356400000
