RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,DISTANCE (FEET),TOTAL PUTTS
1,0,35617,Martin Trainer,29' 1",8439.417,290
2,0,34256,Andrew Putnam,27' 11",22561.417,808
3,0,28420,Ryan Brehm,27' 5",15075.667,550
4,0,52372,Cameron Champ,27' 3",14155.500,519
5,0,35506,Mackenzie Hughes,27' 2",15672.500,577
6,0,29420,Billy Horschel,27' 1",11785.667,435
6,0,35461,Beau Hossler,27' 1",19745.333,730
6,0,24024,Zach Johnson,27' 1",12905.917,477
6,0,46442,Maverick McNealy,27' 1",10143.750,374
6,0,55789,Taylor Montgomery,27' 1",15604.583,576
6,0,47347,Adam Schenk,27' 1",22992.917,849
6,0,32333,Kevin Tway,27' 1",18473.167,683
13,0,51766,Wyndham Clark,27' 0",18526.833,687
13,0,57975,Harry Hall,27' 0",15237.250,564
15,0,49453,Trevor Cone,26' 11",14461.417,538
16,0,32366,Kevin Chappell,26' 10",8149.833,304
16,0,54421,Garrick Higgo,26' 10",19461.833,725
16,0,47993,Denny McCarthy,26' 10",19130.333,714
19,0,27349,Alex Noren,26' 9",16264.333,608
19,0,54783,Dylan Wu,26' 9",17831.917,666
21,0,34099,Harris English,26' 8",17958.417,674
21,0,49947,Taylor Moore,26' 8",17544.000,658
21,0,47983,Chad Ramey,26' 8",19118.417,718
24,0,35310,Lanto Griffin,26' 7",10068.417,379
24,0,39971,Sungjae Im,26' 7",18514.083,697
24,0,35449,Adam Long,26' 7",17858.917,672
27,0,58696,Peter Kuest,26' 6",9247.167,349
27,0,50493,Justin Suh,26' 6",20807.083,786
27,0,48119,Ben Taylor,26' 6",18159.250,685
30,0,30911,Tommy Fleetwood,26' 5",12248.333,464
30,0,32662,Michael Gligic,26' 5",11368.417,430
30,0,28252,Seamus Power,26' 5",14122.917,535
30,0,36699,Patrick Rodgers,26' 5",18374.250,695
34,0,54628,Lee Hodges,26' 4",19461.333,740
34,0,51070,Vincent Norrman,26' 4",14443.917,549
34,0,48867,Matti Schmid,26' 4",11279.417,428
37,0,32448,James Hahn,26' 3",15773.167,601
37,0,34466,Peter Malnati,26' 3",14894.583,567
37,0,24502,Adam Scott,26' 3",10432.417,397
40,0,28089,Jason Day,26' 2",13975.167,534
40,0,29970,Dylan Frittelli,26' 2",11541.417,441
40,0,49298,Kramer Hickok,26' 2",17396.500,664
43,0,27644,Brian Harman,26' 1",17595.500,674
43,0,25818,Scott Piercy,26' 1",13427.917,515
45,0,31577,Tano Goya,26' 0",13680.750,526
45,0,33399,Adam Hadwin,26' 0",17836.667,687
45,0,31557,Jim Herman,26' 0",13974.333,538
45,0,35879,Kelly Kraft,26' 0",15343.917,591
45,0,31202,William McGirt,26' 0",7926.833,305
45,0,51634,Sahith Theegala,26' 0",17147.667,659
45,0,40006,Erik van Rooyen,26' 0",11958.917,460
52,0,45609,Tyler Duncan,25' 11",18363.417,708
52,0,23108,Matt Kuchar,25' 11",17510.000,676
52,0,48081,Xander Schauffele,25' 11",12584.750,485
52,0,34431,Robert Streb,25' 11",13586.583,525
52,0,40115,Adam Svensson,25' 11",22445.167,867
52,0,27095,Nick Watney,25' 11",11754.500,454
52,0,32139,Danny Willett,25' 11",10604.000,409
59,0,22371,Aaron Baddeley,25' 10",12444.250,482
59,0,20229,Stewart Cink,25' 10",14062.833,545
59,0,29535,Brice Garnett,25' 10",14433.167,559
59,0,53165,Doc Redman,25' 10",14857.750,575
59,0,39335,Kevin Roy,25' 10",12176.083,472
64,0,47988,Nick Hardy,25' 9",19349.000,751
64,0,33597,Harry Higgs,25' 9",11806.083,459
64,0,36799,Stephan Jaeger,25' 9",24263.250,942
64,0,49960,Sepp Straka,25' 9",16827.917,653
64,0,48699,Callum Tarren,25' 9",18188.667,707
64,0,48887,Matt Wallace,25' 9",13367.667,519
70,0,33408,Tyson Alexander,25' 8",14264.833,556
70,0,40098,Matt Fitzpatrick,25' 8",13075.000,509
70,0,12716,Charley Hoffman,25' 8",13157.500,513
70,0,28775,Nate Lashley,25' 8",19068.250,744
74,0,45522,Christiaan Bezuidenhout,25' 7",16575.667,648
74,0,54591,Ben Griffin,25' 7",18433.000,720
74,0,34363,Tyrrell Hatton,25' 7",13005.000,509
74,0,39058,Lucas Herbert,25' 7",8915.167,349
74,0,29908,C.T. Pan,25' 7",8737.500,342
74,0,22056,Cameron Percy,25' 7",10360.000,405
74,0,47995,Davis Riley,25' 7",15043.083,588
74,0,31560,Brian Stuard,25' 7",9877.083,386
74,0,25632,Jimmy Walker,25' 7",15335.750,600
74,0,47128,Richy Werenski,25' 7",13567.917,530
84,0,47504,Sam Burns,25' 6",14310.500,561
84,0,52453,Nicolai Hojgaard,25' 6",7073.333,277
84,0,49766,Hank Lebioda,25' 6",9245.333,363
84,0,32791,K.H. Lee,25' 6",18034.667,707
84,0,34409,David Lingmerth,25' 6",11435.250,449
84,0,29289,S.Y. Noh,25' 6",9613.750,377
84,0,24140,Sean O'Hair,25' 6",6409.750,251
84,0,40250,Taylor Pendrith,25' 6",18563.750,727
84,0,34610,Matthias Schwab,25' 6",16574.500,651
84,0,58168,Davis Thompson,25' 6",19304.917,758
84,0,52411,Kyle Westmoreland,25' 6",12488.583,490
95,0,39997,Corey Conners,25' 5",17074.833,671
95,0,57362,Austin Eckroat,25' 5",15662.000,616
95,0,56762,Will Gordon,25' 5",19528.500,769
95,0,33448,Justin Thomas,25' 5",13536.333,532
99,0,24925,Jonathan Byrd,25' 4",7672.333,303
99,0,29725,Tony Finau,25' 4",15468.917,611
99,0,34563,Chesson Hadley,25' 4",16796.500,664
99,0,36801,Mark Hubbard,25' 4",18973.500,749
99,0,39975,Michael Kim,25' 4",14651.917,579
99,0,40162,Justin Lower,25' 4",16270.500,643
99,0,51950,Max McGreevy,25' 4",12653.417,500
99,0,36724,Augusto Núñez,25' 4",12774.167,504
99,0,30692,Scott Stallings,25' 4",14258.833,562
99,0,27214,Kevin Streelman,25' 4",18254.250,720
109,0,40058,Zac Blair,25' 3",12996.583,514
109,0,33141,Keegan Bradley,25' 3",13929.750,552
109,0,46435,Austin Cook,25' 3",11124.000,440
109,0,33653,Thomas Detry,25' 3",13060.333,518
109,0,27936,Martin Laird,25' 3",14452.833,573
109,0,37275,Sam Ryder,25' 3",17367.750,688
115,0,27963,Chris Stroud,25' 2",9026.417,359
116,0,47079,Harrison Endycott,25' 1",13375.167,534
116,0,32102,Rickie Fowler,25' 1",16519.333,658
116,0,31646,Emiliano Grillo,25' 1",18150.167,724
116,0,27974,Sung Kang,25' 1",6813.250,272
116,0,23320,Ryan Palmer,25' 1",13796.167,550
121,0,19803,Ryan Armour,25' 0",14582.333,583
121,0,36326,David Lipsky,25' 0",16648.917,665
121,0,30927,Brendon Todd,25' 0",16833.583,673
121,0,52513,Carson Young,25' 0",16214.333,649
125,0,52375,Doug Ghim,24' 11",16437.417,659
125,0,50188,S.H. Kim,24' 11",18611.333,747
125,0,55182,Tom Kim,24' 11",15854.833,637
125,0,39546,Keith Mitchell,24' 11",14966.833,601
125,0,49771,J.T. Poston,24' 11",17993.667,722
125,0,46414,Aaron Rai,24' 11",18538.917,743
125,0,22405,Justin Rose,24' 11",10675.750,428
125,0,46441,Robby Shelton,24' 11",16749.833,672
125,0,55893,Sam Stevens,24' 11",17282.417,694
134,0,51349,Nico Echavarria,24' 10",11433.083,461
134,0,39954,Cody Gribble,24' 10",10298.333,415
134,0,32757,Patton Kizzire,24' 10",16735.000,675
