RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL 3 PUTTS,TOTAL HOLES (OVERALL)
1,0,12660,Jesper Parnevik,1.76,26,1476
2,0,12645,Brent Geiberger,1.79,19,1062
3,0,06527,Steve Stricker,1.88,21,1116
4,0,20121,Todd Fischer,1.89,33,1746
5,0,23541,Ben Crane,2.03,27,1332
6,0,20229,Stewart Cink,2.04,33,1620
7,0,01139,Olin Browne,2.05,35,1710
8,0,06251,Chris DiMarco,2.07,28,1350
9,0,24507,Jason Bohn,2.08,34,1638
10,0,06373,José María Olazábal,2.10,20,954
11,0,24227,Justin Bolli,2.12,24,1134
12,0,01329,Brad Faxon,2.19,28,1278
13,0,20474,Phillip Price,2.21,29,1314
14,0,01219,John Cook,2.22,28,1260
15,0,01320,Bob Estes,2.23,37,1656
16,0,10201,Matt Gogel,2.27,31,1368
16,0,01887,Mark O'Meara,2.27,27,1188
18,0,02223,Bob Tway,2.28,34,1494
19,0,21407,Arjun Atwal,2.31,27,1170
20,0,12602,Dean Wilson,2.33,36,1548
21,0,19846,Brian Gay,2.36,42,1782
21,0,01928,Corey Pavin,2.36,31,1314
23,0,22371,Aaron Baddeley,2.37,35,1476
24,0,01313,Steve Elkington,2.40,29,1206
25,0,02010,Loren Roberts,2.41,23,954
26,0,21350,Ryuji Imada,2.42,34,1404
26,0,07749,Brett Quigley,2.42,40,1656
28,0,27095,Nick Watney,2.43,39,1602
29,0,20099,Doug Barron,2.46,31,1260
29,0,20157,Retief Goosen,2.46,27,1098
31,0,22548,Patrick Sheehan,2.47,49,1980
32,0,20160,Charlie Wi,2.48,29,1170
33,0,01941,Tom Pernice Jr.,2.49,48,1926
34,0,23983,Luke Donald,2.50,27,1080
35,0,01042,Paul Azinger,2.53,30,1188
35,0,20645,John Senden,2.53,45,1782
37,0,25345,Carl Pettersson,2.54,48,1890
38,0,01142,Bart Bryant,2.56,42,1638
38,0,25847,Rob Rashell,2.56,30,1170
38,0,02214,Kirk Triplett,2.56,24,936
41,0,24024,Zach Johnson,2.57,44,1710
42,0,08075,Jerry Kelly,2.58,46,1782
43,0,06197,Michael Allen,2.59,42,1620
44,0,23036,Chris Anderson,2.60,29,1116
44,0,02206,David Toms,2.60,36,1386
46,0,20623,Gavin Coles,2.62,33,1260
47,0,22046,Geoff Ogilvy,2.63,44,1674
48,0,02104,Jeff Sluman,2.66,45,1692
49,0,10860,Justin Leonard,2.67,36,1350
50,0,10809,Jim Furyk,2.69,45,1674
50,0,01388,Robert Gamez,2.69,44,1638
50,0,23108,Matt Kuchar,2.69,29,1080
53,0,24781,Hunter Mahan,2.70,49,1818
53,0,08793,Tiger Woods,2.70,36,1332
55,0,12680,Shigeki Maruyama,2.72,48,1764
56,0,08123,Jeff Brehaut,2.74,33,1206
56,0,24357,K.J. Choi,2.74,36,1314
56,0,12454,Mario Tiziani,2.74,32,1170
59,0,08993,Franklin Langham,2.75,43,1566
60,0,01132,Mark Brooks,2.78,36,1296
60,0,06575,Dudley Hart,2.78,42,1512
60,0,01761,Len Mattiace,2.78,42,1512
60,0,02239,Scott Verplank,2.78,43,1548
64,0,21805,Harrison Frazar,2.81,51,1818
64,0,01473,Todd Hamilton,2.81,46,1638
64,0,22293,Heath Slocum,2.81,50,1782
67,0,23409,James Driscoll,2.82,36,1278
68,0,24980,Scott Gutschewski,2.85,42,1476
68,0,10585,Scott McCarron,2.85,38,1332
68,0,06567,Vijay Singh,2.85,56,1962
71,0,23135,Tim Clark,2.87,45,1566
72,0,25900,Lucas Glover,2.91,45,1548
72,0,08537,J.P. Hayes,2.91,33,1134
72,0,20634,Peter Lonard,2.91,44,1512
75,0,01619,Skip Kendall,2.92,41,1404
75,0,23320,Ryan Palmer,2.92,51,1746
77,0,23497,Tag Ridings,2.93,48,1638
78,0,21878,Mark Wilson,2.94,37,1260
79,0,24604,Hunter Haas,2.95,42,1422
79,0,01707,Steve Lowery,2.95,51,1728
81,0,07223,Brian Bateman,2.96,50,1692
81,0,08725,Tom Gillis,2.96,40,1350
81,0,06573,Brandt Jobe,2.96,49,1656
84,0,22621,Ben Curtis,2.99,35,1170
84,0,01418,Bill Glasson,2.99,28,936
84,0,23552,Hank Kuehne,2.99,43,1440
87,0,01024,Billy Andrade,3.01,45,1494
88,0,06004,Stephen Ames,3.02,43,1422
88,0,20433,Mark Hensby,3.02,37,1224
88,0,21961,Charles Howell III,3.02,49,1620
88,0,24502,Adam Scott,3.02,37,1224
92,0,25396,Kevin Na,3.04,47,1548
93,0,06034,Marco Dawson,3.05,45,1476
93,0,21731,Freddie Jacobson,3.05,39,1278
93,0,20663,Brenden Pappas,3.05,28,918
93,0,01948,Tim Petrovic,3.05,51,1674
97,0,20098,Stuart Appleby,3.06,44,1440
97,0,01175,Jim Carter,3.06,33,1080
97,0,08931,Glen Day,3.06,43,1404
97,0,01723,Andrew Magee,3.06,43,1404
97,0,21951,Joey Snyder III,3.06,54,1764
102,0,01035,Tommy Armour III,3.07,57,1854
102,0,06595,Kevin Sutherland,3.07,48,1566
104,0,24138,Ian Poulter,3.08,31,1008
105,0,10733,Kent Jones,3.09,54,1746
105,0,20628,Arron Oberholser,3.09,35,1134
107,0,20548,Hidemichi Tanaka,3.10,57,1836
108,0,19881,Robert Damron,3.12,50,1602
109,0,20766,Padraig Harrington,3.13,27,864
110,0,12510,Chad Campbell,3.14,52,1656
110,0,01381,Fred Funk,3.14,57,1818
110,0,10425,Jay Williamson,3.14,30,954
113,0,10117,Bob Heintz,3.15,38,1206
113,0,02101,Joey Sindelar,3.15,59,1872
115,0,20572,Rod Pampling,3.17,48,1512
115,0,01927,Dennis Paulson,3.17,36,1134
117,0,20498,Briny Baird,3.18,55,1728
118,0,12652,Cameron Beckman,3.20,53,1656
118,0,12782,Tim Herron,3.20,57,1782
120,0,20850,Daniel Chopra,3.21,60,1872
121,0,26420,Richard Johnson,3.22,29,900
122,0,20382,Stephen Leaney,3.23,50,1548
