RANK,MOVEMENT,PLAYER_ID,PLAYER,FREQUENCY,# OF HOLES,# OF EAGLES
1,0,36689,Brooks Koepka,72.9,1458,20
2,0,25804,Bubba Watson,81.6,1224,15
3,0,30925,Dustin Johnson,86.4,1296,15
4,0,27141,J.B. Holmes,102.0,1530,15
5,0,28089,Jason Day,108.0,1296,12
6,0,32839,Hideki Matsuyama,117.0,1638,14
7,0,33448,Justin Thomas,119.3,1908,16
8,0,23108,Matt Kuchar,120.9,1692,14
9,0,22371,Aaron Baddeley,121.1,1332,11
10,0,34265,Will Wilcox,121.5,972,8
11,0,24502,Adam Scott,123.4,864,7
12,0,23048,Eric Axley,123.8,990,8
13,0,31416,Derek Fathauer,126.0,1386,11
14,0,27064,Jhonattan Vegas,129.0,1548,12
15,0,32102,Rickie Fowler,129.6,1296,10
16,0,25686,Jason Dufner,131.4,1314,10
17,0,30852,Ryo Ishikawa,132.0,1584,12
18,0,20396,Lee Westwood,133.7,936,7
19,0,24140,Sean O'Hair,140.7,1548,11
20,0,26329,Louis Oosthuizen,141.8,1134,8
21,0,25274,Steven Bowditch,142.6,1854,13
22,0,33667,Carlos Ortiz,144.0,1728,12
22,0,34046,Jordan Spieth,144.0,1584,11
24,0,29289,S.Y. Noh,146.3,1170,8
25,0,25364,Paul Casey,147.6,1476,10
26,0,24358,Robert Garrigus,148.5,1188,8
26,0,25562,Andres Romero,148.5,1188,8
28,0,25892,Steve Wheatcroft,149.4,1494,10
29,0,34174,John Huh,151.5,1818,12
30,0,33461,Morgan Hoffmann,153.0,1530,10
31,0,27936,Martin Laird,154.0,1386,9
31,0,23320,Ryan Palmer,154.0,1386,9
33,0,21528,Henrik Stenson,154.3,1080,7
34,0,24494,Erik Compton,154.8,1548,10
35,0,34264,Hudson Swafford,155.5,1710,11
36,0,29221,Webb Simpson,156.0,1404,9
36,0,29425,Andrew Svoboda,156.0,1404,9
38,0,22056,Cameron Percy,157.5,1260,8
39,0,35451,Scott Pinckney,158.4,1584,10
40,0,20848,Ángel Cabrera,159.0,954,6
40,0,29725,Tony Finau,159.0,1908,12
42,0,32334,Charlie Beljan,162.0,1296,8
42,0,22892,Jason Gore,162.0,1296,8
42,0,23353,J.J. Henry,162.0,1620,10
42,0,25818,Scott Piercy,162.0,1620,10
46,0,30926,Chris Kirk,164.3,1314,8
47,0,27895,Jonas Blixt,166.5,1332,8
47,0,31323,Gary Woodland,166.5,1332,8
49,0,27436,Graham DeLaet,167.1,1170,7
50,0,35541,John Peterson,168.0,1512,9
51,0,25369,Jamie Donaldson,169.2,846,5
51,0,33418,Shawn Stefani,169.2,1692,10
53,0,32366,Kevin Chappell,172.0,1548,9
53,0,26300,Matt Jones,172.0,1548,9
55,0,29479,Scott Brown,174.6,1746,10
56,0,06567,Vijay Singh,175.5,1404,8
57,0,20771,Steven Alker,180.0,1080,6
57,0,32200,Roberto Castro,180.0,900,5
57,0,30692,Scott Stallings,180.0,1080,6
60,0,34563,Chesson Hadley,181.8,1818,10
61,0,28500,Martin Flores,182.0,1638,9
62,0,32150,Michael Thompson,182.3,1458,8
63,0,32448,James Hahn,188.0,1692,9
64,0,21961,Charles Howell III,189.0,1890,10
64,0,29518,Brendan Steele,189.0,1512,8
66,0,27649,Brandt Snedeker,190.0,1710,9
67,0,35545,Blayne Barber,190.3,1332,7
68,0,28780,Nicholas Thompson,193.5,1548,8
69,0,20593,Greg Chalmers,194.4,972,5
70,0,29926,Danny Lee,196.4,2160,11
71,0,34360,Patrick Reed,200.0,1800,9
72,0,26596,Ryan Moore,200.6,1404,7
73,0,25834,Daniel Summerhays,202.0,1818,9
74,0,27644,Brian Harman,202.5,1620,8
75,0,25900,Lucas Glover,203.1,1422,7
75,0,26289,Boo Weekley,203.1,1422,7
77,0,34099,Harris English,204.0,1836,9
78,0,27095,Nick Watney,204.8,1638,8
79,0,20472,Alex Cejka,207.0,1656,8
79,0,23548,Bill Lunde,207.0,828,4
79,0,28475,Jeff Overton,207.0,1656,8
82,0,23621,Rory Sabbatini,208.3,1458,7
83,0,33399,Adam Hadwin,209.3,1674,8
83,0,24490,George McNeill,209.3,1674,8
85,0,28307,Matt Every,210.0,1260,6
85,0,01810,Phil Mickelson,210.0,1260,6
87,0,12716,Charley Hoffman,211.5,1692,8
88,0,25345,Carl Pettersson,212.0,1908,9
89,0,37273,Derek Ernst,213.0,1278,6
89,0,25349,Tim Wilkinson,213.0,1278,6
91,0,33141,Keegan Bradley,216.0,1512,7
91,0,24361,Pat Perez,216.0,1728,8
93,0,40026,Daniel Berger,218.3,1746,8
94,0,34431,Robert Streb,220.0,1980,9
95,0,28259,Sangmoon Bae,220.5,1764,8
96,0,29720,Andres Gonzales,221.1,1548,7
97,0,20104,Ken Duke,228.9,1602,7
98,0,33413,Ben Martin,231.4,1620,7
99,0,36699,Patrick Rodgers,238.5,954,4
100,0,30946,Alex Prugh,240.0,1440,6
101,0,29223,Sam Saunders,243.0,1458,6
101,0,28132,Tyrone Van Aswegen,243.0,972,4
103,0,26951,Johnson Wagner,244.8,1224,5
104,0,21753,Brian Davis,246.0,1476,6
104,0,35539,Luke Guthrie,246.0,1476,6
106,0,29420,Billy Horschel,246.9,1728,7
107,0,27770,Camilo Villegas,249.0,1494,6
108,0,21209,Sergio Garcia,252.0,1008,4
108,0,24781,Hunter Mahan,252.0,1512,6
108,0,25240,D.A. Points,252.0,1260,5
108,0,34358,Jonathan Randolph,252.0,1260,5
108,0,26476,Chez Reavie,252.0,1008,4
113,0,06522,Ernie Els,256.5,1026,4
114,0,24924,Bill Haas,258.0,1548,6
114,0,25632,Jimmy Walker,258.0,1548,6
116,0,30944,Jason Kokrak,264.0,1584,6
117,0,27933,John Merrick,266.4,1332,5
118,0,20645,John Senden,270.0,1350,5
119,0,27214,Kevin Streelman,273.0,1638,6
120,0,10860,Justin Leonard,274.5,1098,4
121,0,34130,Sung Joon Park,277.2,1386,5
122,0,24846,Ricky Barnes,280.8,1404,5
123,0,26331,Charl Schwartzel,283.5,1134,4
124,0,25720,Chad Collins,284.4,1422,5
124,0,29222,Billy Hurley III,284.4,1422,5
126,0,24507,Jason Bohn,285.0,1710,6
126,0,25396,Kevin Na,285.0,1710,6
128,0,22046,Geoff Ogilvy,288.0,864,3
128,0,33419,Cameron Tringale,288.0,1728,6
130,0,24138,Ian Poulter,292.5,1170,4
131,0,31193,Jim Renner,297.0,1188,4
132,0,34098,Russell Henley,302.4,1512,5
133,0,01706,Davis Love III,306.0,918,3
133,0,28486,Michael Putnam,306.0,1530,5
135,0,31202,William McGirt,309.0,1854,6
136,0,30711,Colt Knost,309.6,1548,5
