RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# SAVES,# BUNKERS,TOTAL O/U PAR
1,0,06066,Gary Rusnak,64.03,89,139,+35.00
2,0,02104,Jeff Sluman,63.40,97,153,+22.00
3,0,06012,Greg Kraft,63.33,76,120,+42.00
4,0,08931,Glen Day,63.19,103,163,+33.00
5,0,10860,Justin Leonard,62.64,114,182,+36.00
6,0,01435,Wayne Grady,61.70,58,94,+29.00
7,0,12660,Jesper Parnevik,61.39,62,101,+12.00
8,0,01810,Phil Mickelson,61.32,65,106,+22.00
9,0,08075,Jerry Kelly,61.20,112,183,+39.00
10,0,01329,Brad Faxon,61.15,96,157,+33.00
11,0,01378,David Frost,60.83,73,120,+31.00
12,0,01876,Greg Norman,60.76,48,79,+18.00
13,0,02267,D.A. Weibring,60.24,50,83,+30.00
14,0,06567,Vijay Singh,60.00,99,165,+28.00
15,0,06522,Ernie Els,59.63,65,109,+27.00
16,0,01381,Fred Funk,59.54,103,173,+44.00
17,0,02146,Payne Stewart,59.24,93,157,+39.00
18,0,08993,Franklin Langham,59.09,91,154,+60.00
18,0,01891,David Ogrin,59.09,104,176,+39.00
20,0,06613,Tommy Tolles,58.94,89,151,+38.00
21,0,01161,Mark Calcavecchia,58.87,83,141,+32.00
22,0,01346,Ed Fiori,58.82,50,85,+28.00
22,0,01510,Nolan Henke,58.82,90,153,+32.00
22,0,01823,Larry Mize,58.82,70,119,+32.00
25,0,01006,John Adams,58.73,74,126,+31.00
26,0,01975,Tom Purtzer,58.39,80,137,+11.00
27,0,06577,John Wilson,58.27,81,139,+41.00
28,0,01040,Emlyn Aubrey,58.18,64,110,+41.00
29,0,12782,Tim Herron,58.14,100,172,+32.00
30,0,01928,Corey Pavin,57.89,66,114,+25.00
31,0,01042,Paul Azinger,57.55,80,139,+37.00
31,0,02049,Gene Sauers,57.55,80,139,+51.00
33,0,01093,Ronnie Black,57.46,77,134,+34.00
34,0,01235,Ben Crenshaw,57.43,58,101,+38.00
35,0,02159,Curtis Strange,57.38,70,122,+26.00
36,0,01116,Michael Bradley,57.36,74,129,+33.00
37,0,01226,Fred Couples,57.32,47,82,+3.00
38,0,01313,Steve Elkington,57.28,59,103,+21.00
39,0,01577,Lee Janzen,57.05,89,156,+45.00
40,0,01414,Bob Gilder,57.04,77,135,+43.00
41,0,06090,Jim McGovern,56.96,90,158,+33.00
42,0,07267,Allen Doyle,56.90,66,116,+38.00
43,0,02242,Lanny Wadkins,56.82,75,132,+58.00
44,0,01557,John Inman,56.64,81,143,+57.00
45,0,01175,Jim Carter,56.52,91,161,+49.00
46,0,07087,Hugh Royer III,56.40,97,172,+44.00
