RANK,MOVEMENT,PLAYER_ID,PLAYER,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS,RELATIVE TO PAR
1,0,01381,Fred Funk,79.25,1073,1354,-0.17
2,0,08545,Glen Hnatiuk,78.15,955,1222,-0.08
3,0,02170,Hal Sutton,77.48,774,999,-0.15
4,0,10809,Jim Furyk,76.50,892,1166,-0.24
5,0,01619,Skip Kendall,75.99,1035,1362,-0.19
6,0,06621,Joe Durant,75.84,907,1196,-0.16
7,0,19881,Robert Damron,75.64,947,1252,-0.10
8,0,01724,Jeff Maggert,75.20,752,1000,-0.13
9,0,07941,Mike Grob,74.81,802,1072,-0.14
10,0,01569,Peter Jacobsen,74.74,716,958,-0.15
11,0,01139,Olin Browne,74.48,1045,1403,-0.14
11,0,01157,Tom Byrum,74.48,852,1144,-0.13
13,0,20623,Gavin Coles,74.42,643,864,-0.02
14,0,20548,Hidemichi Tanaka,74.25,1119,1507,-0.17
15,0,23135,Tim Clark,74.23,674,908,-0.14
16,0,01797,Rocco Mediate,74.16,663,894,-0.21
17,0,22293,Heath Slocum,74.14,1009,1361,-0.11
18,0,19972,José Coceres,73.80,555,752,-0.05
19,0,02002,John Riegger,73.56,484,658,-0.16
20,0,02010,Loren Roberts,73.43,727,990,-0.13
21,0,01928,Corey Pavin,73.41,806,1098,-0.13
22,0,20029,Notah Begay III,73.29,878,1198,-0.10
23,0,01766,Billy Mayfair,73.24,928,1267,-0.16
24,0,02239,Scott Verplank,73.23,829,1132,-0.21
25,0,26420,Richard Johnson,72.68,830,1142,-0.13
26,0,01945,Kenny Perry,72.63,796,1096,-0.23
27,0,02214,Kirk Triplett,72.56,788,1086,-0.22
28,0,20095,Carl Paulson,72.52,1000,1379,-0.16
29,0,10733,Kent Jones,72.32,635,878,-0.17
30,0,08075,Jerry Kelly,72.25,906,1254,-0.23
31,0,08931,Glen Day,71.94,951,1322,-0.21
32,0,23983,Luke Donald,71.86,825,1148,-0.16
32,0,08725,Tom Gillis,71.86,641,892,-0.12
34,0,10425,Jay Williamson,71.79,850,1184,-0.12
35,0,01938,David Peoples,71.67,903,1260,-0.16
36,0,01475,Donnie Hammond,71.50,853,1193,-0.10
37,0,07721,Pat Bates,71.46,1024,1433,-0.14
38,0,06475,Jeff Klein,71.30,539,756,-0.03
39,0,06643,Paul Goydos,71.14,784,1102,-0.14
40,0,08337,Mike Heinen,70.59,816,1156,-0.14
41,0,20099,Doug Barron,70.57,844,1196,-0.14
42,0,12705,Cliff Kresge,70.53,876,1242,-0.13
43,0,12510,Chad Campbell,70.26,841,1197,-0.23
44,0,20645,John Senden,70.25,999,1422,-0.15
45,0,10860,Justin Leonard,70.15,637,908,-0.23
46,0,01320,Bob Estes,69.90,734,1050,-0.23
47,0,20436,Garrett Willis,69.88,877,1255,-0.16
48,0,02104,Jeff Sluman,69.69,883,1267,-0.22
49,0,08339,Spike McRoy,69.65,943,1354,-0.14
50,0,02246,Duffy Waldorf,69.47,735,1058,-0.20
51,0,06809,Bob Burns,69.45,739,1064,-0.11
52,0,20771,Steven Alker,69.41,783,1128,-0.10
53,0,08547,John Maginnes,69.37,752,1084,-0.10
54,0,01035,Tommy Armour III,69.32,549,792,-0.15
55,0,08123,Jeff Brehaut,69.31,971,1401,-0.20
56,0,01553,John Huston,69.26,694,1002,-0.22
56,0,22913,John Rollins,69.26,640,924,-0.22
