RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL FAIRWAY BUNKERS,POSSIBLE FWYS,RELATIVE TO PAR
1,0,10885,Robert Allenby,1.9,17,896,+0.176
2,0,23125,Brad Elder,2.1,13,628,+0.154
3,0,01928,Corey Pavin,2.2,24,1098,+0.250
4,0,01035,Tommy Armour III,2.4,19,792,+0.684
5,0,01157,Tom Byrum,2.5,29,1144,+0.414
6,0,01249,John Daly,2.6,17,656,+0.118
6,0,01797,Rocco Mediate,2.6,23,894,+0.478
8,0,10733,Kent Jones,2.7,24,878,+0.083
8,0,23552,Hank Kuehne,2.7,25,920,+0.280
8,0,24502,Adam Scott,2.7,13,476,-0.077
11,0,07941,Mike Grob,2.8,30,1072,+0.100
11,0,01724,Jeff Maggert,2.8,28,1000,+0.250
11,0,06567,Vijay Singh,2.8,33,1162,+0.061
14,0,20029,Notah Begay III,2.9,35,1198,+0.286
14,0,01945,Kenny Perry,2.9,32,1096,+0.281
16,0,06617,Brian Henninger,3.0,21,696,+0.190
16,0,08545,Glen Hnatiuk,3.0,37,1222,+0.108
16,0,22046,Geoff Ogilvy,3.0,31,1030,-0.097
16,0,02214,Kirk Triplett,3.0,33,1086,+0.061
20,0,01938,David Peoples,3.1,39,1260,+0.205
21,0,08075,Jerry Kelly,3.2,40,1254,+0.250
21,0,06475,Jeff Klein,3.2,24,756,+0.375
21,0,02002,John Riegger,3.2,21,658,+0.048
21,0,25692,Akio Sadakata,3.2,34,1061,+0.471
21,0,20566,Kaname Yokoo,3.2,22,684,+0.273
26,0,01619,Skip Kendall,3.3,45,1362,+0.178
26,0,10213,Dicky Pride,3.3,29,890,+0.483
26,0,20548,Hidemichi Tanaka,3.3,49,1507,+0.163
29,0,21633,Steve Allan,3.4,22,654,+0.455
29,0,06809,Bob Burns,3.4,36,1064,+0.083
29,0,19881,Robert Damron,3.4,42,1252,+0.143
29,0,10809,Jim Furyk,3.4,40,1166,+0.275
29,0,08725,Tom Gillis,3.4,30,892,+0.167
29,0,01475,Donnie Hammond,3.4,40,1193,+0.150
29,0,20940,Kenichi Kuboya,3.4,40,1168,+0.100
29,0,02010,Loren Roberts,3.4,34,990,+0.176
29,0,23034,Brent Schwarzrock,3.4,26,769,+0.269
29,0,02223,Bob Tway,3.4,38,1105,+0.263
39,0,20771,Steven Alker,3.5,39,1128,+0.308
39,0,12661,Todd Barranger,3.5,34,977,+0.500
39,0,01098,Jay Don Blake,3.5,32,905,+0.313
39,0,12510,Chad Campbell,3.5,42,1197,+0.286
39,0,20472,Alex Cejka,3.5,38,1098,+0.289
