RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL 10TH TEE LATE RNDS.
1,0,06527,Steve Stricker,66.50,133,2
2,0,24502,Adam Scott,67.00,67,1
3,0,21209,Sergio Garcia,68.00,340,5
4,0,25572,Graeme McDowell,68.33,205,3
5,0,10809,Jim Furyk,68.44,616,9
6,0,26331,Charl Schwartzel,69.13,553,8
7,0,27436,Graham DeLaet,69.17,830,12
8,0,21961,Charles Howell III,69.29,970,14
9,0,30926,Chris Kirk,69.36,1526,22
10,0,29221,Webb Simpson,69.40,347,5
11,0,28500,Martin Flores,69.56,1252,18
12,0,24490,George McNeill,69.57,974,14
13,0,25274,Steven Bowditch,69.62,905,13
14,0,25900,Lucas Glover,69.67,836,12
14,0,23320,Ryan Palmer,69.67,836,12
16,0,22792,Peter Hanson,69.71,488,7
16,0,27214,Kevin Streelman,69.71,976,14
18,0,06004,Stephen Ames,69.73,767,11
18,0,27556,Ted Potter Jr.,69.73,767,11
20,0,01320,Bob Estes,69.78,628,9
21,0,34174,John Huh,69.80,1047,15
21,0,34046,Jordan Spieth,69.80,698,10
23,0,31560,Brian Stuard,69.82,768,11
24,0,24357,K.J. Choi,69.83,838,12
24,0,25804,Bubba Watson,69.83,419,6
26,0,23135,Tim Clark,69.85,908,13
27,0,31557,Jim Herman,69.88,559,8
28,0,20098,Stuart Appleby,69.91,769,11
28,0,34099,Harris English,69.91,769,11
30,0,20593,Greg Chalmers,69.93,979,14
31,0,23541,Ben Crane,70.00,910,13
31,0,21753,Brian Davis,70.00,910,13
31,0,21878,Mark Wilson,70.00,630,9
34,0,25632,Jimmy Walker,70.04,1611,23
35,0,23621,Rory Sabbatini,70.07,1051,15
36,0,20229,Stewart Cink,70.11,631,9
36,0,02206,David Toms,70.11,631,9
36,0,20160,Charlie Wi,70.11,631,9
39,0,23638,Brendon de Jonge,70.13,1052,15
40,0,23497,Tag Ridings,70.14,982,14
41,0,22913,John Rollins,70.17,842,12
42,0,22056,Cameron Percy,70.18,1193,17
43,0,33461,Morgan Hoffmann,70.21,983,14
44,0,23983,Luke Donald,70.25,281,4
44,0,23800,Bryce Molder,70.25,1124,16
46,0,28475,Jeff Overton,70.29,984,14
47,0,27895,Jonas Blixt,70.31,914,13
48,0,28089,Jason Day,70.36,774,11
48,0,23409,James Driscoll,70.36,985,14
50,0,27408,Martin Kaymer,70.43,493,7
51,0,27963,Chris Stroud,70.47,1198,17
52,0,06522,Ernie Els,70.50,141,2
52,0,21731,Freddie Jacobson,70.50,846,12
54,0,26758,David Hearn,70.54,917,13
55,0,28679,Fabián Gómez,70.55,776,11
56,0,24924,Bill Haas,70.56,635,9
56,0,08075,Jerry Kelly,70.56,1129,16
58,0,28135,Aaron Watkins,70.57,494,7
59,0,32150,Michael Thompson,70.63,1130,16
60,0,26289,Boo Weekley,70.67,1060,15
61,0,31323,Gary Woodland,70.69,919,13
62,0,34360,Patrick Reed,70.71,1202,17
62,0,21528,Henrik Stenson,70.71,495,7
62,0,28780,Nicholas Thompson,70.71,1202,17
65,0,12510,Chad Campbell,70.73,1061,15
65,0,06567,Vijay Singh,70.73,778,11
67,0,32200,Roberto Castro,70.78,1274,18
67,0,25686,Jason Dufner,70.78,637,9
67,0,08725,Tom Gillis,70.78,637,9
70,0,24494,Erik Compton,70.80,708,10
70,0,29518,Brendan Steele,70.80,1062,15
70,0,10423,Mike Weir,70.80,708,10
73,0,26300,Matt Jones,70.81,1133,16
73,0,10860,Justin Leonard,70.81,1133,16
73,0,26679,Kevin Stadler,70.81,1133,16
76,0,35139,Richard Lee,70.88,1134,16
77,0,22378,Trevor Immelman,71.00,1420,20
77,0,30925,Dustin Johnson,71.00,284,4
77,0,36884,Ben Kohles,71.00,1065,15
77,0,27770,Camilo Villegas,71.00,497,7
81,0,25240,D.A. Points,71.06,1137,16
82,0,24663,Y.E. Yang,71.08,924,13
83,0,29420,Billy Horschel,71.10,711,10
83,0,27933,John Merrick,71.10,1493,21
83,0,25345,Carl Pettersson,71.10,1422,20
86,0,23353,J.J. Henry,71.11,1351,19
86,0,06573,Brandt Jobe,71.11,640,9
88,0,32366,Kevin Chappell,71.12,1209,17
89,0,19846,Brian Gay,71.13,1067,15
90,0,20691,Greg Owen,71.17,1281,18
91,0,24507,Jason Bohn,71.18,1210,17
92,0,32448,James Hahn,71.19,1495,21
92,0,34098,Russell Henley,71.19,1139,16
92,0,29289,S.Y. Noh,71.19,1139,16
92,0,20645,John Senden,71.19,1139,16
96,0,27330,Josh Teater,71.20,1068,15
97,0,25336,Alistair Presnell,71.22,641,9
98,0,34261,Scott Langley,71.25,1140,16
98,0,27120,Troy Matteson,71.25,1140,16
100,0,34431,Robert Streb,71.29,1212,17
100,0,26497,Casey Wittenberg,71.29,1212,17
102,0,20396,Lee Westwood,71.33,428,6
103,0,27503,Steve LeBrun,71.36,999,14
103,0,26851,Marc Leishman,71.36,999,14
103,0,24781,Hunter Mahan,71.36,785,11
106,0,28259,Sangmoon Bae,71.38,928,13
106,0,28307,Matt Every,71.38,1142,16
106,0,23623,Bo Van Pelt,71.38,571,8
109,0,31202,William McGirt,71.39,1285,18
110,0,20766,Padraig Harrington,71.40,357,5
110,0,24024,Zach Johnson,71.40,1071,15
110,0,27649,Brandt Snedeker,71.40,357,5
113,0,25834,Daniel Summerhays,71.43,1000,14
114,0,33419,Cameron Tringale,71.44,1143,16
115,0,21099,David Lynn,71.45,786,11
116,0,29479,Scott Brown,71.47,1358,19
116,0,29740,Brad Fritsch,71.47,1072,15
116,0,30692,Scott Stallings,71.47,1358,19
119,0,34021,Bud Cauley,71.50,1001,14
119,0,22806,Doug LaBelle II,71.50,1001,14
121,0,22371,Aaron Baddeley,71.53,1359,19
121,0,22295,Darron Stiles,71.53,1073,15
123,0,24846,Ricky Barnes,71.58,859,12
124,0,33418,Shawn Stefani,71.60,1074,15
125,0,26596,Ryan Moore,71.62,931,13
126,0,24399,Scott Gardiner,71.63,1361,19
127,0,32102,Rickie Fowler,71.67,215,3
128,0,22961,David Mathis,71.69,932,13
129,0,01724,Jeff Maggert,71.71,1004,14
130,0,25818,Scott Piercy,71.75,1148,16
131,0,24358,Robert Garrigus,71.78,646,9
131,0,30944,Jason Kokrak,71.78,1292,18
131,0,23325,Vaughn Taylor,71.78,646,9
134,0,27644,Brian Harman,71.79,1005,14
135,0,19970,Robert Karlsson,71.80,718,10
135,0,28237,Rory McIlroy,71.80,359,5
135,0,24361,Pat Perez,71.80,1077,15
138,0,26951,Johnson Wagner,71.81,1149,16
139,0,22621,Ben Curtis,71.83,862,12
139,0,10213,Dicky Pride,71.83,1293,18
141,0,20104,Ken Duke,71.85,1437,20
142,0,30110,Kyle Stanley,71.87,1078,15
143,0,34409,David Lingmerth,71.90,719,10
144,0,26476,Chez Reavie,71.92,863,12
145,0,28092,D.H. Lee,71.93,1007,14
146,0,10885,Robert Allenby,72.00,1008,14
146,0,23452,Nicolas Colsaerts,72.00,432,6
146,0,30163,Henrik Norlander,72.00,1224,17
146,0,20572,Rod Pampling,72.00,432,6
146,0,08793,Tiger Woods,72.00,72,1
151,0,27129,Luke List,72.09,793,11
152,0,28455,Will Claxton,72.10,721,10
153,0,20848,Ángel Cabrera,72.13,577,8
153,0,35539,Luke Guthrie,72.13,1082,15
155,0,12716,Charley Hoffman,72.17,866,12
156,0,24138,Ian Poulter,72.20,361,5
