RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL 1ST TEE LATE ROUNDS
1,0,21528,Henrik Stenson,69.32,2149,31
2,0,34046,Jordan Spieth,69.54,2712,39
3,0,35139,Richard Lee,69.63,1323,19
4,0,06527,Steve Stricker,69.68,2369,34
5,0,31202,William McGirt,69.77,907,13
6,0,33418,Shawn Stefani,69.80,1047,15
6,0,08793,Tiger Woods,69.80,2443,35
8,0,22913,John Rollins,69.83,2025,29
9,0,28500,Martin Flores,69.85,1397,20
9,0,01810,Phil Mickelson,69.85,2794,40
11,0,32334,Charlie Beljan,69.92,839,12
11,0,24024,Zach Johnson,69.92,2587,37
13,0,01724,Jeff Maggert,69.93,1049,15
13,0,23621,Rory Sabbatini,69.93,1888,27
15,0,28475,Jeff Overton,69.96,1609,23
16,0,26758,David Hearn,70.00,1540,22
17,0,24227,Justin Bolli,70.13,1052,15
18,0,27436,Graham DeLaet,70.16,2596,37
18,0,21961,Charles Howell III,70.16,2245,32
20,0,22405,Justin Rose,70.19,3018,43
21,0,23108,Matt Kuchar,70.20,3159,45
22,0,27649,Brandt Snedeker,70.23,2809,40
23,0,01116,Michael Bradley,70.25,562,8
23,0,26476,Chez Reavie,70.25,1405,20
25,0,27963,Chris Stroud,70.26,1616,23
26,0,30692,Scott Stallings,70.29,1195,17
27,0,24924,Bill Haas,70.31,2953,42
28,0,34261,Scott Langley,70.32,1336,19
29,0,26300,Matt Jones,70.33,1688,24
29,0,27330,Josh Teater,70.33,1477,21
31,0,33141,Keegan Bradley,70.34,3306,47
31,0,24502,Adam Scott,70.34,2462,35
33,0,10213,Dicky Pride,70.36,985,14
34,0,24507,Jason Bohn,70.44,1127,16
34,0,28780,Nicholas Thompson,70.44,1902,27
36,0,29740,Brad Fritsch,70.45,1409,20
37,0,30925,Dustin Johnson,70.47,2255,32
37,0,22806,Doug LaBelle II,70.47,1057,15
39,0,24361,Pat Perez,70.48,1480,21
40,0,32200,Roberto Castro,70.50,2397,34
41,0,34099,Harris English,70.51,2609,37
42,0,30926,Chris Kirk,70.52,1622,23
43,0,23788,D.J. Trahan,70.53,1199,17
44,0,34098,Russell Henley,70.55,1411,20
45,0,26679,Kevin Stadler,70.56,1270,18
46,0,24357,K.J. Choi,70.57,1482,21
47,0,20098,Stuart Appleby,70.58,1835,26
48,0,20691,Greg Owen,70.60,1059,15
48,0,26289,Boo Weekley,70.60,2118,30
50,0,34360,Patrick Reed,70.62,1836,26
51,0,12716,Charley Hoffman,70.65,2402,34
52,0,23638,Brendon de Jonge,70.67,2544,36
52,0,31560,Brian Stuard,70.67,1696,24
54,0,23541,Ben Crane,70.68,1343,19
55,0,21209,Sergio Garcia,70.69,2474,35
56,0,33419,Cameron Tringale,70.72,1273,18
57,0,24781,Hunter Mahan,70.73,2617,37
58,0,20593,Greg Chalmers,70.75,1415,20
59,0,28679,Fabián Gómez,70.76,1486,21
60,0,19846,Brian Gay,70.79,991,14
60,0,32448,James Hahn,70.79,1345,19
62,0,27214,Kevin Streelman,70.80,2124,30
63,0,25274,Steven Bowditch,70.81,1133,16
64,0,23800,Bryce Molder,70.82,1204,17
65,0,28237,Rory McIlroy,70.86,1984,28
65,0,23325,Vaughn Taylor,70.86,992,14
67,0,26596,Ryan Moore,70.87,1630,23
68,0,23320,Ryan Palmer,70.88,1772,25
68,0,21878,Mark Wilson,70.88,1205,17
70,0,33461,Morgan Hoffmann,70.89,1347,19
70,0,30944,Jason Kokrak,70.89,1985,28
72,0,25686,Jason Dufner,70.90,2056,29
72,0,26851,Marc Leishman,70.90,2056,29
72,0,25834,Daniel Summerhays,70.90,2127,30
75,0,29420,Billy Horschel,70.93,2908,41
76,0,28307,Matt Every,70.94,2199,31
77,0,25562,Andres Romero,70.95,1419,20
78,0,12510,Chad Campbell,71.00,1349,19
78,0,06522,Ernie Els,71.00,1704,24
78,0,24358,Robert Garrigus,71.00,1420,20
78,0,27936,Martin Laird,71.00,923,13
78,0,29425,Andrew Svoboda,71.00,781,11
83,0,20396,Lee Westwood,71.03,2060,29
84,0,29221,Webb Simpson,71.07,3056,43
85,0,25240,D.A. Points,71.08,1777,25
86,0,01320,Bob Estes,71.11,1351,19
87,0,21753,Brian Davis,71.13,2134,30
88,0,20229,Stewart Cink,71.14,1565,22
88,0,25818,Scott Piercy,71.14,1494,21
88,0,25804,Bubba Watson,71.14,2632,37
91,0,30163,Henrik Norlander,71.15,925,13
92,0,28089,Jason Day,71.16,2206,31
93,0,25444,Justin Hicks,71.19,1851,26
94,0,30711,Colt Knost,71.20,712,10
95,0,31323,Gary Woodland,71.21,1994,28
96,0,29518,Brendan Steele,71.22,1282,18
97,0,28259,Sangmoon Bae,71.23,1567,22
97,0,29479,Scott Brown,71.23,926,13
97,0,10809,Jim Furyk,71.23,2493,35
97,0,27644,Brian Harman,71.23,1852,26
101,0,23983,Luke Donald,71.27,1853,26
102,0,27770,Camilo Villegas,71.31,1854,26
103,0,35539,Luke Guthrie,71.32,2211,31
104,0,12782,Tim Herron,71.33,856,12
104,0,25336,Alistair Presnell,71.33,1284,18
104,0,25632,Jimmy Walker,71.33,1498,21
107,0,27095,Nick Watney,71.34,2283,32
108,0,34409,David Lingmerth,71.35,1427,20
108,0,21099,David Lynn,71.35,1641,23
110,0,27503,Steve LeBrun,71.36,999,14
111,0,24846,Ricky Barnes,71.38,1142,16
111,0,27556,Ted Potter Jr.,71.38,1499,21
111,0,24138,Ian Poulter,71.38,1856,26
114,0,27933,John Merrick,71.39,1285,18
115,0,21731,Freddie Jacobson,71.41,1214,17
116,0,26331,Charl Schwartzel,71.42,2357,33
117,0,20443,Jin Park,71.45,786,11
118,0,32102,Rickie Fowler,71.48,2359,33
119,0,06004,Stephen Ames,71.50,1001,14
119,0,23409,James Driscoll,71.50,1716,24
119,0,22792,Peter Hanson,71.50,1001,14
119,0,08075,Jerry Kelly,71.50,1430,20
123,0,32698,Bobby Gates,71.53,1073,15
124,0,23353,J.J. Henry,71.60,1432,20
125,0,32366,Kevin Chappell,71.65,1218,17
125,0,26497,Casey Wittenberg,71.65,1433,20
127,0,23135,Tim Clark,71.67,1290,18
127,0,37273,Derek Ernst,71.67,860,12
127,0,31557,Jim Herman,71.67,1505,21
127,0,34174,John Huh,71.67,1935,27
131,0,02206,David Toms,71.69,932,13
132,0,24494,Erik Compton,71.75,2009,28
132,0,28135,Aaron Watkins,71.75,861,12
134,0,27120,Troy Matteson,71.79,1364,19
135,0,27895,Jonas Blixt,71.81,1508,21
136,0,20104,Ken Duke,71.84,1365,19
137,0,10860,Justin Leonard,71.85,1437,20
138,0,25900,Lucas Glover,71.86,1509,21
138,0,30110,Kyle Stanley,71.86,1581,22
138,0,28310,Lee Williams,71.86,1006,14
141,0,34431,Robert Streb,71.89,1294,18
142,0,20848,Ángel Cabrera,71.90,2085,29
142,0,23497,Tag Ridings,71.90,1438,20
144,0,23623,Bo Van Pelt,71.94,1295,18
145,0,22961,David Mathis,72.00,1296,18
145,0,29289,S.Y. Noh,72.00,1080,15
147,0,22056,Cameron Percy,72.09,793,11
148,0,27408,Martin Kaymer,72.11,1370,19
148,0,22295,Darron Stiles,72.11,649,9
150,0,22378,Trevor Immelman,72.13,1082,15
151,0,25572,Graeme McDowell,72.22,1661,23
152,0,28455,Will Claxton,72.24,1228,17
153,0,20572,Rod Pampling,72.30,723,10
154,0,22371,Aaron Baddeley,72.31,940,13
155,0,30750,Tommy Gainey,72.32,1591,22
156,0,23452,Nicolas Colsaerts,72.33,1302,18
156,0,24399,Scott Gardiner,72.33,868,12
156,0,28092,D.H. Lee,72.33,1302,18
159,0,20766,Padraig Harrington,72.35,1230,17
159,0,24490,George McNeill,72.35,1230,17
161,0,26951,Johnson Wagner,72.38,1158,16
162,0,30852,Ryo Ishikawa,72.39,1303,18
163,0,20160,Charlie Wi,72.41,1593,22
164,0,36884,Ben Kohles,72.42,1376,19
165,0,24140,Sean O'Hair,72.44,1159,16
166,0,06573,Brandt Jobe,72.46,942,13
166,0,19970,Robert Karlsson,72.46,942,13
166,0,33869,Eric Meierdierks,72.46,942,13
169,0,20645,John Senden,72.48,1522,21
170,0,34021,Bud Cauley,72.56,1161,16
171,0,25345,Carl Pettersson,72.63,581,8
172,0,24663,Y.E. Yang,72.77,946,13
173,0,06567,Vijay Singh,72.81,1165,16
174,0,22621,Ben Curtis,72.87,1093,15
175,0,08725,Tom Gillis,72.89,1385,19
176,0,10885,Robert Allenby,72.90,729,10
177,0,32150,Michael Thompson,73.07,1096,15
178,0,22046,Geoff Ogilvy,73.36,807,11
179,0,10423,Mike Weir,73.38,1174,16
180,0,27129,Luke List,73.43,1028,14
