RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (INCHES),ATTEMPTS,TOTAL DISTANCE (FEET),RELATIVE TO PAR
1,0,33413,Ben Martin,37' 9",48489,107,4040.750,-6.00
2,0,35230,Nelson Ledesma,37' 11",58719,129,4893.250,+6.00
3,0,22371,Aaron Baddeley,38' 2",62350,136,5195.833,+4.00
4,0,22056,Cameron Percy,39' 5",99407,210,8283.917,+10.00
5,0,20229,Stewart Cink,39' 7",134515,283,11209.583,+24.00
6,0,23325,Vaughn Taylor,39' 10",76500,160,6375.000,+17.00
7,0,27330,Josh Teater,40' 2",49203,102,4100.250,+3.00
8,0,48045,Michael Gellerman,40' 3",46834,97,3902.833,+6.00
9,0,49766,Hank Lebioda,40' 5",90664,187,7555.333,+9.00
10,0,31420,Anirban Lahiri,40' 6",100667,207,8388.917,-3.00
11,0,34098,Russell Henley,40' 7",109638,225,9136.500,E
12,0,34076,Joel Dahmen,40' 10",74992,153,6249.333,+17.00
13,0,31646,Emiliano Grillo,40' 11",100093,204,8341.083,+20.00
14,0,34466,Peter Malnati,41' 2",132027,267,11002.250,+26.00
15,0,12716,Charley Hoffman,41' 5",145199,292,12099.917,+3.00
15,0,30692,Scott Stallings,41' 5",122267,246,10188.917,+2.00
17,0,33948,Byeong Hun An,41' 7",154738,310,12894.833,+45.00
17,0,27556,Ted Potter Jr.,41' 7",116872,234,9739.333,+44.00
19,0,26476,Chez Reavie,41' 8",72996,146,6083.000,+24.00
20,0,35450,Patrick Cantlay,41' 9",119188,238,9932.333,+1.00
20,0,33490,Bo Hoag,41' 9",117718,235,9809.833,-6.00
22,0,28252,Seamus Power,41' 10",67203,134,5600.250,-4.00
22,0,30110,Kyle Stanley,41' 10",114036,227,9503.000,+20.00
24,0,35461,Beau Hossler,41' 11",135193,269,11266.083,+32.00
25,0,39953,Chase Seiffert,42' 2",85956,170,7163.000,+8.00
26,0,30925,Dustin Johnson,42' 3",108979,215,9081.583,+17.00
27,0,26758,David Hearn,42' 5",67703,133,5641.917,+16.00
28,0,46435,Austin Cook,42' 6",102437,201,8536.417,+35.00
28,0,24781,Hunter Mahan,42' 6",87132,171,7261.000,+20.00
30,0,32333,Kevin Tway,42' 7",110301,216,9191.750,+6.00
31,0,23623,Bo Van Pelt,42' 8",103450,202,8620.833,+23.00
32,0,27141,J.B. Holmes,42' 9",107233,209,8936.083,+12.00
32,0,33667,Carlos Ortiz,42' 9",136369,266,11364.083,+23.00
34,0,28420,Ryan Brehm,42' 10",86813,169,7234.417,+12.00
35,0,30926,Chris Kirk,42' 11",128245,249,10687.083,+9.00
35,0,36689,Brooks Koepka,42' 11",99983,194,8331.917,+13.00
35,0,34213,Grayson Murray,42' 11",85502,166,7125.167,+46.00
38,0,26300,Matt Jones,43' 0",171869,333,14322.417,+30.00
39,0,29268,Bronson Burgoon,43' 1",116870,226,9739.167,+18.00
39,0,47347,Adam Schenk,43' 1",148455,287,12371.250,+14.00
39,0,27649,Brandt Snedeker,43' 1",117797,228,9816.417,+17.00
