RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL EARLY ROUNDS
1,0,23108,Matt Kuchar,68.95,2827,41
2,0,06595,Kevin Sutherland,69.36,2913,42
3,0,12602,Dean Wilson,69.41,2013,29
4,0,12716,Charley Hoffman,69.46,2848,41
5,0,27436,Graham DeLaet,69.52,3059,44
6,0,25364,Paul Casey,69.59,1531,22
7,0,08375,Paul Stankowski,69.63,2437,35
8,0,24361,Pat Perez,69.65,3413,49
9,0,01810,Phil Mickelson,69.68,2160,31
10,0,20127,Chris Riley,69.69,2509,36
11,0,22405,Justin Rose,69.71,2858,41
12,0,10809,Jim Furyk,69.81,2164,31
13,0,20593,Greg Chalmers,69.82,3421,49
13,0,30925,Dustin Johnson,69.82,2374,34
15,0,26695,Michael Letzig,69.85,3213,46
16,0,01313,Steve Elkington,69.86,2515,36
17,0,25720,Chad Collins,69.89,3075,44
18,0,29221,Webb Simpson,69.90,3495,50
19,0,06004,Stephen Ames,69.92,2727,39
20,0,06621,Joe Durant,69.94,2378,34
20,0,23349,Charles Warren,69.94,2238,32
22,0,06567,Vijay Singh,69.95,2658,38
23,0,23983,Luke Donald,69.96,1749,25
24,0,21961,Charles Howell III,69.97,4058,58
25,0,23135,Tim Clark,69.98,2939,42
25,0,08725,Tom Gillis,69.98,3499,50
25,0,21731,Freddie Jacobson,69.98,3429,49
28,0,23800,Bryce Molder,70.00,2660,38
28,0,02206,David Toms,70.00,2940,42
30,0,27141,J.B. Holmes,70.02,3711,53
30,0,25396,Kevin Na,70.02,3081,44
32,0,22056,Cameron Percy,70.03,2451,35
32,0,06527,Steve Stricker,70.03,2101,30
34,0,01941,Tom Pernice Jr.,70.05,2662,38
34,0,25804,Bubba Watson,70.05,2802,40
36,0,19846,Brian Gay,70.06,3713,53
36,0,20686,Jeev Milkha Singh,70.06,2312,33
38,0,26289,Boo Weekley,70.07,3153,45
39,0,23322,Brett Wetterich,70.08,1752,25
40,0,23623,Bo Van Pelt,70.10,3575,51
41,0,20498,Briny Baird,70.11,3225,46
