RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL VERT. LAUNCH ANGLE,TOTAL ATTEMPTS
1,0,19846,Brian Gay,14.10,119.873,85
2,0,01810,Phil Mickelson,13.26,291.82,22
3,0,35449,Adam Long,12.98,1310.68,101
4,0,26758,David Hearn,12.76,778.07,61
5,0,23325,Vaughn Taylor,12.75,1351.43,106
6,0,46523,Joey Garber,12.68,1305.73,103
7,0,29926,Danny Lee,12.57,1470.72,117
8,0,31560,Brian Stuard,12.35,1012.40,82
9,0,33141,Keegan Bradley,12.33,751.83,61
10,0,20472,Alex Cejka,12.24,771.14,63
11,0,29223,Sam Saunders,12.19,1328.63,109
12,0,39975,Michael Kim,12.08,797.24,66
13,0,32640,Troy Merritt,11.98,1054.41,88
14,0,37189,Harold Varner III,11.84,947.13,80
15,0,47959,Bryson DeChambeau,11.82,697.50,59
16,0,29221,Webb Simpson,11.75,704.71,60
17,0,27958,Ryan Blaum,11.74,1514.79,129
17,0,46435,Austin Cook,11.74,1114.83,95
19,0,33948,Byeong Hun An,11.70,842.52,72
19,0,37454,Whee Kim,11.70,1064.37,91
21,0,30191,Julián Etulain,11.67,770.20,66
22,0,27974,Sung Kang,11.64,826.36,71
23,0,30786,Brady Schnell,11.63,895.15,77
24,0,39324,J.J. Spaun,11.60,1252.36,108
25,0,47128,Richy Werenski,11.54,1742.48,151
26,0,25572,Graeme McDowell,11.43,674.50,59
27,0,29268,Bronson Burgoon,11.39,1014.07,89
27,0,25198,Francesco Molinari,11.39,581.08,51
29,0,24781,Hunter Mahan,11.33,849.48,75
30,0,24925,Jonathan Byrd,11.32,690.28,61
30,0,34021,Bud Cauley,11.32,1482.92,131
32,0,26476,Chez Reavie,11.30,836.04,74
32,0,32139,Danny Willett,11.30,361.54,32
34,0,32816,Satoshi Kodaira,11.27,698.54,62
35,0,24024,Zach Johnson,11.26,822.12,73
36,0,35461,Beau Hossler,11.22,1525.46,136
37,0,39954,Cody Gribble,11.19,1107.66,99
38,0,32150,Michael Thompson,11.15,1159.36,104
39,0,32102,Rickie Fowler,11.09,676.45,61
39,0,35732,Wes Roach,11.09,1141.93,103
41,0,40009,Dominic Bozzelli,11.03,926.73,84
42,0,27644,Brian Harman,10.97,1173.39,107
43,0,25632,Jimmy Walker,10.96,1128.73,103
44,0,28089,Jason Day,10.95,426.90,39
45,0,27895,Jonas Blixt,10.94,1411.73,129
46,0,47993,Denny McCarthy,10.92,1146.24,105
47,0,29420,Billy Horschel,10.90,849.91,78
48,0,27330,Josh Teater,10.87,1304.21,120
49,0,30944,Jason Kokrak,10.86,955.98,88
50,0,27214,Kevin Streelman,10.83,1212.64,112
51,0,28237,Rory McIlroy,10.81,486.30,45
52,0,29908,C.T. Pan,10.79,625.58,58
53,0,45157,Cam Davis,10.78,1067.52,99
54,0,49960,Sepp Straka,10.77,1152.35,107
55,0,49964,Aaron Wise,10.75,687.69,64
56,0,12716,Charley Hoffman,10.67,821.45,77
57,0,28775,Nate Lashley,10.64,1096.40,103
57,0,25818,Scott Piercy,10.64,766.07,72
59,0,29479,Scott Brown,10.63,1541.02,145
59,0,35376,Roberto Díaz,10.63,1233.54,116
59,0,23320,Ryan Palmer,10.63,935.12,88
62,0,27649,Brandt Snedeker,10.62,1094.36,103
63,0,22405,Justin Rose,10.59,381.37,36
63,0,33486,Roger Sloan,10.59,1366.31,129
65,0,30946,Alex Prugh,10.56,1066.45,101
66,0,36799,Stephan Jaeger,10.55,960.38,91
67,0,34363,Tyrrell Hatton,10.50,356.97,34
67,0,26951,Johnson Wagner,10.50,777.18,74
69,0,25493,Nick Taylor,10.47,1528.62,146
70,0,39997,Corey Conners,10.46,1004.31,96
70,0,06522,Ernie Els,10.46,407.96,39
70,0,34563,Chesson Hadley,10.46,805.66,77
73,0,27963,Chris Stroud,10.44,1065.35,102
73,0,37340,Chase Wright,10.44,1169.83,112
75,0,29535,Brice Garnett,10.41,1363.86,131
75,0,49298,Kramer Hickok,10.41,1217.77,117
77,0,33410,Andrew Landry,10.40,1154.73,111
78,0,34076,Joel Dahmen,10.37,974.37,94
79,0,35532,Tom Hoge,10.36,1554.31,150
80,0,23353,J.J. Henry,10.35,921.00,89
81,0,28679,Fabián Gómez,10.29,1173.42,114
82,0,46970,Jon Rahm,10.28,287.90,28
83,0,36689,Brooks Koepka,10.27,852.20,83
83,0,23108,Matt Kuchar,10.27,636.61,62
83,0,46601,Trey Mullinax,10.27,1314.22,128
86,0,35879,Kelly Kraft,10.22,1103.83,108
87,0,30925,Dustin Johnson,10.21,428.91,42
88,0,30978,Kiradech Aphibarnrat,10.13,435.80,43
89,0,31420,Anirban Lahiri,10.11,1142.74,113
89,0,24361,Pat Perez,10.11,566.33,56
91,0,32757,Patton Kizzire,10.09,757.02,75
92,0,26499,Rafa Cabrera Bello,10.04,401.64,40
92,0,35891,Cameron Smith,10.04,512.05,51
94,0,35506,Mackenzie Hughes,10.02,1493.67,149
95,0,47504,Sam Burns,10.01,1280.66,128
95,0,39327,Ben Silverman,10.01,1321.33,132
95,0,34046,Jordan Spieth,10.01,590.39,59
98,0,29478,Kevin Kisner,10.00,849.91,85
