RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOT. EARLY RDS.(1ST TEE)
1,0,35450,Patrick Cantlay,68.13,1022,15
2,0,47591,Eric Cole,68.14,1908,28
3,0,58696,Peter Kuest,68.25,546,8
4,0,56630,Akshay Bhatia,68.41,1847,27
5,0,50525,Collin Morikawa,68.43,958,14
6,0,48081,Xander Schauffele,68.47,1027,15
7,0,46717,Viktor Hovland,68.50,1096,16
8,0,46970,Jon Rahm,68.60,1029,15
9,0,46046,Scottie Scheffler,68.67,1236,18
10,0,55789,Taylor Montgomery,68.88,1653,24
11,0,51766,Wyndham Clark,68.93,1861,27
12,0,55182,Tom Kim,68.96,1586,23
13,0,51890,Greyson Sigg,69.00,2208,32
14,0,33653,Thomas Detry,69.07,1934,28
15,0,39324,J.J. Spaun,69.10,2764,40
16,0,57975,Harry Hall,69.13,1659,24
17,0,39971,Sungjae Im,69.17,1660,24
18,0,35461,Beau Hossler,69.20,2076,30
18,0,34256,Andrew Putnam,69.20,2837,41
20,0,32839,Hideki Matsuyama,69.21,1315,19
21,0,36326,David Lipsky,69.24,2285,33
22,0,52955,Ludvig Åberg,69.27,762,11
23,0,54783,Dylan Wu,69.29,2633,38
24,0,47988,Nick Hardy,69.30,2564,37
25,0,34363,Tyrrell Hatton,69.32,1733,25
25,0,34098,Russell Henley,69.32,2149,31
27,0,34046,Jordan Spieth,69.41,1180,17
28,0,32791,K.H. Lee,69.45,2292,33
28,0,51070,Vincent Norrman,69.45,1389,20
30,0,22371,Aaron Baddeley,69.46,1806,26
30,0,51997,Andrew Novak,69.46,1667,24
30,0,37275,Sam Ryder,69.46,2431,35
30,0,57366,Cameron Young,69.46,1945,28
34,0,39997,Corey Conners,69.48,1598,23
34,0,46414,Aaron Rai,69.48,2154,31
36,0,36799,Stephan Jaeger,69.49,2849,41
37,0,22405,Justin Rose,69.50,1112,16
38,0,47347,Adam Schenk,69.53,2225,32
39,0,39954,Cody Gribble,69.54,1669,24
40,0,23108,Matt Kuchar,69.56,1878,27
41,0,30927,Brendon Todd,69.57,3061,44
42,0,33141,Keegan Bradley,69.58,1670,24
43,0,40115,Adam Svensson,69.61,2854,41
44,0,28089,Jason Day,69.62,1462,21
