RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,# OF BIRDIES,TOTAL ROUNDS
1,19,01876,Greg Norman,3.98,247,62
2,19,01226,Fred Couples,3.89,346,89
3,19,01682,Wayne Levi,3.88,334,86
4,21,01042,Paul Azinger,3.86,359,93
5,24,02133,Craig Stadler,3.75,300,80
6,26,02033,Dave Rummells,3.73,366,98
7,26,01072,Chip Beck,3.72,290,78
8,26,02146,Payne Stewart,3.71,315,85
9,26,01475,Donnie Hammond,3.70,333,90
9,26,01599,Steve Jones,3.70,344,93
11,26,01418,Bill Glasson,3.69,295,80
11,26,01968,Nick Price,3.69,347,94
13,28,01331,Rick Fehr,3.65,270,74
14,28,02067,Ted Schulz,3.64,415,114
15,28,01771,Blaine McCallister,3.63,374,103
16,28,01143,Brad Bryant,3.61,375,104
16,28,01161,Mark Calcavecchia,3.61,314,87
16,28,01633,Tom Kite,3.61,321,89
19,29,01887,Mark O'Meara,3.60,324,90
20,30,01098,Jay Don Blake,3.59,312,87
21,30,02159,Curtis Strange,3.58,286,80
22,30,01706,Davis Love III,3.57,296,83
22,30,02101,Joey Sindelar,3.57,339,95
24,31,01313,Steve Elkington,3.52,348,99
24,31,01639,Kenny Knox,3.52,384,109
24,31,02087,Don Shirey Jr.,3.52,299,85
27,31,02100,Tim Simpson,3.50,382,109
28,52,02170,Hal Sutton,3.49,349,100
29,53,02049,Gene Sauers,3.46,284,82
30,54,02007,Larry Rinker,3.44,299,87
30,54,02303,Robert Wrenn,3.44,299,87
32,54,01569,Peter Jacobsen,3.43,295,86
32,54,01777,John McComish,3.43,274,80
32,54,02242,Lanny Wadkins,3.43,281,82
35,54,01550,Ed Humenik,3.42,277,81
35,54,01690,Bruce Lietzke,3.42,253,74
35,54,01926,Steve Pate,3.42,376,110
35,54,01958,Dan Pohl,3.42,236,69
39,54,01129,Bill Britton,3.41,365,107
39,54,01414,Bob Gilder,3.41,293,86
39,54,01549,Mike Hulbert,3.41,402,118
39,54,01790,Pat McGowan,3.41,310,91
43,54,01557,John Inman,3.40,303,89
43,54,01837,Gil Morgan,3.40,292,86
43,54,01945,Kenny Perry,3.40,282,83
43,54,02246,Duffy Waldorf,3.40,289,85
43,54,02321,Fuzzy Zoeller,3.40,228,67
48,54,01060,Dave Barr,3.39,312,92
48,54,01715,Mark Lye,3.39,305,90
48,54,01736,Roger Maltbie,3.39,261,77
48,54,01938,David Peoples,3.39,217,64
52,54,01282,Trevor Dodds,3.38,206,61
52,54,01468,Gary Hallberg,3.38,291,86
52,54,01522,Lon Hinkle,3.38,304,90
52,54,01797,Rocco Mediate,3.38,351,104
56,55,01175,Jim Carter,3.37,357,106
56,55,01329,Brad Faxon,3.37,313,93
56,55,01960,Don Pooley,3.37,256,76
59,55,01035,Tommy Armour III,3.36,360,107
59,55,01133,Billy Ray Brown,3.36,309,92
59,55,02279,Mark Wiebe,3.36,329,98
62,55,01201,Lennie Clements,3.35,275,82
62,55,02186,Brian Tennyson,3.35,342,102
64,55,01378,David Frost,3.33,303,91
64,55,01773,Ronnie McCann,3.33,210,63
64,55,02167,Mike Sullivan,3.33,263,79
67,61,01499,Mark Hayes,3.32,282,85
67,61,01553,John Huston,3.32,282,85
67,61,01928,Corey Pavin,3.32,329,99
67,61,02148,Ray Stewart,3.32,216,65
71,62,01284,Mike Donald,3.31,390,118
71,62,01725,John Mahaffey,3.31,351,106
71,62,01846,Jodie Mudd,3.31,314,95
71,62,02118,J.C. Snead,3.31,285,86
75,62,01527,Scott Hoch,3.29,322,98
76,63,01151,Clark Burroughs,3.27,229,70
76,63,01346,Ed Fiori,3.27,327,100
76,63,01443,Hubert Green,3.27,242,74
76,63,02010,Loren Roberts,3.27,369,113
76,63,02023,Clarence Rose,3.27,347,106
81,63,01457,Jay Haas,3.26,297,91
81,63,01641,Gary Koch,3.26,212,65
83,63,01385,Jim Gallagher Jr.,3.25,384,118
83,63,02095,Larry Silveira,3.25,263,81
85,69,01507,Webb Heintzelman,3.24,340,105
85,69,01666,Bernhard Langer,3.24,178,55
85,69,02041,Bill Sander,3.24,318,98
88,69,01049,Ian Baker-Finch,3.23,194,60
88,69,01306,David Edwards,3.23,291,90
88,69,02223,Bob Tway,3.23,304,94
91,69,01014,Fulton Allem,3.22,277,86
91,69,01235,Ben Crenshaw,3.22,251,78
91,69,01533,P.H. Horgan III,3.22,274,85
91,69,01864,Larry Nelson,3.22,187,58
91,69,02104,Jeff Sluman,3.22,238,74
91,69,02201,Jim Thorpe,3.22,267,83
97,70,01154,Bill Buttner,3.20,278,87
97,70,01261,Jay Delsing,3.20,205,64
97,70,02239,Scott Verplank,3.20,278,87
97,70,02241,Bobby Wadkins,3.20,336,105
101,72,02185,Lance Ten Broeck,3.19,265,83
102,72,01931,Rick Pearson,3.18,245,77
102,72,01943,Chris Perry,3.18,340,107
104,72,01006,John Adams,3.17,276,87
104,72,01068,Andy Bean,3.17,238,75
104,72,01381,Fred Funk,3.17,282,89
104,72,01823,Larry Mize,3.17,301,95
108,74,01444,Ken Green,3.16,256,81
109,74,06284,Jim Hallet,3.15,350,111
110,74,01510,Nolan Henke,3.14,229,73
110,74,02225,Howard Twitty,3.14,261,83
110,74,02292,Bob Wolcott,3.14,204,65
113,75,02195,Leonard Thompson,3.13,294,94
114,76,01093,Ronnie Black,3.12,268,86
114,76,01096,Phil Blackmar,3.12,262,84
114,76,01390,Buddy Gardner,3.12,346,111
117,77,01197,Bobby Clampett,3.11,274,88
117,77,01248,Rick Dalpos,3.11,221,71
117,77,01941,Tom Pernice Jr.,3.11,202,65
120,78,02090,Tom Sieckmann,3.10,251,81
120,78,02256,Tom Watson,3.10,183,59
122,79,01156,Curt Byrum,3.09,300,97
122,79,01168,David Canipe,3.09,284,92
122,79,01203,Russ Cochran,3.09,278,90
122,79,01783,Mark McCumber,3.09,210,68
126,79,01106,Jim Booros,3.08,265,86
126,79,01975,Tom Purtzer,3.08,240,78
128,79,01701,Bob Lohr,3.07,298,97
129,80,01469,Dan Halldorson,3.06,269,88
129,80,01662,Greg Ladehoff,3.06,248,81
129,80,01717,Sandy Lyle,3.06,162,53
132,80,01723,Andrew Magee,3.05,311,102
133,80,01755,Dick Mast,3.04,274,90
133,80,01891,David Ogrin,3.04,292,96
135,80,01157,Tom Byrum,3.03,306,101
135,80,01487,Jeff Hart,3.03,179,59
135,80,01559,Hale Irwin,3.03,191,63
135,80,01614,Jack Kay Jr.,3.03,221,73
139,80,01033,George Archer,3.02,193,64
139,80,01200,Keith Clearwater,3.02,302,100
139,80,01361,Dan Forsman,3.02,260,86
142,80,01374,Robin Freeman,3.01,235,78
142,80,01435,Wayne Grady,3.01,247,82
144,118,01310,Dave Eichelberger,2.99,296,99
144,118,02196,Robert Thompson,2.99,221,74
144,118,02322,Richard Zokol,2.99,230,77
147,118,01766,Billy Mayfair,2.98,295,99
147,118,01884,Mac O'Grady,2.98,158,53
147,118,02190,Doug Tewell,2.98,238,80
150,118,01813,Mike Miles,2.97,196,66
150,118,02224,Greg Twiggs,2.97,214,72
152,118,01162,Rex Caldwell,2.96,213,72
152,118,01307,Joel Edwards,2.96,210,71
152,118,01448,Tony Grimes,2.96,204,69
155,120,01320,Bob Estes,2.95,230,78
155,120,01984,Sam Randolph,2.95,165,56
155,120,01992,Don Reese,2.95,268,91
158,120,01030,Isao Aoki,2.94,156,53
158,120,01323,Brad Fabel,2.94,250,85
160,120,01303,Bob Eastwood,2.93,246,84
160,120,01326,Nick Faldo,2.93,179,61
160,120,01996,Mike Reid,2.93,220,75
160,120,02261,Doug Weaver,2.93,202,69
164,120,01086,Roy Biancalana,2.92,190,65
164,120,02099,Scott Simpson,2.92,210,72
166,120,01571,Barry Jaeckel,2.91,192,66
166,120,02267,D.A. Weibring,2.91,224,77
168,120,01112,Charlie Bowles,2.90,180,62
169,121,01495,Morris Hatalsky,2.88,199,69
169,121,01952,Billy Pierot,2.88,184,64
171,123,01132,Mark Brooks,2.85,248,87
172,124,01024,Billy Andrade,2.84,267,94
172,124,01150,George Burns,2.84,159,56
174,125,01877,Tim Norris,2.83,249,88
175,128,02222,Billy Tuten,2.82,203,72
176,129,01925,Jerry Pate,2.80,143,51
177,129,02294,Willie Wood,2.79,148,53
178,129,01061,Ray Barr Jr.,2.76,182,66
178,129,01685,J.L. Lewis,2.76,141,51
180,129,01935,Calvin Peete,2.75,140,51
181,136,01355,Raymond Floyd,2.69,148,55
181,136,02094,Tony Sills,2.69,242,90
183,142,01626,Karl Kimball,2.63,137,52
184,143,01564,David Jackson,2.60,148,57
185,145,01489,Steve Hart,2.58,204,79
186,148,01078,Jim Benepe,2.57,195,76
