RANK,MOVEMENT,PLAYER_ID,PLAYER,FREQUENCY,# OF HOLES,# OF EAGLES
1,31,02246,Duffy Waldorf,109.3,1530,14
2,31,01706,Davis Love III,114.9,1494,13
3,31,01522,Lon Hinkle,115.7,1620,14
4,35,02133,Craig Stadler,130.9,1440,11
5,39,01599,Steve Jones,152.0,1672,11
6,39,01926,Steve Pate,152.3,1980,13
7,39,01685,J.L. Lewis,153.0,918,6
8,39,01884,Mac O'Grady,156.7,940,6
9,39,01226,Fred Couples,160.2,1602,10
10,39,01527,Scott Hoch,160.4,1764,11
11,39,01313,Steve Elkington,162.0,1782,11
12,39,01549,Mike Hulbert,163.4,2124,13
13,39,02148,Ray Stewart,167.1,1170,7
14,40,01468,Gary Hallberg,172.0,1548,9
15,40,01197,Bobby Clampett,176.0,1584,9
16,40,01151,Clark Burroughs,180.0,1260,7
16,40,01418,Bill Glasson,180.0,1440,8
18,43,01282,Trevor Dodds,183.0,1098,6
19,43,02101,Joey Sindelar,190.0,1710,9
20,43,01323,Brad Fabel,190.3,1522,8
21,43,01499,Mark Hayes,191.3,1530,8
22,44,01098,Jay Don Blake,195.1,1561,8
23,44,01078,Jim Benepe,195.4,1368,7
24,44,01161,Mark Calcavecchia,195.8,1566,8
25,44,02033,Dave Rummells,196.0,1764,9
26,44,01310,Dave Eichelberger,198.0,1782,9
27,45,01320,Bob Estes,200.6,1404,7
28,45,01564,David Jackson,205.2,1026,5
29,45,01444,Ken Green,206.3,1444,7
30,45,01662,Greg Ladehoff,208.3,1458,7
31,46,02049,Gene Sauers,210.9,1476,7
32,46,02195,Leonard Thompson,211.5,1692,8
33,46,01175,Jim Carter,212.0,1908,9
34,46,02256,Tom Watson,212.4,1062,5
35,46,01846,Jodie Mudd,213.8,1710,8
36,46,01162,Rex Caldwell,214.8,1289,6
37,46,01049,Ian Baker-Finch,215.0,1075,5
38,50,01837,Gil Morgan,219.1,1534,7
39,50,02041,Bill Sander,220.5,1764,8
40,50,01414,Bob Gilder,221.1,1548,7
41,50,02104,Jeff Sluman,222.0,1332,6
42,50,01766,Billy Mayfair,222.8,1782,8
43,50,01931,Rick Pearson,231.0,1386,6
44,50,01975,Tom Purtzer,234.0,1404,6
45,53,01571,Barry Jaeckel,237.6,1188,5
46,53,01035,Tommy Armour III,239.6,1917,8
47,54,01129,Bill Britton,240.8,1926,8
47,54,01943,Chris Perry,240.8,1926,8
49,54,02223,Bob Tway,241.7,1692,7
50,54,01550,Ed Humenik,243.0,1458,6
50,54,02095,Larry Silveira,243.0,1458,6
52,54,01096,Phil Blackmar,252.0,1512,6
53,54,02087,Don Shirey Jr.,255.0,1530,6
54,54,02170,Hal Sutton,257.1,1800,7
55,54,01014,Fulton Allem,258.0,1548,6
55,54,01361,Dan Forsman,258.0,1548,6
57,54,01723,Andrew Magee,262.3,1836,7
58,54,01284,Mike Donald,265.5,2124,8
59,54,01690,Bruce Lietzke,266.4,1332,5
60,54,01068,Andy Bean,270.0,1350,5
60,54,01475,Donnie Hammond,270.0,1620,6
60,54,01755,Dick Mast,270.0,1620,6
63,55,02023,Clarence Rose,272.6,1908,7
64,55,01133,Billy Ray Brown,275.0,1650,6
65,55,01329,Brad Faxon,279.0,1674,6
66,55,01773,Ronnie McCann,280.3,1121,4
67,55,01968,Nick Price,282.0,1692,6
68,55,01559,Hale Irwin,283.5,1134,4
69,55,01390,Buddy Gardner,285.4,1998,7
70,55,01261,Jay Delsing,288.0,1152,4
71,56,02279,Mark Wiebe,294.0,1764,6
72,56,01435,Wayne Grady,295.2,1476,5
72,56,02242,Lanny Wadkins,295.2,1476,5
74,56,01061,Ray Barr Jr.,297.0,1188,4
75,56,02321,Fuzzy Zoeller,298.5,1194,4
76,56,01945,Kenny Perry,298.8,1494,5
77,56,01303,Bob Eastwood,302.4,1512,5
