RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL HIT,TOTAL ATTEMPTS,RTP SCORE
1,0,45242,Kevin Yu,80.32%,694,864,-218.00
2,0,58696,Peter Kuest,80.20%,563,702,-194.00
3,0,46046,Scottie Scheffler,80.18%,1068,1332,-366.00
4,0,52955,Ludvig Åberg,79.01%,640,810,-243.00
5,0,35450,Patrick Cantlay,77.24%,862,1116,-319.00
6,0,52375,Doug Ghim,77.10%,1027,1332,-287.00
7,0,27129,Luke List,77.04%,1151,1494,-339.00
8,0,51070,Vincent Norrman,76.92%,900,1170,-274.00
9,0,39997,Corey Conners,76.81%,1037,1350,-325.00
10,0,50525,Collin Morikawa,76.52%,854,1116,-271.00
11,0,33122,Russell Knox,76.46%,1156,1512,-283.00
12,0,39335,Kevin Roy,76.42%,729,954,-214.00
13,0,29725,Tony Finau,76.26%,1002,1314,-326.00
14,0,36799,Stephan Jaeger,76.22%,1468,1926,-462.00
15,0,57366,Cameron Young,76.04%,917,1206,-298.00
16,0,46970,Jon Rahm,76.02%,821,1080,-288.00
17,0,45609,Tyler Duncan,75.95%,1080,1422,-290.00
18,0,49453,Trevor Cone,75.93%,861,1134,-255.00
19,0,25900,Lucas Glover,75.69%,1090,1440,-307.00
20,0,28237,Rory McIlroy,75.57%,789,1044,-289.00
21,0,28775,Nate Lashley,75.53%,1142,1512,-349.00
22,0,55182,Tom Kim,75.44%,1032,1368,-353.00
23,0,26596,Ryan Moore,75.43%,869,1152,-254.00
24,0,56762,Will Gordon,75.41%,1208,1602,-375.00
25,0,56630,Akshay Bhatia,75.38%,787,1044,-243.00
26,0,52372,Cameron Champ,75.33%,800,1062,-239.00
27,0,31323,Gary Woodland,75.23%,1002,1332,-286.00
28,0,58168,Davis Thompson,75.16%,1177,1566,-362.00
29,0,54783,Dylan Wu,75.11%,1068,1422,-326.00
30,0,29908,C.T. Pan,75.07%,527,702,-153.00
31,0,39324,J.J. Spaun,75.03%,1121,1494,-312.00
32,0,12716,Charley Hoffman,74.90%,782,1044,-226.00
33,0,34098,Russell Henley,74.89%,984,1314,-284.00
34,0,53165,Doc Redman,74.71%,901,1206,-221.00
35,0,47347,Adam Schenk,74.66%,1317,1764,-384.00
35,0,51890,Greyson Sigg,74.66%,1196,1602,-332.00
37,0,45157,Cam Davis,74.58%,1074,1440,-356.00
37,0,40250,Taylor Pendrith,74.58%,1074,1440,-307.00
39,0,36871,Matt NeSmith,74.47%,1126,1512,-309.00
40,0,46414,Aaron Rai,74.46%,1166,1566,-339.00
41,0,39971,Sungjae Im,74.44%,1139,1530,-403.00
41,0,34256,Andrew Putnam,74.44%,1206,1620,-303.00
43,0,30163,Henrik Norlander,74.43%,911,1224,-223.00
44,0,48867,Matti Schmid,74.36%,696,936,-239.00
45,0,46717,Viktor Hovland,74.29%,936,1260,-331.00
46,0,31577,Tano Goya,74.27%,869,1170,-254.00
47,0,40115,Adam Svensson,74.16%,1375,1854,-442.00
48,0,36724,Augusto Núñez,74.14%,774,1044,-201.00
49,0,32791,K.H. Lee,74.12%,1094,1476,-318.00
50,0,47988,Nick Hardy,74.09%,1187,1602,-355.00
51,0,49960,Sepp Straka,74.03%,1026,1386,-324.00
52,0,52513,Carson Young,73.93%,998,1350,-287.00
53,0,29535,Brice Garnett,73.90%,838,1134,-226.00
54,0,39067,MJ Daffue,73.87%,984,1332,-321.00
54,0,32102,Rickie Fowler,73.87%,1077,1458,-366.00
56,0,34563,Chesson Hadley,73.86%,1037,1404,-321.00
57,0,22056,Cameron Percy,73.83%,598,810,-145.00
58,0,46340,Alex Smalley,73.78%,1235,1674,-352.00
59,0,27644,Brian Harman,73.77%,1049,1422,-319.00
59,0,49771,J.T. Poston,73.77%,1142,1548,-362.00
61,0,48699,Callum Tarren,73.71%,1088,1476,-326.00
61,0,33448,Justin Thomas,73.71%,889,1206,-294.00
63,0,51997,Andrew Novak,73.69%,902,1224,-271.00
64,0,25686,Jason Dufner,73.67%,915,1242,-241.00
65,0,33141,Keegan Bradley,73.63%,888,1206,-310.00
66,0,57362,Austin Eckroat,73.61%,954,1296,-288.00
67,0,52453,Nicolai Hojgaard,73.53%,450,612,-154.00
68,0,23320,Ryan Palmer,73.42%,859,1170,-264.00
69,0,51414,Brent Grant,73.39%,753,1026,-198.00
69,0,48081,Xander Schauffele,73.39%,819,1116,-302.00
71,0,39954,Cody Gribble,73.33%,660,900,-181.00
72,0,35532,Tom Hoge,73.27%,1121,1530,-396.00
73,0,32816,Satoshi Kodaira,73.26%,567,774,-151.00
74,0,32448,James Hahn,73.19%,909,1242,-246.00
75,0,23108,Matt Kuchar,73.14%,1040,1422,-296.00
76,0,27936,Martin Laird,73.12%,895,1224,-250.00
77,0,47983,Chad Ramey,73.03%,1170,1602,-359.00
78,0,34255,Joseph Bramlett,72.96%,893,1224,-267.00
79,0,27974,Sung Kang,72.94%,407,558,-117.00
80,0,51766,Wyndham Clark,72.87%,1128,1548,-377.00
81,0,32839,Hideki Matsuyama,72.86%,918,1260,-299.00
82,0,40006,Erik van Rooyen,72.82%,734,1008,-227.00
83,0,36801,Mark Hubbard,72.78%,1166,1602,-360.00
84,0,33399,Adam Hadwin,72.70%,1060,1458,-332.00
85,0,32366,Kevin Chappell,72.69%,471,648,-129.00
86,0,26476,Chez Reavie,72.68%,1112,1530,-296.00
87,0,28089,Jason Day,72.66%,837,1152,-268.00
88,0,24502,Adam Scott,72.65%,680,936,-258.00
89,0,27963,Chris Stroud,72.49%,535,738,-140.00
