RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# HOLES,RELATIVE/PAR
1,0,39954,Cody Gribble,73.8%,31,42,-4.00
2,0,24140,Sean O'Hair,66.7%,14,21,-2.00
3,0,40115,Adam Svensson,66.3%,59,89,-11.00
4,0,28420,Ryan Brehm,65.5%,36,55,-7.00
5,0,48081,Xander Schauffele,65.2%,43,66,-9.00
6,0,36799,Stephan Jaeger,64.1%,59,92,-8.00
7,0,33408,Tyson Alexander,63.2%,43,68,-4.00
7,0,39335,Kevin Roy,63.2%,24,38,-4.00
9,0,24925,Jonathan Byrd,62.9%,22,35,-1.00
10,0,52955,Ludvig Åberg,62.5%,20,32,-4.00
10,0,22371,Aaron Baddeley,62.5%,30,48,-3.00
12,0,34363,Tyrrell Hatton,62.3%,43,69,-12.00
13,0,47993,Denny McCarthy,61.5%,48,78,-11.00
14,0,48084,Wesley Bryan,61.1%,11,18,-2.00
15,0,37275,Sam Ryder,61.0%,50,82,-12.00
16,0,55708,Hayden Buckley,60.3%,35,58,-3.00
17,0,20229,Stewart Cink,60.0%,36,60,-7.00
18,0,57366,Cameron Young,59.7%,37,62,-6.00
19,0,56630,Akshay Bhatia,59.6%,28,47,-9.00
20,0,34099,Harris English,59.2%,45,76,-10.00
21,0,34255,Joseph Bramlett,58.9%,33,56,-8.00
21,0,48117,Kurt Kitayama,58.9%,33,56,-3.00
23,0,47591,Eric Cole,58.5%,62,106,-15.00
23,0,29420,Billy Horschel,58.5%,31,53,-3.00
23,0,36871,Matt NeSmith,58.5%,31,53,-4.00
26,0,40250,Taylor Pendrith,58.3%,42,72,-6.00
26,0,46046,Scottie Scheffler,58.3%,28,48,-7.00
28,0,47128,Richy Werenski,58.0%,29,50,-12.00
29,0,25900,Lucas Glover,57.9%,33,57,-5.00
29,0,32139,Danny Willett,57.9%,33,57,-8.00
31,0,39067,MJ Daffue,57.8%,37,64,-2.00
31,0,35461,Beau Hossler,57.8%,52,90,-12.00
33,0,29725,Tony Finau,57.6%,38,66,-8.00
33,0,29908,C.T. Pan,57.6%,19,33,-3.00
33,0,47347,Adam Schenk,57.6%,57,99,-12.00
33,0,51890,Greyson Sigg,57.6%,53,92,-4.00
37,0,39324,J.J. Spaun,57.3%,43,75,+2.00
38,0,53165,Doc Redman,57.1%,32,56,E
39,0,33410,Andrew Landry,56.9%,29,51,-4.00
39,0,27349,Alex Noren,56.9%,37,65,-7.00
41,0,29289,S.Y. Noh,56.8%,25,44,-6.00
42,0,32448,James Hahn,56.6%,30,53,-6.00
42,0,28252,Seamus Power,56.6%,47,83,-11.00
44,0,49771,J.T. Poston,56.4%,44,78,-12.00
45,0,25493,Nick Taylor,56.3%,40,71,-5.00
46,0,32366,Kevin Chappell,56.0%,14,25,-3.00
46,0,23108,Matt Kuchar,56.0%,47,84,-5.00
48,0,34256,Andrew Putnam,55.7%,39,70,-5.00
49,0,40162,Justin Lower,55.1%,38,69,-10.00
50,0,31577,Tano Goya,55.0%,22,40,-4.00
50,0,46970,Jon Rahm,55.0%,33,60,-4.00
52,0,39975,Michael Kim,54.9%,39,71,-7.00
52,0,34610,Matthias Schwab,54.9%,39,71,-5.00
54,0,55182,Tom Kim,54.7%,29,53,-4.00
54,0,34431,Robert Streb,54.7%,29,53,E
56,0,46441,Robby Shelton,54.4%,37,68,-8.00
57,0,33413,Ben Martin,54.3%,38,70,-14.00
58,0,40006,Erik van Rooyen,54.2%,26,48,-1.00
58,0,48887,Matt Wallace,54.2%,26,48,-8.00
58,0,54783,Dylan Wu,54.2%,32,59,-6.00
61,0,57362,Austin Eckroat,54.1%,33,61,-8.00
61,0,34563,Chesson Hadley,54.1%,33,61,-5.00
61,0,36801,Mark Hubbard,54.1%,33,61,-4.00
64,0,51070,Vincent Norrman,54.0%,27,50,-2.00
64,0,32333,Kevin Tway,54.0%,47,87,E
66,0,52453,Nicolai Hojgaard,53.8%,14,26,-2.00
66,0,47995,Davis Riley,53.8%,43,80,-11.00
68,0,47983,Chad Ramey,53.7%,36,67,-1.00
69,0,36724,Augusto Núñez,53.5%,23,43,-2.00
70,0,48867,Matti Schmid,53.3%,16,30,-4.00
71,0,25686,Jason Dufner,53.1%,34,64,-2.00
71,0,50188,S.H. Kim,53.1%,51,96,-17.00
71,0,33204,Shane Lowry,53.1%,34,64,-5.00
74,0,23320,Ryan Palmer,52.9%,37,70,-3.00
75,0,49453,Trevor Cone,52.8%,19,36,-2.00
76,0,34466,Peter Malnati,52.7%,39,74,-6.00
76,0,50525,Collin Morikawa,52.7%,29,55,+1.00
76,0,26476,Chez Reavie,52.7%,39,74,-3.00
76,0,50493,Justin Suh,52.7%,39,74,-4.00
76,0,33448,Justin Thomas,52.7%,39,74,-6.00
81,0,54591,Ben Griffin,52.6%,40,76,-7.00
82,0,37338,Zecheng Dou,52.4%,33,63,-7.00
83,0,32791,K.H. Lee,52.2%,47,90,-8.00
84,0,32839,Hideki Matsuyama,51.9%,41,79,-13.00
84,0,30163,Henrik Norlander,51.9%,27,52,-6.00
86,0,36326,David Lipsky,51.4%,37,72,-9.00
86,0,45242,Kevin Yu,51.4%,18,35,-3.00
88,0,27644,Brian Harman,51.3%,41,80,-10.00
89,0,52375,Doug Ghim,51.0%,25,49,-6.00
90,0,51349,Nico Echavarria,50.9%,28,55,-9.00
90,0,30692,Scott Stallings,50.9%,27,53,-6.00
92,0,46442,Maverick McNealy,50.8%,30,59,-13.00
93,0,35449,Adam Long,50.6%,40,79,-12.00
93,0,55893,Sam Stevens,50.6%,41,81,-6.00
95,0,33141,Keegan Bradley,50.0%,37,74,-10.00
95,0,39997,Corey Conners,50.0%,38,76,-4.00
95,0,47079,Harrison Endycott,50.0%,31,62,-1.00
95,0,32102,Rickie Fowler,50.0%,39,78,-11.00
95,0,31646,Emiliano Grillo,50.0%,46,92,-4.00
95,0,33597,Harry Higgs,50.0%,30,60,-8.00
95,0,54628,Lee Hodges,50.0%,37,74,-10.00
95,0,39977,Max Homa,50.0%,40,80,-7.00
95,0,27974,Sung Kang,50.0%,9,18,-2.00
95,0,32757,Patton Kizzire,50.0%,32,64,-8.00
95,0,28775,Nate Lashley,50.0%,40,80,-7.00
95,0,49766,Hank Lebioda,50.0%,18,36,-1.00
95,0,32640,Troy Merritt,50.0%,35,70,-4.00
95,0,26596,Ryan Moore,50.0%,21,42,-7.00
95,0,51997,Andrew Novak,50.0%,32,64,-8.00
95,0,46414,Aaron Rai,50.0%,29,58,-3.00
95,0,52411,Kyle Westmoreland,50.0%,15,30,-5.00
112,0,34076,Joel Dahmen,49.3%,34,69,-4.00
113,0,48699,Callum Tarren,49.2%,31,63,-3.00
114,0,34098,Russell Henley,49.0%,25,51,-6.00
114,0,50095,Austin Smotherman,49.0%,25,51,-3.00
114,0,31323,Gary Woodland,49.0%,24,49,-5.00
117,0,55789,Taylor Montgomery,48.9%,43,88,-14.00
118,0,33948,Byeong Hun An,48.8%,40,82,-14.00
118,0,35310,Lanto Griffin,48.8%,21,43,-1.00
120,0,28237,Rory McIlroy,48.6%,18,37,-9.00
121,0,51414,Brent Grant,48.5%,16,33,-2.00
122,0,51766,Wyndham Clark,48.4%,30,62,-10.00
122,0,33399,Adam Hadwin,48.4%,31,64,-6.00
122,0,34046,Jordan Spieth,48.4%,31,64,-4.00
125,0,29970,Dylan Frittelli,48.3%,28,58,-10.00
126,0,45609,Tyler Duncan,48.2%,27,56,E
127,0,36699,Patrick Rodgers,47.9%,35,73,-2.00
127,0,58967,Trevor Werbylo,47.9%,23,48,-10.00
