RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS
1,0,20127,Chris Riley,27.79,806,29
2,0,06527,Steve Stricker,27.82,473,17
3,0,01378,David Frost,27.88,697,25
3,0,02257,Brian Watts,27.88,446,16
5,0,01329,Brad Faxon,27.91,642,23
6,0,20099,Doug Barron,27.95,587,21
7,0,01810,Phil Mickelson,28.05,589,21
8,0,20098,Stuart Appleby,28.23,734,26
8,0,01185,Brandel Chamblee,28.23,621,22
10,0,01927,Dennis Paulson,28.27,622,22
11,0,01761,Len Mattiace,28.28,820,29
12,0,01797,Rocco Mediate,28.29,481,17
13,0,08881,Tripp Isenhour,28.34,822,29
14,0,06090,Jim McGovern,28.35,567,20
15,0,21633,Steve Allan,28.37,851,30
16,0,01249,John Daly,28.39,653,23
17,0,21949,Joe Ogilvie,28.41,909,32
18,0,10201,Matt Gogel,28.42,682,24
18,0,01968,Nick Price,28.42,540,19
20,0,19846,Brian Gay,28.43,853,30
21,0,01175,Jim Carter,28.44,768,27
21,0,19972,José Coceres,28.44,455,16
21,0,01766,Billy Mayfair,28.44,768,27
24,0,01603,Jeff Julian,28.45,626,22
25,0,01666,Bernhard Langer,28.47,427,15
26,0,07547,Craig Kanada,28.48,769,27
26,0,02099,Scott Simpson,28.48,598,21
28,0,01577,Lee Janzen,28.50,798,28
29,0,12753,David Morland IV,28.52,770,27
29,0,08553,Lee Porter,28.52,827,29
31,0,12680,Shigeki Maruyama,28.54,685,24
32,0,20094,Jonathan Kaye,28.55,885,31
33,0,21209,Sergio Garcia,28.56,457,16
34,0,06251,Chris DiMarco,28.58,743,26
34,0,01381,Fred Funk,28.58,886,31
34,0,01887,Mark O'Meara,28.58,543,19
34,0,07749,Brett Quigley,28.58,543,19
38,0,02104,Jeff Sluman,28.62,830,29
39,0,01619,Skip Kendall,28.63,859,30
39,0,01941,Tom Pernice Jr.,28.63,916,32
41,0,02110,Jerry Smith,28.65,888,31
42,0,06078,Esteban Toledo,28.66,1003,35
43,0,24604,Hunter Haas,28.69,832,29
44,0,10860,Justin Leonard,28.70,775,27
44,0,12660,Jesper Parnevik,28.70,660,23
44,0,01945,Kenny Perry,28.70,660,23
47,0,01771,Blaine McCallister,28.71,804,28
48,0,10912,Craig Perks,28.72,833,29
49,0,08931,Glen Day,28.73,747,26
50,0,01203,Russ Cochran,28.75,575,20
50,0,02294,Willie Wood,28.75,460,16
52,0,01161,Mark Calcavecchia,28.76,604,21
52,0,01307,Joel Edwards,28.76,834,29
54,0,12645,Brent Geiberger,28.77,633,22
55,0,01599,Steve Jones,28.78,662,23
55,0,02010,Loren Roberts,28.78,662,23
57,0,01132,Mark Brooks,28.80,720,25
57,0,01920,Craig Parry,28.80,576,20
59,0,07003,David Berganio Jr.,28.81,605,21
60,0,01320,Bob Estes,28.83,663,23
60,0,01361,Dan Forsman,28.83,692,24
60,0,21805,Harrison Frazar,28.83,692,24
60,0,20043,Edward Fryatt,28.83,865,30
60,0,10425,Jay Williamson,28.83,865,30
65,0,01457,Jay Haas,28.85,577,20
66,0,11032,Frank Lickliter II,28.86,808,28
67,0,23125,Brad Elder,28.88,982,34
67,0,10213,Dicky Pride,28.88,722,25
69,0,12652,Cameron Beckman,28.93,810,28
69,0,01098,Jay Don Blake,28.93,839,29
71,0,07101,Dave Stockton Jr.,28.95,608,21
72,0,24357,K.J. Choi,28.96,811,28
72,0,19881,Robert Damron,28.96,753,26
72,0,20566,Kaname Yokoo,28.96,753,26
75,0,06522,Ernie Els,29.00,464,16
75,0,10963,Jimmy Green,29.00,928,32
75,0,01707,Steve Lowery,29.00,754,26
75,0,02214,Kirk Triplett,29.00,667,23
79,0,01139,Olin Browne,29.03,842,29
79,0,06012,Greg Kraft,29.03,900,31
81,0,01157,Tom Byrum,29.04,726,25
81,0,06643,Paul Goydos,29.04,813,28
81,0,10733,Kent Jones,29.04,813,28
81,0,06591,Rocky Walcher,29.04,755,26
85,0,01042,Paul Azinger,29.05,581,20
85,0,08993,Franklin Langham,29.05,581,20
87,0,06621,Joe Durant,29.08,698,24
88,0,02239,Scott Verplank,29.09,669,23
89,0,08545,Glen Hnatiuk,29.10,873,30
89,0,01723,Andrew Magee,29.10,873,30
91,0,09011,David Duval,29.11,524,18
91,0,01926,Steve Pate,29.11,786,27
93,0,01024,Billy Andrade,29.12,728,25
94,0,01219,John Cook,29.13,670,23
94,0,19817,Michael Muehr,29.13,903,31
96,0,01014,Fulton Allem,29.15,583,20
96,0,12760,Danny Ellis,29.15,787,27
98,0,06004,Stephen Ames,29.17,671,23
98,0,20593,Greg Chalmers,29.17,700,24
98,0,07457,Steve Flesch,29.17,846,29
98,0,10585,Scott McCarron,29.17,700,24
102,0,19824,Craig Barlow,29.18,642,22
102,0,01374,Robin Freeman,29.18,963,33
104,0,06595,Kevin Sutherland,29.19,788,27
105,0,21806,Paul Gow,29.20,730,25
106,0,08075,Jerry Kelly,29.21,847,29
107,0,06034,Marco Dawson,29.22,526,18
107,0,10809,Jim Furyk,29.22,672,23
107,0,12714,Chris Tidland,29.22,789,27
110,0,08537,J.P. Hayes,29.23,643,22
110,0,22122,Andrew McLardy,29.23,760,26
112,0,08063,Kelly Grunewald,29.24,731,25
113,0,01093,Ronnie Black,29.25,468,16
114,0,01823,Larry Mize,29.26,673,23
115,0,06514,Kevin Johnson,29.27,878,30
115,0,06140,Sean Murphy,29.27,761,26
117,0,21007,Gabriel Hjertstedt,29.28,849,29
118,0,20433,Mark Hensby,29.30,791,27
119,0,06036,Scott Dunlap,29.31,762,26
120,0,06617,Brian Henninger,29.32,821,28
121,0,01035,Tommy Armour III,29.33,880,30
121,0,20498,Briny Baird,29.33,880,30
121,0,08339,Spike McRoy,29.33,880,30
124,0,02218,Ted Tryba,29.34,939,32
125,0,10962,Bradley Hughes,29.35,910,31
125,0,10457,Frank Nobilo,29.35,763,26
125,0,01928,Corey Pavin,29.35,587,20
128,0,07867,Woody Austin,29.36,969,33
128,0,08375,Paul Stankowski,29.36,734,25
130,0,25083,Jeremy Anderson,29.38,764,26
130,0,02106,Chris Smith,29.38,852,29
132,0,01200,Keith Clearwater,29.39,676,23
132,0,06567,Vijay Singh,29.39,676,23
134,0,01418,Bill Glasson,29.40,735,25
134,0,12705,Cliff Kresge,29.40,882,30
136,0,01313,Steve Elkington,29.41,500,17
136,0,12782,Tim Herron,29.41,794,27
138,0,06315,Pete Jordan,29.42,971,33
138,0,02206,David Toms,29.42,706,24
140,0,23614,Rich Beem,29.45,854,29
140,0,06332,Neal Lancaster,29.45,913,31
140,0,10423,Mike Weir,29.45,648,22
143,0,11011,Mike Sposa,29.46,825,28
144,0,01706,Davis Love III,29.47,560,19
145,0,06809,Bob Burns,29.50,826,28
145,0,21584,Richie Coughlan,29.50,708,24
147,0,08123,Jeff Brehaut,29.52,738,25
147,0,01487,Jeff Hart,29.52,797,27
149,0,01553,John Huston,29.53,502,17
149,0,01685,J.L. Lewis,29.53,886,30
151,0,20229,Stewart Cink,29.54,768,26
151,0,22892,Jason Gore,29.54,827,28
151,0,01724,Jeff Maggert,29.54,768,26
151,0,06373,José María Olazábal,29.54,384,13
155,0,08057,Brian Wilson,29.55,857,29
156,0,01226,Fred Couples,29.56,532,18
156,0,12823,Carlos Franco,29.56,739,25
156,0,08793,Tiger Woods,29.56,532,18
159,0,01527,Scott Hoch,29.57,680,23
160,0,20436,Garrett Willis,29.58,917,31
161,0,01388,Robert Gamez,29.59,651,22
162,0,02245,Grant Waite,29.60,740,25
162,0,02279,Mark Wiebe,29.60,592,20
164,0,02101,Joey Sindelar,29.62,622,21
165,0,07763,Doug Dunakey,29.63,889,30
165,0,06515,Shaun Micheel,29.63,948,32
167,0,01475,Donnie Hammond,29.64,415,14
167,0,06350,Bob May,29.64,652,22
169,0,02002,John Riegger,29.65,682,23
169,0,02246,Duffy Waldorf,29.65,682,23
171,0,10649,Tom Scherrer,29.68,742,25
172,0,20095,Carl Paulson,29.69,861,29
173,0,10885,Robert Allenby,29.70,802,27
173,0,21961,Charles Howell III,29.70,683,23
173,0,08535,Gary Nicklaus,29.70,980,33
176,0,22046,Geoff Ogilvy,29.71,624,21
