RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL,DISTANCE RANK,ACCURACY RANK
1,0,21528,Henrik Stenson,55,43,12
2,0,34265,Will Wilcox,60,42,18
3,0,33141,Keegan Bradley,62,10,52
4,0,22405,Justin Rose,78,14,64
5,0,27436,Graham DeLaet,79,32,47
6,0,32334,Charlie Beljan,89,6,83
7,0,34098,Russell Henley,90,36,54
8,0,25364,Paul Casey,93,35,58
9,0,31557,Jim Herman,95,62,33
10,0,34264,Hudson Swafford,103,29,74
11,0,25900,Lucas Glover,104,38,66
12,0,37273,Derek Ernst,106,50,56
12,0,32839,Hideki Matsuyama,106,57,49
14,0,01706,Davis Love III,107,56,51
15,0,24502,Adam Scott,111,4,107
16,0,29518,Brendan Steele,113,16,97
16,0,27214,Kevin Streelman,113,93,20
18,0,40026,Daniel Berger,122,18,104
18,0,29420,Billy Horschel,122,53,69
20,0,22892,Jason Gore,123,87,36
20,0,29221,Webb Simpson,123,97,26
22,0,32102,Rickie Fowler,126,39,87
22,0,20645,John Senden,126,89,37
24,0,26331,Charl Schwartzel,127,24,103
25,0,26476,Chez Reavie,128,125,3
26,0,29223,Sam Saunders,130,68,62
27,0,32366,Kevin Chappell,132,67,65
27,0,33418,Shawn Stefani,132,44,88
29,0,30946,Alex Prugh,138,49,89
30,0,34409,David Lingmerth,139,93,46
31,0,35541,John Peterson,140,110,30
32,0,20396,Lee Westwood,144,25,119
33,0,28780,Nicholas Thompson,146,127,19
34,0,25686,Jason Dufner,148,121,27
34,0,21209,Sergio Garcia,148,25,123
34,0,29478,Kevin Kisner,148,114,34
34,0,26329,Louis Oosthuizen,148,31,117
38,0,33667,Carlos Ortiz,150,33,117
39,0,24140,Sean O'Hair,151,47,104
39,0,26289,Boo Weekley,151,76,75
41,0,33448,Justin Thomas,152,15,137
42,0,36689,Brooks Koepka,153,8,145
43,0,25198,Francesco Molinari,154,153,1
44,0,24924,Bill Haas,155,82,73
44,0,27466,Spencer Levin,155,139,16
44,0,27933,John Merrick,155,133,22
44,0,36699,Patrick Rodgers,155,9,146
44,0,25804,Bubba Watson,155,2,153
49,0,33399,Adam Hadwin,156,108,48
49,0,24024,Zach Johnson,156,148,8
51,0,27936,Martin Laird,157,22,135
52,0,34046,Jordan Spieth,158,78,80
53,0,26596,Ryan Moore,159,148,11
53,0,34431,Robert Streb,159,36,123
53,0,27095,Nick Watney,159,61,98
56,0,33413,Ben Martin,160,110,50
57,0,24925,Jonathan Byrd,162,117,45
58,0,33122,Russell Knox,164,136,28
58,0,23320,Ryan Palmer,164,13,151
60,0,28089,Jason Day,165,3,162
60,0,26300,Matt Jones,165,46,119
62,0,32448,James Hahn,166,50,116
62,0,30925,Dustin Johnson,166,1,165
62,0,30944,Jason Kokrak,166,11,155
65,0,25369,Jamie Donaldson,167,54,113
66,0,10809,Jim Furyk,168,151,17
66,0,27644,Brian Harman,168,113,55
66,0,26951,Johnson Wagner,168,82,86
69,0,34099,Harris English,169,33,136
69,0,25818,Scott Piercy,169,41,128
71,0,24358,Robert Garrigus,170,20,150
71,0,12716,Charley Hoffman,170,29,141
71,0,31323,Gary Woodland,170,12,158
74,0,12510,Chad Campbell,172,131,41
75,0,20771,Steven Alker,173,167,6
75,0,35545,Blayne Barber,173,103,70
75,0,33419,Cameron Tringale,173,152,21
78,0,23638,Brendon de Jonge,174,130,44
78,0,34174,John Huh,174,160,14
80,0,24507,Jason Bohn,176,171,5
81,0,24361,Pat Perez,178,135,43
82,0,29725,Tony Finau,179,7,172
82,0,08075,Jerry Kelly,179,170,9
84,0,27141,J.B. Holmes,180,5,175
84,0,30711,Colt Knost,180,173,7
84,0,23108,Matt Kuchar,180,104,76
87,0,24781,Hunter Mahan,181,50,131
87,0,34130,Sung Joon Park,181,139,42
89,0,23353,J.J. Henry,183,72,111
89,0,31202,William McGirt,183,158,25
89,0,01810,Phil Mickelson,183,22,161
89,0,20691,Greg Owen,183,62,121
93,0,30736,Oscar Fraustro,186,93,93
93,0,10860,Justin Leonard,186,182,4
93,0,23548,Bill Lunde,186,115,71
93,0,24490,George McNeill,186,126,60
93,0,22046,Geoff Ogilvy,186,64,122
93,0,30927,Brendon Todd,186,176,10
93,0,02206,David Toms,186,184,2
93,0,25892,Steve Wheatcroft,186,107,79
101,0,28500,Martin Flores,187,39,148
101,0,27064,Jhonattan Vegas,187,27,160
103,0,35451,Scott Pinckney,189,88,101
103,0,31560,Brian Stuard,189,174,15
105,0,29479,Scott Brown,190,108,82
105,0,33486,Roger Sloan,190,65,125
105,0,22293,Heath Slocum,190,177,13
108,0,20848,Ángel Cabrera,191,28,163
108,0,20104,Ken Duke,191,168,23
110,0,24138,Ian Poulter,193,121,72
111,0,25274,Steven Bowditch,194,18,176
112,0,21961,Charles Howell III,196,17,179
112,0,28486,Michael Putnam,196,101,95
114,0,29720,Andres Gonzales,197,57,140
115,0,25191,Gonzalo Fernandez-Castaño,198,98,100
116,0,22056,Cameron Percy,199,90,109
116,0,06567,Vijay Singh,199,85,114
116,0,23623,Bo Van Pelt,199,93,106
119,0,32200,Roberto Castro,200,160,40
119,0,23621,Rory Sabbatini,200,90,110
121,0,25632,Jimmy Walker,201,21,180
122,0,40058,Zac Blair,203,180,23
122,0,36801,Mark Hubbard,203,165,38
122,0,27963,Chris Stroud,203,146,57
125,0,23800,Bryce Molder,204,169,35
125,0,27649,Brandt Snedeker,204,105,99
127,0,29476,Kyle Reifers,206,112,94
128,0,28259,Sangmoon Bae,207,92,115
128,0,21753,Brian Davis,207,178,29
130,0,35532,Tom Hoge,208,74,134
130,0,29926,Danny Lee,208,145,63
132,0,20472,Alex Cejka,209,141,68
132,0,20229,Stewart Cink,209,65,144
134,0,34262,Jon Curran,211,179,32
134,0,25345,Carl Pettersson,211,81,130
136,0,32640,Troy Merritt,212,131,81
137,0,39977,Max Homa,213,59,154
138,0,23541,Ben Crane,214,183,31
138,0,26758,David Hearn,214,156,58
140,0,29535,Brice Garnett,215,119,96
140,0,33461,Morgan Hoffmann,215,45,170
140,0,21878,Mark Wilson,215,162,53
143,0,28023,Byron Smith,216,77,139
144,0,30926,Chris Kirk,218,128,90
145,0,29222,Billy Hurley III,220,181,39
145,0,30692,Scott Stallings,220,78,142
147,0,20157,Retief Goosen,222,71,151
147,0,26851,Marc Leishman,222,55,167
149,0,10885,Robert Allenby,225,147,78
149,0,25562,Andres Romero,225,47,178
151,0,27895,Jonas Blixt,228,116,112
152,0,06522,Ernie Els,229,80,149
152,0,34563,Chesson Hadley,229,82,147
152,0,25834,Daniel Summerhays,229,137,92
155,0,25493,Nick Taylor,231,72,159
156,0,25720,Chad Collins,232,166,66
156,0,24494,Erik Compton,232,105,127
158,0,24357,K.J. Choi,235,174,61
158,0,32150,Michael Thompson,235,98,137
160,0,20593,Greg Chalmers,239,154,85
160,0,29289,S.Y. Noh,239,70,169
162,0,34360,Patrick Reed,240,69,171
162,0,25349,Tim Wilkinson,240,163,77
164,0,25396,Kevin Na,243,159,84
165,0,22371,Aaron Baddeley,244,60,184
166,0,29425,Andrew Svoboda,245,119,126
167,0,28679,Fabián Gómez,246,144,102
168,0,27770,Camilo Villegas,247,74,173
169,0,34261,Scott Langley,248,157,91
170,0,30852,Ryo Ishikawa,256,100,156
171,0,37454,Whee Kim,258,150,108
172,0,28475,Jeff Overton,266,134,132
173,0,20766,Padraig Harrington,267,86,181
174,0,35539,Luke Guthrie,271,138,133
175,0,31416,Derek Fathauer,283,101,182
176,0,34358,Jonathan Randolph,284,118,166
176,0,31193,Jim Renner,284,141,143
178,0,23048,Eric Axley,288,124,164
179,0,23983,Luke Donald,301,172,129
180,0,28307,Matt Every,306,123,183
180,0,28132,Tyrone Van Aswegen,306,129,177
182,0,25240,D.A. Points,312,155,157
183,0,24846,Ricky Barnes,315,141,174
184,0,34256,Andrew Putnam,332,164,168
