RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG DTP,TOTAL DISTANCE (FEET),# OF SHOTS,SCRAMBLING RANK
1,0,10860,Justin Leonard,7' 5",646.917,87,38
2,0,21878,Mark Wilson,7' 6",685.083,91,115
3,0,10565,Ian Leggatt,7' 10",617.833,79,166
3,0,06567,Vijay Singh,7' 10",905.583,116,3
5,0,01132,Mark Brooks,7' 11",976.250,123,115
6,0,24357,K.J. Choi,8' 2",873.833,107,108
7,0,01475,Donnie Hammond,8' 3",928.333,112,72
7,0,20573,Scott Laycock,8' 3",711.667,86,60
7,0,10425,Jay Williamson,8' 3",1036.667,126,17
10,0,01706,Davis Love III,8' 4",517.000,62,71
10,0,01928,Corey Pavin,8' 4",832.917,100,4
10,0,22913,John Rollins,8' 4",701.500,84,119
13,0,01553,John Huston,8' 5",915.083,109,127
13,0,20572,Rod Pampling,8' 5",887.750,105,31
13,0,02010,Loren Roberts,8' 5",603.083,72,25
16,0,22371,Aaron Baddeley,8' 6",765.500,90,63
16,0,01381,Fred Funk,8' 6",1043.917,123,42
16,0,12680,Shigeki Maruyama,8' 6",756.167,89,58
16,0,02104,Jeff Sluman,8' 6",767.500,90,9
16,0,08793,Tiger Woods,8' 6",568.750,67,57
21,0,06522,Ernie Els,8' 7",504.583,59,55
21,0,01941,Tom Pernice Jr.,8' 7",908.250,106,28
23,0,19824,Craig Barlow,8' 8",1059.000,122,128
23,0,01810,Phil Mickelson,8' 8",777.083,90,151
25,0,06809,Bob Burns,8' 9",854.833,98,124
25,0,01577,Lee Janzen,8' 9",631.083,72,132
27,0,01320,Bob Estes,8' 10",665.000,75,82
27,0,01457,Jay Haas,8' 10",877.667,99,21
27,0,06595,Kevin Sutherland,8' 10",869.583,98,64
30,0,20628,Arron Oberholser,8' 11",892.667,100,1
30,0,20568,Anthony Painter,8' 11",1042.500,117,135
32,0,20229,Stewart Cink,9' 0",1055.833,117,8
32,0,06251,Chris DiMarco,9' 0",972.083,108,94
32,0,06617,Brian Henninger,9' 0",582.750,65,102
32,0,06581,David Sutherland,9' 0",800.667,89,161
32,0,10423,Mike Weir,9' 0",605.750,67,13
37,0,20771,Steven Alker,9' 1",971.917,107,51
37,0,20099,Doug Barron,9' 1",1141.667,126,67
37,0,24356,Jason Buha,9' 1",633.667,70,175
37,0,20645,John Senden,9' 1",1252.250,138,69
37,0,02206,David Toms,9' 1",781.250,86,53
42,0,20663,Brenden Pappas,9' 2",982.333,107,155
43,0,20098,Stuart Appleby,9' 3",872.000,94,24
43,0,20472,Alex Cejka,9' 3",888.083,96,110
43,0,20623,Gavin Coles,9' 3",719.167,78,76
43,0,07457,Steve Flesch,9' 3",1132.583,122,50
43,0,01378,David Frost,9' 3",1046.083,113,14
43,0,01761,Len Mattiace,9' 3",990.833,107,79
49,0,24925,Jonathan Byrd,9' 4",1013.083,109,93
49,0,23541,Ben Crane,9' 4",945.083,101,66
49,0,01249,John Daly,9' 4",625.917,67,187
49,0,10201,Matt Gogel,9' 4",933.250,100,49
49,0,22046,Geoff Ogilvy,9' 4",890.167,95,37
49,0,02002,John Riegger,9' 4",551.333,59,51
55,0,23135,Tim Clark,9' 5",900.000,96,105
55,0,12705,Cliff Kresge,9' 5",1068.667,113,82
55,0,01797,Rocco Mediate,9' 5",780.333,83,142
58,0,26420,Richard Johnson,9' 6",972.000,102,65
58,0,01677,Tom Lehman,9' 6",730.500,77,174
58,0,10107,Deane Pappas,9' 6",790.583,83,78
58,0,22548,Patrick Sheehan,9' 6",1170.500,123,19
58,0,20566,Kaname Yokoo,9' 6",637.500,67,188
63,0,20574,Mathew Goggin,9' 7",997.167,104,164
63,0,21806,Paul Gow,9' 7",687.833,72,43
63,0,26950,John Morgan,9' 7",1095.500,114,118
63,0,22295,Darron Stiles,9' 7",1101.500,115,109
63,0,02214,Kirk Triplett,9' 7",1120.333,117,14
68,0,12661,Todd Barranger,9' 8",940.750,97,180
68,0,20029,Notah Begay III,9' 8",1136.500,118,84
68,0,08633,Per-Ulrik Johansson,9' 8",1102.083,114,36
68,0,20940,Kenichi Kuboya,9' 8",1081.583,112,148
