RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,YEAR/TOURN#,ROUND,HOLE
1,0,08793,Tiger Woods,91' 8",WGC-Cadillac,2,4 - Par 3 -
2,0,28475,Jeff Overton,76' 10",Deutsche Bank,1,9 - Par 4 -
3,0,23320,Ryan Palmer,76' 6",HP Byron Nelson,1,4 - Par 4 -
4,0,32150,Michael Thompson,76' 1",Wells Fargo,4,17 - Par 3
5,0,24925,Jonathan Byrd,75' 11",Wells Fargo,1,18 - Par 4
6,0,25572,Graeme McDowell,74' 9",Arnold Palmer,1,6 - Par 5 -
7,0,20593,Greg Chalmers,74' 0",The McGladrey,2,6 - Par 3 -
8,0,20157,Retief Goosen,73' 3",Arnold Palmer,1,7 - Par 3 -
9,0,22913,John Rollins,72' 0",Crowne Plaza,4,9 - Par 4 -
10,0,30944,Jason Kokrak,71' 11",Deutsche Bank,3,3 - Par 3 -
11,0,23541,Ben Crane,71' 8",Shell Houston,1,2 - Par 4 -
12,0,23353,J.J. Henry,70' 10",Honda Classic,2,15 - Par 3
13,0,02239,Scott Verplank,70' 8",Phoenix Open,1,18 - Par 4
14,0,46031,Zachary Olsen,70' 6",Arnold Palmer,2,1 - Par 4 -
15,0,27644,Brian Harman,70' 6",Memorial Tourn,2,10 - Par 4
16,0,23135,Tim Clark,69' 9",Frys.com Open,2,5 - Par 4 -
17,0,22621,Ben Curtis,69' 3",Phoenix Open,4,8 - Par 4 -
18,0,21528,Henrik Stenson,69' 2",WGC-Bridgestone,3,13 - Par 4
19,0,31557,Jim Herman,68' 11",Wells Fargo,2,14 - Par 4
20,0,27064,Jhonattan Vegas,68' 9",Phoenix Open,2,7 - Par 3 -
21,0,21731,Freddie Jacobson,68' 6",Frys.com Open,2,13 - Par 4
22,0,27141,J.B. Holmes,68' 3",PGA Championshi,2,2 - Par 4 -
23,0,25834,Daniel Summerhays,67' 10",Shriners Hosp.,3,13 - Par 5
24,0,29479,Scott Brown,67' 9",Wells Fargo,4,4 - Par 4 -
25,0,01766,Billy Mayfair,67' 9",John Deere Clas,1,17 - Par 5
26,0,20229,Stewart Cink,66' 7",Humana,4,6 - Par 5 -
27,0,12652,Cameron Beckman,66' 7",Texas Open,3,13 - Par 3
28,0,34099,Harris English,66' 4",The McGladrey,4,3 - Par 3 -
29,0,20098,Stuart Appleby,66' 2",Sony Open,1,1 - Par 4 -
30,0,24846,Ricky Barnes,65' 8",Wyndham Champ,3,15 - Par 5
31,0,23409,James Driscoll,65' 5",Frys.com Open,2,14 - Par 4
32,0,24138,Ian Poulter,65' 0",Deutsche Bank,1,8 - Par 3 -
33,0,10809,Jim Furyk,64' 11",Texas Open,4,7 - Par 3 -
34,0,33968,Thorbjørn Olesen,64' 10",Travelers Champ,1,18 - Par 4
35,0,32333,Kevin Tway,64' 8",St. Jude,1,5 - Par 4 -
36,0,34021,Bud Cauley,64' 7",Zurich Classic,1,16 - Par 4
37,0,29535,Brice Garnett,64' 2",Frys.com Open,1,8 - Par 4 -
38,0,01249,John Daly,63' 10",PGA Championshi,2,6 - Par 4 -
39,0,02206,David Toms,63' 7",Shriners Hosp.,4,16 - Par 5
40,0,33418,Shawn Stefani,63' 7",Shell Houston,3,8 - Par 5 -
41,0,26758,David Hearn,63' 5",Canadian Open,2,18 - Par 4
44,0,10885,Robert Allenby,62' 8",Phoenix Open,1,9 - Par 4 -
45,0,34360,Patrick Reed,62' 6",Hyundai T of C,2,5 - Par 5 -
46,0,27466,Spencer Levin,62' 6",Quicken Loans,2,12 - Par 4
47,0,30926,Chris Kirk,62' 6",The Greenbrier,4,3 - Par 3 -
49,0,25396,Kevin Na,61' 9",Wells Fargo,3,16 - Par 4
50,0,34265,Will Wilcox,61' 8",Humana,3,5 - Par 3 -
51,0,29461,Jamie Lovemark,61' 1",HP Byron Nelson,2,8 - Par 4 -
52,0,23638,Brendon de Jonge,60' 11",Texas Open,3,4 - Par 4 -
53,0,06522,Ernie Els,60' 10",Wells Fargo,1,6 - Par 3 -
54,0,20104,Ken Duke,60' 10",THE PLAYERS,1,5 - Par 4 -
55,0,29939,Fabrizio Zanotti,60' 10",WGC-Bridgestone,1,7 - Par 3 -
56,0,22405,Justin Rose,60' 10",BMW Champ,2,8 - Par 3 -
57,0,24912,Will MacKenzie,60' 7",The Barclays,1,10 - Par 3
61,0,31289,Benjamín Alvarado,60' 4",The Greenbrier,2,8 - Par 3 -
62,0,35139,Richard Lee,59' 9",Crowne Plaza,1,5 - Par 4 -
