RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 300+,TOTAL DRVS - OVERALL,RELATIVE TO PAR
1,0,25804,Bubba Watson,78.24,133,170,-0.26
2,0,27141,J.B. Holmes,67.12,98,146,-0.29
3,0,24358,Robert Garrigus,66.48,117,176,-0.21
4,0,30925,Dustin Johnson,63.64,112,176,-0.21
5,0,21633,Steve Allan,57.00,57,100,-0.05
6,0,25364,Paul Casey,56.94,41,72,-0.17
7,0,27095,Nick Watney,56.82,100,176,-0.25
8,0,23497,Tag Ridings,55.68,98,176,-0.22
9,0,29718,Anthony Kim,55.07,76,138,-0.26
10,0,12716,Charley Hoffman,54.89,101,184,-0.18
11,0,01706,Davis Love III,52.21,71,136,-0.14
12,0,24502,Adam Scott,51.43,36,70,-0.31
13,0,23349,Charles Warren,50.63,80,158,-0.31
14,0,20848,Ángel Cabrera,50.00,39,78,-0.18
15,0,06573,Brandt Jobe,48.96,47,96,-0.13
16,0,25594,Travis Perkins,48.94,46,94,E
17,0,27933,John Merrick,48.78,80,164,-0.26
18,0,20766,Padraig Harrington,48.53,33,68,-0.36
19,0,25562,Andres Romero,48.04,49,102,-0.18
20,0,22892,Jason Gore,47.28,87,184,-0.31
21,0,30750,Tommy Gainey,47.12,49,104,-0.06
22,0,28475,Jeff Overton,46.32,88,190,-0.22
23,0,25900,Lucas Glover,45.98,80,174,-0.30
24,0,28089,Jason Day,45.68,74,162,-0.20
25,0,23540,Jason Allred,45.61,52,114,-0.08
26,0,23409,James Driscoll,44.94,71,158,-0.31
27,0,20850,Daniel Chopra,44.67,67,150,-0.27
28,0,01226,Fred Couples,44.64,50,112,-0.24
29,0,24924,Bill Haas,44.21,84,190,-0.35
30,0,27936,Martin Laird,44.02,81,184,-0.22
31,0,06567,Vijay Singh,43.94,58,132,-0.34
32,0,20229,Stewart Cink,42.75,59,138,-0.22
33,0,23157,Richard Johnson,42.67,64,150,-0.25
34,0,21961,Charles Howell III,42.13,75,178,-0.27
35,0,21805,Harrison Frazar,41.54,54,130,-0.15
36,0,01810,Phil Mickelson,41.13,51,124,-0.39
37,0,25632,Jimmy Walker,40.77,53,130,-0.25
38,0,26300,Matt Jones,40.66,74,182,-0.28
39,0,27770,Camilo Villegas,40.63,52,128,-0.33
40,0,20378,Mathias Grönberg,40.36,67,166,E
40,0,25842,Jon Mills,40.36,67,166,-0.28
42,0,24361,Pat Perez,40.24,66,164,-0.23
43,0,27120,Troy Matteson,39.36,74,188,-0.08
44,0,24490,George McNeill,38.95,74,190,-0.36
45,0,23320,Ryan Palmer,38.89,49,126,-0.16
46,0,28780,Nicholas Thompson,38.35,79,206,-0.16
47,0,28158,Steve Marino,38.07,83,218,-0.13
48,0,01945,Kenny Perry,38.02,73,192,-0.34
49,0,22378,Trevor Immelman,37.96,41,108,-0.27
50,0,23621,Rory Sabbatini,37.50,48,128,-0.38
50,0,27214,Kevin Streelman,37.50,78,208,-0.19
52,0,21959,Ted Purdy,37.10,46,124,-0.13
53,0,20574,Mathew Goggin,36.78,64,174,-0.31
54,0,21209,Sergio Garcia,35.71,40,112,-0.23
55,0,10875,Todd Demsey,35.26,55,156,-0.16
56,0,12782,Tim Herron,34.95,65,186,-0.12
57,0,26289,Boo Weekley,34.78,48,138,-0.33
58,0,20433,Mark Hensby,34.51,49,142,-0.18
59,0,02002,John Riegger,34.33,46,134,-0.20
60,0,24781,Hunter Mahan,34.00,51,150,-0.37
61,0,01553,John Huston,33.65,35,104,-0.14
62,0,01707,Steve Lowery,33.57,47,140,-0.30
63,0,23623,Bo Van Pelt,33.51,65,194,-0.05
64,0,24140,Sean O'Hair,33.33,46,138,+0.02
64,0,20663,Brenden Pappas,33.33,40,120,-0.20
66,0,26695,Michael Letzig,32.50,52,160,-0.27
67,0,06595,Kevin Sutherland,32.45,61,188,-0.23
68,0,20098,Stuart Appleby,32.35,44,136,-0.20
69,0,26679,Kevin Stadler,32.05,50,156,-0.18
70,0,23778,Brad Adamonis,31.93,53,166,-0.25
71,0,26596,Ryan Moore,31.43,44,140,-0.32
72,0,27561,Nick Flanagan,31.18,53,170,-0.23
73,0,23353,J.J. Henry,31.13,66,212,-0.23
74,0,24357,K.J. Choi,31.03,36,116,-0.36
75,0,06522,Ernie Els,30.56,22,72,-0.18
76,0,23788,D.J. Trahan,30.36,51,168,-0.27
77,0,09011,David Duval,29.79,28,94,-0.14
78,0,22913,John Rollins,29.76,50,168,-0.20
79,0,10885,Robert Allenby,29.67,54,182,+0.06
80,0,12510,Chad Campbell,29.55,52,176,-0.25
80,0,26500,Alejandro Cañizares,29.55,26,88,-0.08
82,0,22371,Aaron Baddeley,29.51,36,122,-0.17
83,0,21949,Joe Ogilvie,29.35,54,184,-0.28
84,0,12309,Bob Sowards,29.09,32,110,-0.19
85,0,22046,Geoff Ogilvy,29.00,29,100,-0.34
86,0,23125,Brad Elder,28.69,35,122,-0.26
87,0,23048,Eric Axley,28.57,60,210,-0.12
88,0,26631,Cody Freeman,28.23,35,124,-0.20
89,0,24663,Y.E. Yang,28.16,49,174,-0.24
90,0,23325,Vaughn Taylor,27.27,54,198,-0.04
91,0,10649,Tom Scherrer,27.00,27,100,-0.41
92,0,23541,Ben Crane,26.88,43,160,-0.40
92,0,12660,Jesper Parnevik,26.88,43,160,-0.33
94,0,23614,Rich Beem,26.79,45,168,-0.09
94,0,06621,Joe Durant,26.79,45,168,-0.36
96,0,01035,Tommy Armour III,26.76,38,142,-0.13
97,0,21461,Kenneth Ferrie,26.56,34,128,-0.21
98,0,20572,Rod Pampling,26.39,38,144,-0.24
99,0,20160,Charlie Wi,26.34,49,186,-0.22
100,0,12823,Carlos Franco,26.12,35,134,-0.57
101,0,22582,Kyle Thompson,25.78,33,128,-0.21
102,0,24449,Parker McLachlin,25.61,42,164,-0.40
103,0,20645,John Senden,25.00,43,172,-0.09
104,0,27613,David Lutterus,24.76,26,105,+0.08
105,0,20498,Briny Baird,24.75,50,202,-0.36
106,0,23718,Nathan Green,24.21,46,190,-0.20
107,0,01161,Mark Calcavecchia,24.14,28,116,-0.21
108,0,19803,Ryan Armour,24.10,40,166,-0.33
109,0,01388,Robert Gamez,24.03,37,154,E
110,0,27963,Chris Stroud,23.97,35,146,-0.23
111,0,20105,Jeff Gove,23.91,22,92,+0.14
112,0,20472,Alex Cejka,23.88,32,134,-0.38
113,0,08845,Scott Sterling,23.46,38,162,-0.37
114,0,22621,Ben Curtis,23.44,30,128,-0.23
115,0,10423,Mike Weir,23.24,33,142,-0.03
116,0,20104,Ken Duke,23.21,52,224,-0.27
117,0,08537,J.P. Hayes,23.13,31,134,-0.23
118,0,07749,Brett Quigley,22.97,34,148,-0.12
119,0,26668,Marc Turnesa,22.89,38,166,-0.21
120,0,23797,Brett Rumford,22.79,31,136,-0.32
121,0,24925,Jonathan Byrd,22.78,36,158,-0.31
122,0,20157,Retief Goosen,22.62,19,84,-0.16
123,0,24912,Will MacKenzie,22.58,28,124,-0.46
124,0,25345,Carl Pettersson,22.55,46,204,-0.20
125,0,21878,Mark Wilson,22.43,48,214,-0.33
126,0,06197,Michael Allen,22.35,38,170,-0.13
127,0,02206,David Toms,22.32,25,112,-0.56
128,0,26951,Johnson Wagner,22.30,33,148,-0.27
129,0,01724,Jeff Maggert,22.09,38,172,-0.13
130,0,06004,Stephen Ames,22.06,30,136,-0.50
131,0,01473,Todd Hamilton,21.79,34,156,-0.06
132,0,27649,Brandt Snedeker,21.43,30,140,-0.07
133,0,20634,Peter Lonard,21.34,35,164,-0.31
134,0,10585,Scott McCarron,21.31,26,122,-0.23
135,0,24138,Ian Poulter,20.83,15,72,-0.13
136,0,06527,Steve Stricker,20.69,24,116,-0.33
137,0,11032,Frank Lickliter II,20.56,44,214,-0.30
138,0,06034,Marco Dawson,20.54,23,112,-0.26
139,0,22806,Doug LaBelle II,20.37,22,108,-0.14
140,0,10425,Jay Williamson,20.24,34,168,-0.24
141,0,26420,Richard Johnson,20.19,21,104,-0.33
142,0,10733,Kent Jones,20.16,25,124,-0.48
143,0,01948,Tim Petrovic,20.11,35,174,-0.46
144,0,22548,Patrick Sheehan,19.64,44,224,-0.23
145,0,12652,Cameron Beckman,19.62,31,158,-0.26
146,0,06090,Jim McGovern,19.57,27,138,-0.33
147,0,01024,Billy Andrade,19.40,26,134,-0.15
148,0,24227,Justin Bolli,19.38,31,160,-0.19
149,0,21731,Freddie Jacobson,19.12,26,136,-0.19
150,0,07457,Steve Flesch,18.82,32,170,-0.31
151,0,01320,Bob Estes,18.75,33,176,-0.21
151,0,21350,Ryuji Imada,18.75,27,144,-0.11
153,0,01766,Billy Mayfair,18.69,37,198,-0.14
154,0,20127,Chris Riley,18.60,16,86,E
155,0,25396,Kevin Na,18.04,35,194,-0.40
156,0,10860,Justin Leonard,17.72,28,158,-0.36
157,0,02239,Scott Verplank,17.39,24,138,-0.29
158,0,07867,Woody Austin,17.20,32,186,-0.47
159,0,26476,Chez Reavie,17.02,32,188,-0.28
160,0,27060,John Mallinger,16.67,29,174,-0.07
160,0,22293,Heath Slocum,16.67,30,180,-0.20
162,0,23135,Tim Clark,16.23,25,154,-0.24
163,0,25349,Tim Wilkinson,15.52,27,174,-0.15
164,0,01941,Tom Pernice Jr.,15.20,31,204,-0.35
165,0,25720,Chad Collins,15.15,20,132,+0.15
166,0,01313,Steve Elkington,15.00,24,160,-0.50
167,0,01577,Lee Janzen,14.81,24,162,-0.08
168,0,19913,Ron Whittaker,14.58,14,96,-0.71
169,0,02223,Bob Tway,14.52,18,124,-0.06
170,0,23108,Matt Kuchar,14.47,22,152,-0.50
171,0,08385,Omar Uresti,14.29,20,140,-0.05
172,0,12705,Cliff Kresge,14.10,22,156,-0.09
173,0,25190,Jeff Quinney,13.92,22,158,-0.23
174,0,21753,Brian Davis,13.89,30,216,-0.13
175,0,08075,Jerry Kelly,13.82,21,152,-0.29
176,0,12602,Dean Wilson,13.64,27,198,-0.19
177,0,10505,Shane Bertsch,13.54,26,192,-0.19
178,0,10809,Jim Furyk,13.46,21,156,-0.14
179,0,01677,Tom Lehman,13.41,11,82,-0.09
180,0,01142,Bart Bryant,13.38,19,142,-0.21
181,0,12680,Shigeki Maruyama,13.33,12,90,-0.25
182,0,08931,Glen Day,12.93,15,116,-0.13
183,0,20443,Jin Park,12.34,19,154,-0.42
184,0,01797,Rocco Mediate,12.00,18,150,-0.33
185,0,06575,Dudley Hart,11.43,16,140,-0.50
186,0,12826,Paul Claxton,11.40,13,114,+0.15
187,0,24024,Zach Johnson,11.11,16,144,-0.25
188,0,22348,Nick O'Hern,10.42,15,144,-0.27
189,0,06012,Greg Kraft,10.38,11,106,-0.27
190,0,06251,Chris DiMarco,10.24,17,166,-0.47
191,0,07547,Craig Kanada,10.17,12,118,-0.67
192,0,06643,Paul Goydos,9.72,14,144,-0.36
193,0,19846,Brian Gay,9.44,17,180,E
194,0,20382,Stephen Leaney,8.16,8,98,+0.13
195,0,01139,Olin Browne,8.00,12,150,E
196,0,20623,Gavin Coles,4.35,4,92,-0.25
197,0,01928,Corey Pavin,4.10,5,122,E
