RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,TOURNAMENT,ROUND,HOLE,COURSE
1,0,10117,Bob Heintz,435,Reno-Tahoe Open,1,10,660
2,0,01685,J.L. Lewis,429,Texas Open,4,11,625
3,0,28158,Steve Marino,424,Texas Open,4,11,625
4,0,21350,Ryuji Imada,414,Buick Invitatio,4,14,004
5,0,24361,Pat Perez,412,Texas Open,4,11,625
6,0,28089,Jason Day,407,Texas Open,1,11,625
7,0,30925,Dustin Johnson,405,Texas Open,1,11,625
10,0,23349,Charles Warren,402,Reno-Tahoe Open,3,9,660
11,0,24358,Robert Garrigus,400,Texas Open,1,11,625
13,0,01706,Davis Love III,399,Texas Open,1,11,625
13,0,23497,Tag Ridings,399,Texas Open,3,1,625
13,0,26679,Kevin Stadler,399,Texas Open,1,11,625
13,0,32150,Michael Thompson,399,Texas Open,3,11,625
17,0,23621,Rory Sabbatini,398,Mercedes-Benz,4,17,656
19,0,21633,Steve Allan,397,Texas Open,4,11,625
19,0,27936,Martin Laird,397,Texas Open,4,11,625
19,0,24140,Sean O'Hair,397,Texas Open,4,11,625
19,0,27095,Nick Watney,397,Texas Open,3,11,625
24,0,23048,Eric Axley,396,Texas Open,2,11,625
26,0,20850,Daniel Chopra,395,Mercedes-Benz,3,17,656
26,0,28780,Nicholas Thompson,395,Texas Open,4,11,625
26,0,27064,Jhonattan Vegas,395,Texas Open,4,11,625
32,0,21959,Ted Purdy,394,Texas Open,1,11,625
32,0,25804,Bubba Watson,394,Crowne Plaza,2,7,021
34,0,21805,Harrison Frazar,393,Texas Open,4,1,625
34,0,02214,Kirk Triplett,393,Reno-Tahoe Open,1,10,660
37,0,20848,Ángel Cabrera,392,Mercedes-Benz,3,18,656
37,0,20472,Alex Cejka,392,Reno-Tahoe Open,1,10,660
37,0,30750,Tommy Gainey,392,Texas Open,2,11,625
37,0,21961,Charles Howell III,392,Texas Open,4,11,625
37,0,27214,Kevin Streelman,392,Texas Open,4,11,625
43,0,24227,Justin Bolli,391,Wyndham Champ.,1,5,752
43,0,32366,Kevin Chappell,391,Texas Open,1,11,625
43,0,27141,J.B. Holmes,391,WGC-Bridgestone,3,14,036
43,0,25842,Jon Mills,391,Texas Open,2,11,625
50,0,22913,John Rollins,390,WGC-CA Champ,3,7,008
50,0,26289,Boo Weekley,390,Mercedes-Benz,4,12,656
54,0,01313,Steve Elkington,389,Texas Open,4,11,625
54,0,12716,Charley Hoffman,389,Texas Open,2,11,625
59,0,02239,Scott Verplank,388,Texas Open,3,11,625
64,0,22548,Patrick Sheehan,387,Reno-Tahoe Open,1,10,660
71,0,06004,Stephen Ames,385,Mercedes-Benz,4,17,656
71,0,12510,Chad Campbell,385,Mercedes-Benz,4,17,656
71,0,28475,Jeff Overton,385,Reno-Tahoe Open,3,9,660
71,0,27963,Chris Stroud,385,Texas Open,1,11,625
