RANK,MOVEMENT,PLAYER_ID,PLAYER,%,OFFICIAL MONEY WON,TOTAL PURSE AVAILABLE
1,0,09011,David Duval,4.73,2591029,54734676
2,0,20869,Raymond Russell,4.46,126116,2824876
3,0,01226,Fred Couples,3.82,1650387,43234676
4,0,01887,Mark O'Meara,3.79,1786698,47134676
5,0,08793,Tiger Woods,3.77,1841116,48834676
6,0,06567,Vijay Singh,3.72,2238995,60134676
7,0,02257,Brian Watts,3.45,335735,9734676
8,0,10809,Jim Furyk,3.20,2054332,64284676
9,0,01810,Phil Mickelson,3.16,1837244,58134676
10,0,01706,Davis Love III,3.14,1541151,49134676
11,0,02170,Hal Sutton,2.90,1838737,63409800
12,0,20396,Lee Westwood,2.83,599585,21184676
13,0,01553,John Huston,2.65,1544107,58234676
13,0,12660,Jesper Parnevik,2.65,1290820,48734676
15,0,06527,Steve Stricker,2.64,1313945,49784676
16,0,10860,Justin Leonard,2.59,1671818,64634676
17,0,02256,Tom Watson,2.54,976583,38484676
18,0,02146,Payne Stewart,2.40,1193994,49684676
19,0,01968,Nick Price,2.28,1019402,44634676
20,0,06014,Eric Booker,2.22,84288,3800000
21,0,01161,Mark Calcavecchia,2.18,1368551,62634676
22,0,08931,Glen Day,2.14,1283413,60084676
23,0,06522,Ernie Els,2.12,763782,36034676
24,0,01766,Billy Mayfair,2.05,1281682,62434676
25,0,01577,Lee Janzen,2.04,1155312,56734676
26,0,01527,Scott Hoch,2.03,1237050,60834676
26,0,02239,Scott Verplank,2.03,1223434,60409800
28,0,01313,Steve Elkington,2.01,695774,34684676
29,0,01219,John Cook,1.93,1145510,59309800
30,0,01677,Tom Lehman,1.90,1033672,54384676
31,0,01724,Jeff Maggert,1.76,992962,56284676
32,0,02104,Jeff Sluman,1.74,1148373,65809800
33,0,01118,Gordon Brand Jr.,1.69,47705,2824876
34,0,02223,Bob Tway,1.68,1073443,64084676
35,0,01381,Fred Funk,1.65,1121985,67959800
36,0,07137,Ashley Chinner,1.61,35444,2200000
36,0,01690,Bruce Lietzke,1.61,377188,23400000
38,0,01320,Bob Estes,1.53,987927,64484676
39,0,08635,Colin Montgomerie,1.50,321823,21484676
40,0,07267,Allen Doyle,1.46,39315,2700000
41,0,01418,Bill Glasson,1.44,353222,24509800
41,0,01599,Steve Jones,1.44,741540,51524876
41,0,01723,Andrew Magee,1.44,964300,66784676
41,0,01926,Steve Pate,1.44,782502,54259800
45,0,01185,Brandel Chamblee,1.43,755935,52750000
46,0,20098,Stuart Appleby,1.40,717961,51334676
47,0,12546,Peter Baker,1.38,38904,2824876
47,0,11246,Des Smyth,1.38,38904,2824876
49,0,20229,Stewart Cink,1.35,833643,61584676
50,0,07457,Steve Flesch,1.32,777182,58809800
51,0,06621,Joe Durant,1.26,651800,51934676
51,0,01619,Skip Kendall,1.26,796561,63434676
53,0,08547,John Maginnes,1.25,172163,13800000
54,0,08537,J.P. Hayes,1.24,555270,44634676
55,0,01282,Trevor Dodds,1.23,791337,64134676
56,0,01116,Michael Bradley,1.21,576500,47450000
57,0,01042,Paul Azinger,1.16,568231,49184676
58,0,06573,Brandt Jobe,1.15,114284,9934676
59,0,02206,David Toms,1.14,635071,55609800
60,0,01943,Chris Perry,1.12,730169,64909800
61,0,01024,Billy Andrade,1.10,705433,64159800
62,0,06373,José María Olazábal,1.09,208484,19184676
63,0,06004,Stephen Ames,1.07,357857,33424876
63,0,10944,Thomas Bjørn,1.07,92838,8684676
