RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# SAVES,# BUNKERS,TOTAL O/U PAR
1,0,08993,Franklin Langham,68.93,71,103,+25.00
2,0,02239,Scott Verplank,66.19,92,139,+18.00
3,0,01329,Brad Faxon,64.90,98,151,+36.00
4,0,01968,Nick Price,64.81,70,108,+15.00
5,0,19972,José Coceres,63.73,65,102,+17.00
6,0,06595,Kevin Sutherland,63.04,87,138,+20.00
7,0,10585,Scott McCarron,62.12,82,132,+20.00
8,0,20043,Edward Fryatt,61.84,94,152,+39.00
9,0,01093,Ronnie Black,61.29,57,93,+18.00
10,0,06522,Ernie Els,60.64,57,94,+23.00
11,0,01766,Billy Mayfair,60.61,100,165,+38.00
12,0,21806,Paul Gow,60.55,66,109,+19.00
13,0,06809,Bob Burns,60.45,81,134,+37.00
14,0,06350,Bob May,60.28,85,141,+29.00
15,0,02104,Jeff Sluman,60.22,112,186,+29.00
16,0,01185,Brandel Chamblee,60.14,83,138,+34.00
17,0,06251,Chris DiMarco,59.60,90,151,+44.00
18,0,01761,Len Mattiace,59.47,113,190,+54.00
19,0,01797,Rocco Mediate,59.46,66,111,+26.00
20,0,01927,Dennis Paulson,59.09,65,110,+27.00
21,0,12680,Shigeki Maruyama,58.82,90,153,+39.00
22,0,10423,Mike Weir,58.71,91,155,+43.00
23,0,02214,Kirk Triplett,58.52,79,135,+37.00
24,0,06567,Vijay Singh,58.33,91,156,+22.00
25,0,07547,Craig Kanada,58.00,87,150,+45.00
26,0,01361,Dan Forsman,57.52,65,113,+25.00
27,0,10425,Jay Williamson,57.04,77,135,+34.00
28,0,01313,Steve Elkington,57.01,61,107,+25.00
29,0,02257,Brian Watts,57.00,57,100,+28.00
30,0,01320,Bob Estes,56.95,86,151,+38.00
31,0,20593,Greg Chalmers,56.76,84,148,+33.00
31,0,21209,Sergio Garcia,56.76,63,111,+23.00
33,0,01042,Paul Azinger,56.69,72,127,+41.00
34,0,06575,Dudley Hart,56.38,53,94,+23.00
35,0,01619,Skip Kendall,56.36,133,236,+57.00
36,0,19824,Craig Barlow,56.35,71,126,+46.00
37,0,02294,Willie Wood,56.25,45,80,+25.00
38,0,01487,Jeff Hart,56.20,68,121,+33.00
39,0,19881,Robert Damron,56.19,109,194,+48.00
40,0,01527,Scott Hoch,56.12,78,139,+36.00
41,0,06527,Steve Stricker,55.96,61,109,+27.00
42,0,01887,Mark O'Meara,55.86,62,111,+27.00
43,0,10912,Craig Perks,55.80,77,138,+30.00
43,0,08553,Lee Porter,55.80,77,138,+44.00
45,0,01706,Davis Love III,55.79,53,95,+25.00
46,0,20099,Doug Barron,55.77,58,104,+37.00
