RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,0,28237,Rory McIlroy,2.551,145.379,121.159,24.221,57
2,0,35450,Patrick Cantlay,1.857,105.858,83.833,22.027,57
3,0,24502,Adam Scott,1.831,80.569,65.250,15.321,44
4,0,33448,Justin Thomas,1.631,91.314,101.736,-10.419,56
5,0,29221,Webb Simpson,1.507,104.007,62.051,41.957,69
6,0,46970,Jon Rahm,1.505,79.788,61.994,17.793,53
7,0,32839,Hideki Matsuyama,1.498,109.340,108.527,.811,73
8,0,48081,Xander Schauffele,1.393,73.836,60.887,12.949,53
9,0,36689,Brooks Koepka,1.366,79.205,66.101,13.106,58
10,0,25364,Paul Casey,1.361,74.878,79.936,-5.058,55
11,0,30925,Dustin Johnson,1.321,73.995,68.619,5.378,56
12,0,30911,Tommy Fleetwood,1.279,63.931,55.490,8.441,50
13,0,22405,Justin Rose,1.243,60.908,36.224,24.682,49
14,0,32102,Rickie Fowler,1.066,67.135,33.069,34.066,63
15,0,23108,Matt Kuchar,1.062,70.085,50.164,19.924,66
16,0,30944,Jason Kokrak,1.036,77.699,79.031,-1.332,75
17,0,39971,Sungjae Im,1.023,102.314,70.049,32.264,100
18,0,47959,Bryson DeChambeau,1.013,66.839,42.276,24.564,66
19,0,25900,Lucas Glover,.976,79.091,65.769,13.324,81
20,0,21528,Henrik Stenson,.971,40.800,36.358,4.442,42
21,0,27649,Brandt Snedeker,.962,76.931,29.600,47.330,80
22,0,10809,Jim Furyk,.897,51.114,44.668,6.449,57
23,0,40098,Matt Fitzpatrick,.887,32.836,34.821,-1.986,37
24,0,31323,Gary Woodland,.882,57.341,66.618,-9.277,65
25,0,34360,Patrick Reed,.876,63.946,44.889,19.054,73
26,0,28089,Jason Day,.833,39.166,22.431,16.735,47
26,0,26851,Marc Leishman,.833,47.487,30.268,17.219,57
28,0,29420,Billy Horschel,.829,57.228,21.176,36.051,69
29,0,26596,Ryan Moore,.826,52.055,48.168,3.885,63
30,0,26476,Chez Reavie,.824,57.680,53.373,4.306,70
31,0,23621,Rory Sabbatini,.820,62.357,50.657,11.699,76
32,0,33948,Byeong Hun An,.819,49.952,85.505,-35.554,61
33,0,21961,Charles Howell III,.809,59.051,37.837,21.214,73
34,0,26329,Louis Oosthuizen,.777,37.296,29.185,8.113,48
35,0,29725,Tony Finau,.768,49.902,56.622,-6.720,65
36,0,24138,Ian Poulter,.764,33.614,14.918,18.695,44
37,0,21209,Sergio Garcia,.746,28.364,31.319,-2.954,38
38,0,23325,Vaughn Taylor,.732,60.009,7.897,52.113,82
39,0,47993,Denny McCarthy,.687,47.418,-16.473,63.890,69
40,0,29478,Kevin Kisner,.671,47.619,15.667,31.952,71
41,0,45486,Joaquin Niemann,.670,53.636,67.197,-13.561,80
42,0,27214,Kevin Streelman,.669,46.127,63.438,-17.312,69
43,0,25818,Scott Piercy,.631,44.173,33.936,10.237,70
44,0,26300,Matt Jones,.628,41.431,33.506,7.926,66
45,0,27064,Jhonattan Vegas,.626,38.204,47.727,-9.523,61
46,0,39997,Corey Conners,.620,42.769,82.540,-39.771,69
47,0,34021,Bud Cauley,.558,41.267,45.147,-3.883,74
48,0,49960,Sepp Straka,.552,32.028,28.773,3.255,58
49,0,33122,Russell Knox,.550,32.441,42.836,-10.397,59
50,0,33419,Cameron Tringale,.546,27.826,17.431,10.396,51
51,0,34256,Andrew Putnam,.536,30.013,-9.165,39.180,56
52,0,28775,Nate Lashley,.523,28.759,12.030,16.727,55
53,0,45526,Abraham Ancer,.515,36.570,41.213,-4.642,71
54,0,49771,J.T. Poston,.506,44.518,25.830,18.687,88
55,0,34363,Tyrrell Hatton,.489,20.522,28.585,-8.063,42
56,0,47347,Adam Schenk,.487,39.948,12.007,27.941,82
57,0,23320,Ryan Palmer,.475,24.200,22.121,2.076,51
58,0,37275,Sam Ryder,.462,27.691,2.099,25.592,60
59,0,24024,Zach Johnson,.459,24.331,28.964,-4.633,53
59,0,34046,Jordan Spieth,.459,30.287,-26.613,56.900,66
61,0,25493,Nick Taylor,.452,38.841,10.467,28.376,86
62,0,29970,Dylan Frittelli,.439,29.853,41.319,-11.465,68
63,0,32150,Michael Thompson,.426,27.718,5.658,22.056,65
64,0,32640,Troy Merritt,.421,23.591,18.818,4.773,56
65,0,26499,Rafa Cabrera Bello,.419,20.129,18.070,2.058,48
66,0,31646,Emiliano Grillo,.418,22.966,57.795,-34.828,55
67,0,51766,Wyndham Clark,.413,30.158,-16.593,46.752,73
68,0,31560,Brian Stuard,.393,30.239,16.725,13.515,77
69,0,25572,Graeme McDowell,.385,19.255,-17.298,36.555,50
70,0,32139,Danny Willett,.383,19.128,25.629,-6.500,50
71,0,40115,Adam Svensson,.380,20.885,53.968,-33.084,55
72,0,34466,Peter Malnati,.379,28.774,-6.693,35.469,76
73,0,46402,Talor Gooch,.370,17.782,12.447,5.336,48
74,0,27644,Brian Harman,.346,24.545,18.168,6.376,71
75,0,33399,Adam Hadwin,.343,21.265,5.620,15.644,62
75,0,48822,Sebastián Muñoz,.343,21.979,17.122,4.856,64
77,0,49964,Aaron Wise,.329,17.741,25.638,-7.897,54
78,0,35891,Cameron Smith,.324,17.174,8.852,8.323,53
79,0,22371,Aaron Baddeley,.313,13.162,-14.289,27.451,42
80,0,24361,Pat Perez,.288,11.797,-10.158,21.954,41
81,0,25804,Bubba Watson,.281,14.026,31.207,-17.180,50
82,0,40026,Daniel Berger,.280,16.501,19.009,-2.510,59
83,0,27330,Josh Teater,.262,13.900,14.783,-.884,53
84,0,39546,Keith Mitchell,.254,15.464,36.094,-20.632,61
85,0,36699,Patrick Rodgers,.231,10.377,-8.863,19.240,45
86,0,37189,Harold Varner III,.227,16.768,31.746,-14.976,74
87,0,27936,Martin Laird,.223,16.253,14.878,1.373,73
88,0,27129,Luke List,.202,11.090,26.490,-15.400,55
89,0,34099,Harris English,.200,15.806,-25.865,41.671,79
90,0,19803,Ryan Armour,.190,14.282,.056,14.227,75
91,0,34098,Russell Henley,.167,10.179,28.407,-18.228,61
