RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:ARG,MEASURED ROUNDS
1,0,23983,Luke Donald,.628,28.891,46
2,0,06527,Steve Stricker,.596,20.865,35
3,0,22405,Justin Rose,.491,22.605,46
4,0,10423,Mike Weir,.399,18.757,47
5,0,23800,Bryce Molder,.395,28.047,71
6,0,27895,Jonas Blixt,.394,26.410,67
7,0,20572,Rod Pampling,.389,13.614,35
8,0,20098,Stuart Appleby,.387,30.604,79
9,0,28310,Lee Williams,.380,19.382,51
10,0,21961,Charles Howell III,.374,29.936,80
11,0,10860,Justin Leonard,.363,27.197,75
12,0,01320,Bob Estes,.362,22.461,62
13,0,27649,Brandt Snedeker,.354,20.510,58
14,0,32200,Roberto Castro,.348,29.225,84
15,0,19846,Brian Gay,.336,23.827,71
16,0,27963,Chris Stroud,.333,26.005,78
17,0,10809,Jim Furyk,.323,20.691,64
17,0,21099,David Lynn,.323,18.083,56
19,0,20766,Padraig Harrington,.321,11.236,35
20,0,25274,Steven Bowditch,.316,18.355,58
21,0,29289,S.Y. Noh,.315,19.554,62
22,0,20160,Charlie Wi,.295,19.468,66
23,0,22371,Aaron Baddeley,.293,17.284,59
24,0,24138,Ian Poulter,.290,11.316,39
25,0,24924,Bill Haas,.289,19.908,69
26,0,28135,Aaron Watkins,.285,9.964,35
27,0,23108,Matt Kuchar,.278,19.205,69
28,0,26497,Casey Wittenberg,.263,16.053,61
29,0,01810,Phil Mickelson,.260,14.843,57
30,0,21209,Sergio Garcia,.259,12.170,47
31,0,24357,K.J. Choi,.258,16.223,63
32,0,21731,Freddie Jacobson,.247,11.347,46
32,0,08793,Tiger Woods,.247,10.609,43
34,0,33461,Morgan Hoffmann,.242,12.805,53
35,0,29221,Webb Simpson,.225,15.771,70
36,0,26300,Matt Jones,.220,15.411,70
37,0,34261,Scott Langley,.215,13.761,64
38,0,22621,Ben Curtis,.208,9.566,46
39,0,34046,Jordan Spieth,.200,13.378,67
40,0,12782,Tim Herron,.197,8.658,44
41,0,34174,John Huh,.190,14.283,75
42,0,33141,Keegan Bradley,.185,13.323,72
42,0,21753,Brian Davis,.185,15.341,83
44,0,27120,Troy Matteson,.175,10.343,59
45,0,25562,Andres Romero,.170,8.836,52
45,0,20396,Lee Westwood,.170,8.654,51
47,0,28089,Jason Day,.167,10.173,61
48,0,31202,William McGirt,.165,11.736,71
49,0,25632,Jimmy Walker,.164,12.308,75
50,0,25240,D.A. Points,.163,11.085,68
51,0,33419,Cameron Tringale,.149,11.162,75
52,0,34021,Bud Cauley,.148,8.282,56
53,0,06522,Ernie Els,.143,6.871,48
53,0,19970,Robert Karlsson,.143,5.305,37
