RANK,MOVEMENT,PLAYER_ID,PLAYER,MONEY
211,-2,01949,Mark Pfeil,$11882
212,-2,01584,Doug Johnson,$11540
213,-1,02098,Jim Simons,$11430
214,-1,01360,Anders Forsbrand,$9510
215,0,01510,Nolan Henke,$9072
216,0,01593,Philip Jonas,$9019
217,0,02002,John Riegger,$8743
218,0,01086,Roy Biancalana,$8692
219,0,01401,Al Geiberger,$8640
220,96,02232,Tommy Valentine,$8595
221,-1,26016,Gerry Taylor,$8480
222,-1,01113,Steve Bowman,$7879
223,-1,01024,Billy Andrade,$7761
224,-1,01118,Gordon Brand Jr.,$7733
224,-1,01330,David Feherty,$7733
226,-1,06284,Jim Hallet,$7500
227,-1,01955,Gary Player,$7057
228,-1,01834,Ossie Moore,$7020
229,-1,01556,Joe Inman,$7013
230,-1,01493,Mike Harwood,$6950
231,-1,02217,Dennis Trixler,$6876
232,-1,02314,Kermit Zarley,$6800
233,-1,01290,Dale Douglass,$6555
234,-1,01838,Mike Morley,$6295
235,12,01534,John Horne,$6290
236,-2,01560,David Ishii,$6250
237,23,01779,Gary McCord,$6189
238,-3,01678,Bob Lendzion,$6000
239,-3,01477,Phillip Hancock,$5883
240,-3,20863,Manuel Calero,$5600
240,-3,19960,Ross Drummond,$5600
242,-3,01901,Jay Overton,$5215
243,-3,01676,Ted Lehmann,$5111
244,-3,02287,Jim Wilson,$4995
245,-3,11651,Derrick Cooper,$4840
246,-3,01127,Danny Briggs,$4713
247,-3,02186,Brian Tennyson,$4694
248,-3,19908,Brian Marchbank,$4520
248,-3,19919,Carl Mason,$4520
250,-2,02102,John Slaughter,$4280
251,-2,01665,Ralph Landrum,$4240
252,-2,01707,Steve Lowery,$4190
253,-2,11180,Mats Lanner,$4040
253,-2,20393,Philip Walton,$4040
255,-2,01334,Keith Fergus,$4033
256,-2,01033,George Archer,$3861
257,-2,02292,Bob Wolcott,$3793
258,-2,01872,Lonnie Nielsen,$3776
259,-2,19974,Roger Chapman,$3760
259,-2,24272,Mike O'Leary,$3760
259,-2,02073,Ove Sellberg,$3760
262,-1,01910,Arnold Palmer,$3612
263,-1,01095,Woody Blackburn,$3453
264,-1,01594,Brian Jones,$3440
264,-1,21632,Bill McColl,$3440
266,-1,01629,Eddie Kirby,$3178
267,-1,26001,Neil Hansen,$3160
267,-1,01750,Miguel Angel Martin,$3160
269,-1,01931,Rick Pearson,$3156
270,-1,01954,Gary Pinns,$3024
271,-1,01133,Billy Ray Brown,$3000
272,-1,02197,Rocky Thompson,$2858
273,-1,13092,Hugh Baiocchi,$2800
273,-1,01185,Brandel Chamblee,$2800
273,-1,06377,Jet Ozaki,$2800
276,-1,01714,Bob Lunn,$2778
277,-1,01032,Kikuo Arai,$2730
278,-1,02031,Griffin Rudolph,$2697
279,-1,01496,Jeff Hawkes,$2560
279,-1,11302,David Jones,$2560
279,-1,01831,Chris Moody,$2560
279,-1,26028,Andrew Stevens,$2560
279,-1,02271,Wayne Westner,$2560
284,-1,01692,Pat Lindsey,$2492
285,-1,01353,Bruce Fleisher,$2405
286,-1,01085,Bob Betley,$2400
286,-1,01381,Fred Funk,$2400
288,-1,01820,Bobby Mitchell,$2385
289,-1,01097,James Blair,$2340
290,-1,01986,Joey Rassett,$2315
291,-1,01242,Rod Curl,$2250
292,-1,02270,Mike West,$2240
293,-1,01001,Tommy Aaron,$2200
293,-1,01177,Billy Casper,$2200
295,-1,01787,Mike McGee,$2196
296,-1,01925,Jerry Pate,$2116
297,-1,01870,Jack Nicklaus II,$2075
298,-1,02185,Lance Ten Broeck,$1920
299,-1,01233,Bruce Crampton,$1899
300,-1,01342,Forrest Fezler,$1784
301,-1,01373,Ray Freeman,$1600
301,-1,01567,John Jackson,$1600
301,-1,01657,Keith Kulzer,$1600
301,-1,01817,Lindy Miller,$1600
305,-1,01994,Victor Regalado,$1548
306,-1,02309,Bert Yancey,$1356
307,-1,01268,Jim Dent,$1322
308,-1,02176,Danny Talbot,$1320
309,-1,06421,Koichi Suzuki,$1314
310,-1,01151,Clark Burroughs,$1296
310,-1,01215,Charles Coody,$1296
312,-1,01564,David Jackson,$1257
313,-1,01659,Massy Kuramoto,$1212
314,-1,01506,Bobby Heins,$1164
315,-1,12657,Kevin DeNike,$1125
316,-1,01859,Toru Nakamura,$1098
317,0,01553,John Huston,$1055
318,0,01266,Clark Dennis,$1040
319,0,11279,Vince Winsnes,$1020
320,0,01035,Tommy Armour III,$970
321,0,01897,Peter Oosterhuis,$969
322,0,02226,Tray Tyner,$957
323,0,01724,Jeff Maggert,$936
324,0,01464,Chip Hall,$864
324,0,01668,Jeffrey Lankford,$864
326,0,01011,Rafael Alarcon,$856
327,0,06448,Gregg Wolff,$816
328,0,01081,Bill Bergin,$784
329,0,02029,Hugh Royer,$687
329,0,02238,Steven Veriato,$687
331,0,01561,Bill Israelson,$680
332,0,06002,David Allen,$498
333,0,06235,Mike Clayton,$434
333,0,01713,David Lundstrom,$434
335,0,01525,Babe Hiskey,$398
336,0,01806,Dennis Meyer,$368
