RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG (YARDS),TOTAL DISTANCE (INCHES),NUMBER OF APPROACH SHOTS
1,0,30925,Dustin Johnson,154.6,2498418000,449
2,0,32334,Charlie Beljan,157.5,4174303000,736
3,0,35300,Andrew Loupe,159.2,2996712000,523
4,0,19846,Brian Gay,159.6,4247061000,739
4,0,28132,Tyrone Van Aswegen,159.6,4223852000,735
6,0,12716,Charley Hoffman,159.8,4917458000,855
7,0,34431,Robert Streb,160.0,4089469000,710
8,0,26329,Louis Oosthuizen,160.1,1838554000,319
8,0,34360,Patrick Reed,160.1,4917617000,853
10,0,25900,Lucas Glover,160.3,3005950000,521
11,0,32640,Troy Merritt,160.5,3633257000,629
11,0,32333,Kevin Tway,160.5,3125700000,541
13,0,30750,Tommy Gainey,160.7,3749084000,648
13,0,35732,Wes Roach,160.7,3112962000,538
15,0,26956,Bronson La'Cassie,160.8,2448534000,423
16,0,21961,Charles Howell III,160.9,6360162000,1098
16,0,29478,Kevin Kisner,160.9,4598906000,794
18,0,20157,Retief Goosen,161.1,5353877000,923
18,0,23623,Bo Van Pelt,161.1,4574507000,789
20,0,29535,Brice Garnett,161.2,5234361000,902
20,0,31193,Jim Renner,161.2,3162851000,545
20,0,32150,Michael Thompson,161.2,3841281000,662
20,0,02206,David Toms,161.2,3702419000,638
20,0,26289,Boo Weekley,161.2,3831080000,660
25,0,27330,Josh Teater,161.4,5171483000,890
26,0,27895,Jonas Blixt,161.5,2843306000,489
26,0,27141,J.B. Holmes,161.5,4912595000,845
26,0,29461,Jamie Lovemark,161.5,3041476000,523
26,0,27120,Troy Matteson,161.5,3086511000,531
26,0,22293,Heath Slocum,161.5,4290064000,738
31,0,25444,Justin Hicks,161.6,6138893000,1055
32,0,25804,Bubba Watson,161.7,3689642000,634
33,0,21731,Freddie Jacobson,161.9,5473466000,939
33,0,24140,Sean O'Hair,161.9,4575649000,785
35,0,20229,Stewart Cink,162.0,4746348000,814
36,0,20498,Briny Baird,162.1,3023529000,518
36,0,32200,Roberto Castro,162.1,3956386000,678
36,0,34021,Bud Cauley,162.1,3068778000,526
36,0,21753,Brian Davis,162.1,5380140000,922
36,0,34261,Scott Langley,162.1,5379116000,922
41,0,25274,Steven Bowditch,162.2,4974295000,852
41,0,22913,John Rollins,162.2,4619506000,791
43,0,07867,Woody Austin,162.3,3687152000,631
43,0,32448,James Hahn,162.3,4862350000,832
43,0,27936,Martin Laird,162.3,3563579000,610
46,0,34098,Russell Henley,162.4,4746887000,812
46,0,33461,Morgan Hoffmann,162.4,5786382000,990
48,0,35539,Luke Guthrie,162.5,5024574000,859
49,0,32366,Kevin Chappell,162.6,5694911000,973
49,0,34046,Jordan Spieth,162.6,5138654000,878
49,0,29518,Brendan Steele,162.6,4577192000,782
52,0,24846,Ricky Barnes,162.7,5300327000,905
52,0,27644,Brian Harman,162.7,6811799000,1163
52,0,23108,Matt Kuchar,162.7,5136209000,877
52,0,25345,Carl Pettersson,162.7,5668810000,968
56,0,37273,Derek Ernst,162.8,4108379000,701
57,0,29740,Brad Fritsch,162.9,2661859000,454
57,0,22378,Trevor Immelman,162.9,4516369000,770
57,0,36689,Brooks Koepka,162.9,2767964000,472
57,0,33418,Shawn Stefani,162.9,3900007000,665
57,0,27770,Camilo Villegas,162.9,5534836000,944
62,0,23800,Bryce Molder,163.0,4466417000,761
62,0,06567,Vijay Singh,163.0,5203713000,887
64,0,23135,Tim Clark,163.1,4191241000,714
64,0,28500,Martin Flores,163.1,4614436000,786
66,0,12510,Chad Campbell,163.2,3343514000,569
66,0,30692,Scott Stallings,163.2,4141598000,705
66,0,25349,Tim Wilkinson,163.2,4945860000,842
69,0,24925,Jonathan Byrd,163.3,4432112000,754
69,0,31557,Jim Herman,163.3,3203350000,545
71,0,23353,J.J. Henry,163.4,5588951000,950
71,0,30926,Chris Kirk,163.4,5734544000,975
71,0,30944,Jason Kokrak,163.4,4024633000,684
71,0,34409,David Lingmerth,163.4,4318098000,734
71,0,01706,Davis Love III,163.4,4211512000,716
71,0,01724,Jeff Maggert,163.4,3052669000,519
77,0,20098,Stuart Appleby,163.5,5590618000,950
77,0,26331,Charl Schwartzel,163.5,3513509000,597
79,0,26758,David Hearn,163.6,5695771000,967
79,0,29222,Billy Hurley III,163.6,5118401000,869
79,0,28475,Jeff Overton,163.6,4405384000,748
79,0,24361,Pat Perez,163.6,5128766000,871
83,0,28089,Jason Day,163.7,2309637000,392
83,0,25562,Andres Romero,163.7,4654361000,790
85,0,28259,Sangmoon Bae,163.8,4192993000,711
85,0,08075,Jerry Kelly,163.8,4575643000,776
85,0,22046,Geoff Ogilvy,163.8,4871205000,826
85,0,23621,Rory Sabbatini,163.8,4221819000,716
85,0,34264,Hudson Swafford,163.8,3892294000,660
90,0,24494,Erik Compton,163.9,5110509000,866
90,0,06522,Ernie Els,163.9,4259413000,722
90,0,35541,John Peterson,163.9,3753003000,636
93,0,20593,Greg Chalmers,164.0,4857674000,823
93,0,33413,Ben Martin,164.0,4263092000,722
93,0,27556,Ted Potter Jr.,164.0,4362190000,739
96,0,22621,Ben Curtis,164.1,4313371000,730
96,0,33122,Russell Knox,164.1,5915066000,1001
96,0,30927,Brendon Todd,164.1,6345817000,1074
96,0,27064,Jhonattan Vegas,164.1,4412637000,747
100,0,24924,Bill Haas,164.2,5728291000,969
100,0,34563,Chesson Hadley,164.2,4516285000,764
100,0,10860,Justin Leonard,164.2,4369009000,739
100,0,27466,Spencer Levin,164.2,3482059000,589
100,0,24781,Hunter Mahan,164.2,4829571000,817
100,0,27933,John Merrick,164.2,4839835000,819
100,0,23320,Ryan Palmer,164.2,4368265000,739
107,0,27649,Brandt Snedeker,164.3,4440907000,751
107,0,30110,Kyle Stanley,164.3,4730880000,800
109,0,34099,Harris English,164.5,4967917000,839
109,0,26951,Johnson Wagner,164.5,4103517000,693
111,0,25720,Chad Collins,164.6,4200492000,709
111,0,01810,Phil Mickelson,164.6,3330326000,562
111,0,31560,Brian Stuard,164.6,4946934000,835
114,0,30852,Ryo Ishikawa,164.7,3989585000,673
114,0,26300,Matt Jones,164.7,3973204000,670
116,0,27095,Nick Watney,164.8,3772386000,636
117,0,25240,D.A. Points,164.9,3681359000,620
118,0,28092,D.H. Lee,165.0,3118922000,525
118,0,29425,Andrew Svoboda,165.0,4580622000,771
118,0,25632,Jimmy Walker,165.0,4780438000,805
121,0,24358,Robert Garrigus,165.1,4683660000,788
121,0,29289,S.Y. Noh,165.1,5123639000,862
123,0,10885,Robert Allenby,165.2,4840210000,814
123,0,23541,Ben Crane,165.2,5407464000,909
125,0,25686,Jason Dufner,165.3,2719149000,457
125,0,29420,Billy Horschel,165.3,4791641000,805
127,0,24357,K.J. Choi,165.4,4567795000,767
127,0,24912,Will MacKenzie,165.4,4798319000,806
129,0,23409,James Driscoll,165.5,3759831000,631
129,0,10809,Jim Furyk,165.5,4922411000,826
129,0,22405,Justin Rose,165.5,3592594000,603
129,0,21878,Mark Wilson,165.5,4009750000,673
133,0,25834,Daniel Summerhays,165.6,6075910000,1019
133,0,28780,Nicholas Thompson,165.6,4757596000,798
135,0,25572,Graeme McDowell,165.7,3168297000,531
135,0,29221,Webb Simpson,165.7,4922007000,825
137,0,25191,Gonzalo Fernandez-Castaño,165.8,4565438000,765
137,0,31202,William McGirt,165.8,5788510000,970
139,0,23638,Brendon de Jonge,165.9,6427665000,1076
139,0,27436,Graham DeLaet,165.9,4431118000,742
139,0,24024,Zach Johnson,165.9,5882711000,985
139,0,34265,Will Wilcox,165.9,2830363000,474
143,0,24507,Jason Bohn,166.0,4995853000,836
143,0,25364,Paul Casey,166.0,2897573000,485
143,0,20104,Ken Duke,166.0,4524979000,757
143,0,20645,John Senden,166.0,5808616000,972
143,0,27963,Chris Stroud,166.0,4889781000,818
148,0,20160,Charlie Wi,166.1,4515085000,755
149,0,29479,Scott Brown,166.2,5653808000,945
149,0,20848,Ángel Cabrera,166.2,3943464000,659
149,0,35139,Richard Lee,166.2,4242041000,709
152,0,26679,Kevin Stadler,166.3,4419445000,738
153,0,22371,Aaron Baddeley,166.5,3915214000,653
154,0,24138,Ian Poulter,166.6,2722334000,454
154,0,33419,Cameron Tringale,166.6,6969736000,1162
154,0,10423,Mike Weir,166.6,3736066000,623
157,0,27214,Kevin Streelman,166.7,3774325000,629
158,0,29926,Danny Lee,166.8,4616591000,769
158,0,24502,Adam Scott,166.8,3718038000,619
158,0,20396,Lee Westwood,166.8,2779844000,463
161,0,24663,Y.E. Yang,166.9,4236165000,705
162,0,28307,Matt Every,167.3,4367668000,725
163,0,34174,John Huh,167.4,4965605000,824
164,0,33141,Keegan Bradley,167.5,4739371000,786
164,0,27408,Martin Kaymer,167.5,3220291000,534
166,0,32839,Hideki Matsuyama,167.7,4243769000,703
166,0,28237,Rory McIlroy,167.7,3037513000,503
168,0,26851,Marc Leishman,167.9,4764031000,788
169,0,28486,Michael Putnam,168.2,6254396000,1033
