RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL CLUB HEAD SPEED,TOTAL ATTEMPTS
1,0,47959,Bryson DeChambeau,132.25,21425.03,162
2,0,52372,Cameron Champ,127.45,23577.75,185
3,0,46550,Brandon Hagy,124.45,28126.81,226
4,0,27129,Luke List,123.87,38400.74,310
5,0,56762,Will Gordon,123.73,32046.36,259
6,0,56278,Matthew Wolff,123.71,18308.94,148
7,0,28420,Ryan Brehm,123.23,17498.90,142
8,0,31323,Gary Woodland,123.17,19707.07,160
9,0,28237,Rory McIlroy,122.87,26416.44,215
10,0,27064,Jhonattan Vegas,122.79,33153.39,270
11,0,35617,Martin Trainer,121.92,22434.09,184
12,0,40042,Tyler McCumber,121.91,25114.40,206
13,0,32333,Kevin Tway,121.89,24012.46,197
14,0,47347,Adam Schenk,121.39,40179.36,331
15,0,27554,Scott Harrington,120.86,28524.09,236
15,0,39546,Keith Mitchell,120.86,29973.73,248
17,0,35658,Kris Ventura,120.65,24492.50,203
18,0,36689,Brooks Koepka,120.62,20867.50,173
19,0,21209,Sergio Garcia,120.54,32667.36,271
20,0,26331,Charl Schwartzel,120.43,34564.50,287
21,0,24502,Adam Scott,120.04,19327.08,161
22,0,30925,Dustin Johnson,119.91,23742.47,198
23,0,45486,Joaquin Niemann,119.69,38180.99,319
23,0,34264,Hudson Swafford,119.69,29563.04,247
25,0,32662,Michael Gligic,119.51,32268.16,270
26,0,47504,Sam Burns,119.43,35590.50,298
27,0,51766,Wyndham Clark,119.37,5610.56,47
28,0,36699,Patrick Rodgers,119.32,37227.24,312
29,0,27095,Nick Watney,118.96,20461.51,172
30,0,48081,Xander Schauffele,118.93,22596.00,190
31,0,47483,Will Zalatoris,118.90,27822.79,234
32,0,34255,Joseph Bramlett,118.81,27208.15,229
33,0,29970,Dylan Frittelli,118.75,26837.68,226
33,0,25804,Bubba Watson,118.75,20900.35,176
35,0,46970,Jon Rahm,118.72,24693.70,208
36,0,29725,Tony Finau,118.71,33002.43,278
37,0,45157,Cam Davis,118.64,42355.45,357
38,0,24361,Pat Perez,118.61,34752.91,293
39,0,35310,Lanto Griffin,118.51,29983.35,253
40,0,48822,Sebastián Muñoz,118.31,37739.85,319
41,0,30944,Jason Kokrak,118.10,33541.68,284
42,0,34213,Grayson Murray,118.09,15942.44,135
43,0,33419,Cameron Tringale,118.06,33410.72,283
44,0,21961,Charles Howell III,117.78,23320.47,198
45,0,40006,Erik van Rooyen,117.63,29407.42,250
46,0,01810,Phil Mickelson,117.58,20694.16,176
47,0,27349,Alex Noren,117.52,33023.07,281
48,0,32070,Rafael Campos,117.43,19492.79,166
49,0,37275,Sam Ryder,117.39,29230.64,249
50,0,39977,Max Homa,117.35,29337.77,250
51,0,46402,Talor Gooch,117.28,37294.35,318
52,0,28089,Jason Day,117.26,23920.39,204
53,0,28252,Seamus Power,117.19,22970.00,196
54,0,26300,Matt Jones,117.14,38655.61,330
55,0,33448,Justin Thomas,117.01,27614.60,236
56,0,12716,Charley Hoffman,116.96,32280.74,276
57,0,46046,Scottie Scheffler,116.94,37419.45,320
58,0,51894,Vince Whaley,116.72,26377.63,226
59,0,27141,J.B. Holmes,116.68,21002.65,180
60,0,46717,Viktor Hovland,116.64,33009.82,283
61,0,20229,Stewart Cink,116.63,35106.52,301
61,0,23320,Ryan Palmer,116.63,25075.18,215
63,0,35104,Tom Lewis,116.61,34283.38,294
64,0,33597,Harry Higgs,116.55,36364.03,312
65,0,33667,Carlos Ortiz,116.36,38746.51,333
66,0,46442,Maverick McNealy,116.27,35114.80,302
67,0,29518,Brendan Steele,116.26,29181.34,251
68,0,35450,Patrick Cantlay,116.22,32191.97,277
68,0,25364,Paul Casey,116.22,27660.27,238
70,0,36871,Matt NeSmith,116.20,29515.01,254
71,0,49964,Aaron Wise,115.98,32591.22,281
72,0,30911,Tommy Fleetwood,115.97,16584.11,143
73,0,30692,Scott Stallings,115.95,27363.24,236
74,0,32254,Xinjun Zhang,115.87,21900.16,189
75,0,48119,Ben Taylor,115.85,15523.50,134
76,0,40026,Daniel Berger,115.78,30102.73,260
77,0,32839,Hideki Matsuyama,115.70,32279.99,279
78,0,33413,Ben Martin,115.61,17225.62,149
79,0,53165,Doc Redman,115.52,33500.45,290
