RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS,LOW TOTAL PUTTS
1,0,10117,Bob Heintz,27.57,1875,68,21
2,0,20127,Chris Riley,27.83,2672,96,22
3,0,23541,Ben Crane,27.84,2478,89,23
4,0,01619,Skip Kendall,28.02,2830,101,23
5,0,20572,Rod Pampling,28.13,2644,94,22
6,0,24361,Pat Perez,28.28,2460,87,21
7,0,01968,Nick Price,28.29,1754,62,23
8,0,01024,Billy Andrade,28.31,2661,94,23
8,0,06527,Steve Stricker,28.31,1670,59,23
10,0,23800,Bryce Molder,28.32,1784,63,24
11,0,01329,Brad Faxon,28.34,2352,83,21
11,0,06373,José María Olazábal,28.34,1757,62,23
13,0,01457,Jay Haas,28.38,2242,79,22
13,0,08537,J.P. Hayes,28.38,2157,76,22
15,0,24925,Jonathan Byrd,28.40,2641,93,23
16,0,01723,Andrew Magee,28.41,2500,88,22
17,0,19846,Brian Gay,28.43,3269,115,22
17,0,01706,Davis Love III,28.43,2360,83,21
17,0,01810,Phil Mickelson,28.43,2559,90,21
17,0,01928,Corey Pavin,28.43,2047,72,22
21,0,01139,Olin Browne,28.45,2959,104,21
21,0,23903,Stephen Gangluff,28.45,2134,75,23
23,0,20593,Greg Chalmers,28.46,2590,91,22
23,0,10860,Justin Leonard,28.46,2561,90,23
23,0,20566,Kaname Yokoo,28.46,2049,72,24
26,0,06522,Ernie Els,28.47,1651,58,24
27,0,06078,Esteban Toledo,28.51,2794,98,24
27,0,02239,Scott Verplank,28.51,2480,87,22
29,0,02206,David Toms,28.53,2796,98,23
30,0,24357,K.J. Choi,28.54,2483,87,21
31,0,22046,Geoff Ogilvy,28.55,2455,86,20
32,0,20098,Stuart Appleby,28.59,2573,90,24
32,0,06251,Chris DiMarco,28.59,2916,102,21
32,0,01313,Steve Elkington,28.59,2144,75,22
32,0,20094,Jonathan Kaye,28.59,2259,79,22
36,0,01098,Jay Don Blake,28.60,3003,105,23
36,0,12680,Shigeki Maruyama,28.60,2374,83,22
38,0,01378,David Frost,28.61,2575,90,23
38,0,02246,Duffy Waldorf,28.61,2375,83,24
40,0,01042,Paul Azinger,28.63,1804,63,24
40,0,23108,Matt Kuchar,28.63,2290,80,22
42,0,01388,Robert Gamez,28.64,1976,69,24
43,0,01307,Joel Edwards,28.65,2894,101,21
43,0,12782,Tim Herron,28.65,2836,99,23
45,0,06809,Bob Burns,28.69,2754,96,23
45,0,06012,Greg Kraft,28.69,2410,84,22
45,0,02010,Loren Roberts,28.69,2553,89,23
48,0,20157,Retief Goosen,28.70,1435,50,22
48,0,02214,Kirk Triplett,28.70,2267,79,24
50,0,01527,Scott Hoch,28.71,1895,66,24
51,0,01226,Fred Couples,28.72,1723,60,22
52,0,06613,Tommy Tolles,28.75,1840,64,22
53,0,19881,Robert Damron,28.76,2358,82,22
53,0,09011,David Duval,28.76,2042,71,22
53,0,08075,Jerry Kelly,28.76,2703,94,21
53,0,01887,Mark O'Meara,28.76,1783,62,22
57,0,01185,Brandel Chamblee,28.79,2418,84,24
57,0,08931,Glen Day,28.79,2965,103,22
57,0,06643,Paul Goydos,28.79,1900,66,23
57,0,19958,Miguel Angel Jiménez,28.79,1612,56,23
57,0,08375,Paul Stankowski,28.79,2821,98,22
62,0,01249,John Daly,28.80,1699,59,22
62,0,06332,Neal Lancaster,28.80,2794,97,23
64,0,06004,Stephen Ames,28.81,2391,83,22
65,0,23125,Brad Elder,28.82,2133,74,23
65,0,10201,Matt Gogel,28.82,2190,76,21
65,0,01666,Bernhard Langer,28.82,1441,50,23
65,0,20634,Peter Lonard,28.82,2565,89,21
65,0,10912,Craig Perks,28.82,2392,83,23
65,0,07749,Brett Quigley,28.82,2651,92,24
71,0,07721,Pat Bates,28.84,2624,91,22
71,0,21209,Sergio Garcia,28.84,1961,68,22
73,0,01161,Mark Calcavecchia,28.85,2164,75,21
74,0,23135,Tim Clark,28.87,2050,71,22
74,0,01761,Len Mattiace,28.87,2945,102,22
74,0,02099,Scott Simpson,28.87,1761,61,20
77,0,01175,Jim Carter,28.88,2715,94,24
77,0,19972,José Coceres,28.88,1415,49,23
77,0,22913,John Rollins,28.88,3465,120,23
80,0,02257,Brian Watts,28.89,1560,54,21
81,0,01553,John Huston,28.90,2774,96,22
81,0,21949,Joe Ogilvie,28.90,1445,50,23
81,0,08553,Lee Porter,28.90,2543,88,24
84,0,12753,David Morland IV,28.91,1677,58,25
84,0,11011,Mike Sposa,28.91,3151,109,23
86,0,07867,Woody Austin,28.93,2864,99,21
86,0,21805,Harrison Frazar,28.93,2546,88,23
86,0,10107,Deane Pappas,28.93,2517,87,23
89,0,01941,Tom Pernice Jr.,28.94,2865,99,23
90,0,01157,Tom Byrum,28.95,2229,77,23
90,0,10585,Scott McCarron,28.95,2721,94,23
92,0,21633,Steve Allan,28.96,2635,91,22
92,0,06575,Dudley Hart,28.96,2375,82,23
92,0,12663,Phil Tataurangi,28.96,2433,84,20
95,0,01569,Peter Jacobsen,28.97,1941,67,24
95,0,10425,Jay Williamson,28.97,2636,91,22
97,0,01132,Mark Brooks,28.99,2696,93,24
97,0,08881,Tripp Isenhour,28.99,1971,68,22
99,0,20043,Edward Fryatt,29.00,2668,92,22
99,0,01549,Mike Hulbert,29.00,1537,53,23
101,0,01361,Dan Forsman,29.02,2351,81,24
102,0,08633,Per-Ulrik Johansson,29.03,2526,87,22
102,0,08993,Franklin Langham,29.03,2003,69,23
102,0,02104,Jeff Sluman,29.03,3396,117,21
102,0,02223,Bob Tway,29.03,2758,95,24
106,0,10565,Ian Leggatt,29.04,2701,93,21
106,0,06567,Vijay Singh,29.04,2730,94,24
108,0,12652,Cameron Beckman,29.05,2469,85,23
108,0,10733,Kent Jones,29.05,2992,103,22
110,0,01219,John Cook,29.06,2325,80,23
111,0,23614,Rich Beem,29.07,2762,95,23
