RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL 3+ PUTTS,TOTAL ROUNDS
1,0,01014,Fulton Allem,.09,6,64
2,0,21949,Joe Ogilvie,.08,4,50
2,0,23621,Rory Sabbatini,.08,5,64
4,0,01724,Jeff Maggert,.06,5,83
4,0,20663,Brenden Pappas,.06,4,62
6,0,23135,Tim Clark,.05,4,73
6,0,20574,Mathew Goggin,.05,3,64
6,0,06575,Dudley Hart,.05,4,84
6,0,10962,Bradley Hughes,.05,3,60
10,0,19881,Robert Damron,.04,3,82
10,0,06515,Shaun Micheel,.04,4,97
10,0,12660,Jesper Parnevik,.04,3,84
10,0,02214,Kirk Triplett,.04,3,79
10,0,20436,Garrett Willis,.04,3,78
15,0,06197,Michael Allen,.03,2,74
15,0,01249,John Daly,.03,2,61
15,0,01374,Robin Freeman,.03,2,75
15,0,23338,David Gossett,.03,3,93
15,0,12753,David Morland IV,.03,2,58
15,0,06498,Matt Peterson,.03,2,80
15,0,06078,Esteban Toledo,.03,3,102
22,0,07867,Woody Austin,.02,2,99
22,0,01042,Paul Azinger,.02,1,63
22,0,12652,Cameron Beckman,.02,2,85
22,0,01132,Mark Brooks,.02,2,93
22,0,01142,Bart Bryant,.02,1,66
22,0,12510,Chad Campbell,.02,2,109
22,0,01226,Fred Couples,.02,1,60
22,0,23983,Luke Donald,.02,2,104
22,0,06621,Joe Durant,.02,2,86
22,0,01361,Dan Forsman,.02,2,81
22,0,20157,Retief Goosen,.02,1,54
22,0,21259,Jason Hill,.02,1,59
22,0,21961,Charles Howell III,.02,2,112
22,0,08075,Jerry Kelly,.02,2,98
22,0,01810,Phil Mickelson,.02,2,94
22,0,23800,Bryce Molder,.02,1,63
22,0,08535,Gary Nicklaus,.02,1,66
22,0,10457,Frank Nobilo,.02,2,94
22,0,01887,Mark O'Meara,.02,1,66
22,0,01927,Dennis Paulson,.02,2,87
22,0,24361,Pat Perez,.02,2,87
22,0,10213,Dicky Pride,.02,1,51
22,0,02104,Jeff Sluman,.02,2,117
22,0,08375,Paul Stankowski,.02,2,98
22,0,26289,Boo Weekley,.02,1,57
22,0,23322,Brett Wetterich,.02,2,87
22,0,02322,Richard Zokol,.02,1,51
49,0,10885,Robert Allenby,.01,1,95
49,0,01024,Billy Andrade,.01,1,96
49,0,01035,Tommy Armour III,.01,1,81
49,0,07223,Brian Bateman,.01,1,91
49,0,07721,Pat Bates,.01,1,91
49,0,20029,Notah Begay III,.01,1,74
49,0,07003,David Berganio Jr.,.01,1,79
49,0,01098,Jay Don Blake,.01,1,105
49,0,08123,Jeff Brehaut,.01,1,87
49,0,01139,Olin Browne,.01,1,104
49,0,01161,Mark Calcavecchia,.01,1,79
49,0,20593,Greg Chalmers,.01,1,91
49,0,12388,Michael Clark II,.01,1,95
49,0,01203,Russ Cochran,.01,1,67
49,0,01219,John Cook,.01,1,82
49,0,23541,Ben Crane,.01,1,89
49,0,08931,Glen Day,.01,1,103
49,0,06036,Scott Dunlap,.01,1,72
49,0,09011,David Duval,.01,1,75
49,0,07457,Steve Flesch,.01,1,105
49,0,23903,Stephen Gangluff,.01,1,75
49,0,21209,Sergio Garcia,.01,1,72
49,0,12645,Brent Geiberger,.01,1,92
49,0,21806,Paul Gow,.01,1,96
49,0,08545,Glen Hnatiuk,.01,1,93
49,0,01553,John Huston,.01,1,96
49,0,08881,Tripp Isenhour,.01,1,68
49,0,08633,Per-Ulrik Johansson,.01,1,87
49,0,10733,Kent Jones,.01,1,103
49,0,01619,Skip Kendall,.01,1,101
49,0,23108,Matt Kuchar,.01,1,82
49,0,01685,J.L. Lewis,.01,1,98
49,0,20502,Michael Long,.01,1,71
49,0,01723,Andrew Magee,.01,1,88
49,0,01797,Rocco Mediate,.01,1,75
49,0,19817,Michael Muehr,.01,1,71
49,0,20572,Rod Pampling,.01,1,94
49,0,10107,Deane Pappas,.01,1,88
49,0,01920,Craig Parry,.01,1,69
49,0,01928,Corey Pavin,.01,1,76
49,0,01938,David Peoples,.01,1,105
49,0,10912,Craig Perks,.01,1,87
49,0,01941,Tom Pernice Jr.,.01,1,99
49,0,01948,Tim Petrovic,.01,1,89
49,0,08553,Lee Porter,.01,1,88
49,0,07749,Brett Quigley,.01,1,92
49,0,02002,John Riegger,.01,1,86
49,0,20127,Chris Riley,.01,1,100
49,0,20645,John Senden,.01,1,93
49,0,02101,Joey Sindelar,.01,1,102
49,0,06567,Vijay Singh,.01,1,96
49,0,22293,Heath Slocum,.01,1,92
49,0,11011,Mike Sposa,.01,1,109
49,0,23177,Kenneth Staton,.01,1,102
49,0,02223,Bob Tway,.01,1,99
49,0,08793,Tiger Woods,.01,1,68
49,0,20566,Kaname Yokoo,.01,1,72
