RANK,MOVEMENT,PLAYER_ID,PLAYER,%
1,0,30925,Dustin Johnson,27.91
2,0,23325,Vaughn Taylor,26.71
3,0,30926,Chris Kirk,26.67
4,0,21209,Sergio Garcia,26.38
5,0,24361,Pat Perez,25.81
6,0,25834,Daniel Summerhays,25.22
7,0,24358,Robert Garrigus,24.88
8,0,25562,Andres Romero,24.73
9,0,25804,Bubba Watson,24.40
10,0,25240,D.A. Points,24.26
11,0,12716,Charley Hoffman,24.25
12,0,30944,Jason Kokrak,24.24
13,0,29221,Webb Simpson,24.17
14,0,27436,Graham DeLaet,23.85
15,0,34021,Bud Cauley,23.81
16,0,06004,Stephen Ames,23.65
17,0,29289,S.Y. Noh,23.47
18,0,21753,Brian Davis,23.44
19,0,24024,Zach Johnson,23.22
20,0,10860,Justin Leonard,23.14
21,0,27963,Chris Stroud,23.08
22,0,23320,Ryan Palmer,23.04
23,0,26331,Charl Schwartzel,22.92
24,0,35539,Luke Guthrie,22.87
25,0,22405,Justin Rose,22.82
26,0,23621,Rory Sabbatini,22.78
27,0,20593,Greg Chalmers,22.69
28,0,23983,Luke Donald,22.58
29,0,23409,James Driscoll,22.55
30,0,06522,Ernie Els,22.40
31,0,34099,Harris English,22.34
31,0,01810,Phil Mickelson,22.34
33,0,31557,Jim Herman,22.29
34,0,33141,Keegan Bradley,22.27
34,0,27649,Brandt Snedeker,22.27
36,0,29420,Billy Horschel,22.26
37,0,06527,Steve Stricker,22.22
38,0,22913,John Rollins,22.17
39,0,21528,Henrik Stenson,22.08
40,0,20691,Greg Owen,22.03
41,0,22792,Peter Hanson,21.97
42,0,28307,Matt Every,21.80
43,0,25345,Carl Pettersson,21.79
44,0,25818,Scott Piercy,21.65
45,0,26758,David Hearn,21.63
46,0,20229,Stewart Cink,21.56
46,0,26596,Ryan Moore,21.56
48,0,22371,Aaron Baddeley,21.52
48,0,24781,Hunter Mahan,21.52
50,0,28092,D.H. Lee,21.51
51,0,20160,Charlie Wi,21.50
52,0,23638,Brendon de Jonge,21.32
53,0,29740,Brad Fritsch,21.28
53,0,35139,Richard Lee,21.28
55,0,34098,Russell Henley,21.21
