RANK,MOVEMENT,PLAYER_ID,PLAYER,%,SUCCESSES,ATTEMPTS,RTP-SUCCESSES,RTP-NOT GOING FOR THE GRN
1,0,06567,Vijay Singh,38.71,36,93,-35,-9.00
2,0,01226,Fred Couples,37.50,18,48,-15,-4.00
2,0,01249,John Daly,37.50,18,48,-23,+4.00
4,0,08535,Gary Nicklaus,37.14,13,35,-12,+7.00
5,0,20498,Briny Baird,36.23,25,69,-27,-12.00
6,0,01948,Tim Petrovic,36.07,22,61,-22,-12.00
7,0,08793,Tiger Woods,35.48,22,62,-21,+1.00
8,0,26289,Boo Weekley,35.29,18,51,-18,+2.00
9,0,01475,Donnie Hammond,33.33,11,33,-9,-8.00
10,0,12823,Carlos Franco,33.01,34,103,-32,-13.00
11,0,09011,David Duval,32.73,18,55,-21,+4.00
12,0,06621,Joe Durant,31.71,13,41,-9,-8.00
13,0,20157,Retief Goosen,31.25,15,48,-14,-9.00
13,0,08375,Paul Stankowski,31.25,25,80,-25,-5.00
15,0,08123,Jeff Brehaut,31.15,19,61,-18,-5.00
16,0,10423,Mike Weir,30.88,21,68,-22,E
17,0,10649,Tom Scherrer,30.00,15,50,-12,-6.00
18,0,20593,Greg Chalmers,29.63,16,54,-14,-2.00
19,0,12660,Jesper Parnevik,29.41,15,51,-17,+10.00
20,0,19824,Craig Barlow,29.27,12,41,-11,-3.00
20,0,20095,Carl Paulson,29.27,24,82,-24,E
22,0,23614,Rich Beem,29.11,23,79,-22,+1.00
23,0,24925,Jonathan Byrd,28.92,24,83,-23,-17.00
24,0,12680,Shigeki Maruyama,28.89,13,45,-15,-15.00
25,0,06197,Michael Allen,28.85,15,52,-17,-12.00
26,0,12645,Brent Geiberger,28.79,19,66,-20,+1.00
27,0,06573,Brandt Jobe,28.75,23,80,-23,-11.00
28,0,20229,Stewart Cink,28.57,16,56,-14,-8.00
28,0,08633,Per-Ulrik Johansson,28.57,16,56,-19,+3.00
28,0,01797,Rocco Mediate,28.57,14,49,-19,-10.00
31,0,01577,Lee Janzen,28.36,19,67,-20,E
32,0,23135,Tim Clark,28.26,13,46,-9,-20.00
33,0,23800,Bryce Molder,28.21,11,39,-11,-3.00
34,0,24937,Jess Daley,28.07,16,57,-16,-5.00
35,0,10885,Robert Allenby,27.84,27,97,-29,-2.00
36,0,01677,Tom Lehman,27.78,10,36,-10,-2.00
36,0,23621,Rory Sabbatini,27.78,15,54,-15,+1.00
38,0,12510,Chad Campbell,27.69,18,65,-19,-22.00
39,0,20502,Michael Long,27.59,16,58,-15,-10.00
40,0,10585,Scott McCarron,27.40,20,73,-21,E
41,0,01381,Fred Funk,27.27,15,55,-18,-27.00
41,0,01706,Davis Love III,27.27,21,77,-25,-6.00
43,0,20572,Rod Pampling,27.14,19,70,-20,-8.00
44,0,19846,Brian Gay,27.08,13,48,-15,-39.00
45,0,07223,Brian Bateman,27.03,20,74,-21,-2.00
45,0,20029,Notah Begay III,27.03,20,74,-21,-9.00
47,0,01810,Phil Mickelson,26.80,26,97,-25,-4.00
48,0,01926,Steve Pate,26.67,8,30,-8,-6.00
48,0,24361,Pat Perez,26.67,16,60,-19,-7.00
50,0,20098,Stuart Appleby,26.44,23,87,-21,-1.00
51,0,06522,Ernie Els,26.42,14,53,-15,E
52,0,01553,John Huston,26.39,19,72,-19,-30.00
53,0,21209,Sergio Garcia,26.32,15,57,-15,E
53,0,01945,Kenny Perry,26.32,25,95,-25,-8.00
55,0,02223,Bob Tway,26.23,16,61,-20,-10.00
56,0,01175,Jim Carter,26.19,11,42,-10,-19.00
57,0,22046,Geoff Ogilvy,26.15,17,65,-14,-9.00
57,0,01941,Tom Pernice Jr.,26.15,17,65,-16,-6.00
59,0,06350,Bob May,25.86,15,58,-17,-11.00
59,0,12663,Phil Tataurangi,25.86,15,58,-18,-10.00
61,0,10565,Ian Leggatt,25.76,17,66,-16,-14.00
62,0,21961,Charles Howell III,25.69,28,109,-27,-1.00
63,0,01024,Billy Andrade,25.61,21,82,-21,-10.00
63,0,01685,J.L. Lewis,25.61,21,82,-19,-21.00
65,0,10809,Jim Furyk,25.58,11,43,-11,-14.00
66,0,23903,Stephen Gangluff,25.53,12,47,-12,+1.00
67,0,01142,Bart Bryant,25.49,13,51,-11,-7.00
67,0,10962,Bradley Hughes,25.49,13,51,-12,-5.00
69,0,01320,Bob Estes,25.00,9,36,-7,-15.00
69,0,06016,Brad Lardon,25.00,10,40,-9,-3.00
69,0,20663,Brenden Pappas,25.00,13,52,-17,+2.00
69,0,10107,Deane Pappas,25.00,17,68,-15,+2.00
69,0,02002,John Riegger,25.00,14,56,-14,-22.00
69,0,06595,Kevin Sutherland,25.00,11,44,-10,E
75,0,22913,John Rollins,24.73,23,93,-25,-15.00
76,0,02101,Joey Sindelar,24.72,22,89,-25,-7.00
77,0,01920,Craig Parry,24.56,14,57,-15,-15.00
78,0,02106,Chris Smith,24.18,22,91,-21,+2.00
79,0,07721,Pat Bates,24.00,12,50,-11,-17.00
79,0,02322,Richard Zokol,24.00,6,25,-5,+1.00
81,0,21806,Paul Gow,23.91,22,92,-23,-3.00
82,0,01927,Dennis Paulson,23.88,16,67,-14,-11.00
83,0,02245,Grant Waite,23.81,20,84,-23,+1.00
84,0,01514,Eduardo Herrera,23.53,12,51,-7,+3.00
85,0,20436,Garrett Willis,23.33,14,60,-14,E
86,0,02214,Kirk Triplett,23.26,10,43,-9,-8.00
87,0,12826,Paul Claxton,23.08,12,52,-13,-5.00
87,0,06575,Dudley Hart,23.08,12,52,-12,-14.00
87,0,02133,Craig Stadler,23.08,9,39,-12,-4.00
90,0,07457,Steve Flesch,22.86,16,70,-18,-2.00
91,0,08881,Tripp Isenhour,22.64,12,53,-10,-7.00
92,0,23541,Ben Crane,22.54,16,71,-18,-10.00
93,0,21633,Steve Allan,22.50,18,80,-19,+9.00
93,0,06809,Bob Burns,22.50,9,40,-8,-16.00
95,0,20645,John Senden,22.35,19,85,-24,-5.00
96,0,23983,Luke Donald,22.22,14,63,-10,-10.00
96,0,10201,Matt Gogel,22.22,8,36,-9,-5.00
96,0,06373,José María Olazábal,22.22,6,27,-6,-14.00
96,0,22293,Heath Slocum,22.22,6,27,-5,-30.00
100,0,01938,David Peoples,22.03,13,59,-17,-20.00
101,0,10912,Craig Perks,21.95,9,41,-11,+2.00
102,0,23125,Brad Elder,21.74,10,46,-11,-7.00
102,0,01329,Brad Faxon,21.74,10,46,-9,-14.00
