RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 240-260,TOTAL DRVS - OVERALL,RELATIVE TO PAR
1,0,34256,Andrew Putnam,10.76%,17,158,E
2,0,29478,Kevin Kisner,10.19%,11,108,+0.18
3,0,36884,Ben Kohles,8.82%,15,170,+0.07
4,0,27649,Brandt Snedeker,8.62%,10,116,+0.50
5,0,40058,Zac Blair,8.54%,14,164,-0.07
6,0,24024,Zach Johnson,8.33%,8,96,+0.13
7,0,23108,Matt Kuchar,8.22%,12,146,+0.25
8,0,27770,Camilo Villegas,7.89%,9,114,-0.11
9,0,30163,Henrik Norlander,7.58%,10,132,-0.30
10,0,26476,Chez Reavie,7.35%,10,136,-0.10
11,0,37275,Sam Ryder,7.33%,11,150,E
12,0,46441,Robby Shelton,6.58%,10,152,+0.10
13,0,55789,Taylor Montgomery,6.48%,7,108,+0.43
14,0,27936,Martin Laird,6.25%,9,144,-0.22
14,0,26596,Ryan Moore,6.25%,9,144,+0.11
16,0,32640,Troy Merritt,6.08%,9,148,+0.22
17,0,30927,Brendon Todd,6.06%,12,198,-0.17
18,0,48119,Ben Taylor,5.65%,7,124,E
19,0,52374,Brandon Wu,5.56%,9,162,+0.11
20,0,34098,Russell Henley,5.48%,8,146,E
21,0,47806,Raul Pereda,5.32%,5,94,+0.20
22,0,51890,Greyson Sigg,5.26%,8,152,+0.25
23,0,27644,Brian Harman,5.17%,9,174,+0.33
23,0,47993,Denny McCarthy,5.17%,9,174,+0.11
25,0,57900,Chandler Phillips,4.82%,8,166,E
26,0,22371,Aaron Baddeley,4.79%,7,146,-0.14
27,0,51287,Ryo Hisatsune,4.76%,8,168,+0.38
28,0,49771,J.T. Poston,4.71%,8,170,+0.25
29,0,52513,Carson Young,4.65%,8,172,E
30,0,40026,Daniel Berger,4.61%,7,152,E
31,0,34076,Joel Dahmen,4.49%,8,178,+0.25
32,0,32366,Kevin Chappell,4.46%,5,112,+0.40
33,0,54783,Dylan Wu,4.38%,7,160,-0.57
34,0,27349,Alex Noren,4.35%,6,138,+0.33
34,0,47347,Adam Schenk,4.35%,8,184,+0.13
36,0,47983,Chad Ramey,4.22%,7,166,+0.43
37,0,35310,Lanto Griffin,4.17%,6,144,E
38,0,28775,Nate Lashley,4.05%,6,148,E
39,0,48887,Matt Wallace,3.91%,5,128,+0.20
40,0,60767,Blaine Hale Jr.,3.85%,4,104,+0.50
41,0,35506,Mackenzie Hughes,3.68%,7,190,E
41,0,48319,Tom Whitney,3.68%,5,136,E
43,0,36326,David Lipsky,3.62%,5,138,+0.40
44,0,33204,Shane Lowry,3.57%,5,140,E
45,0,31646,Emiliano Grillo,3.53%,6,170,E
46,0,46046,Scottie Scheffler,3.52%,5,142,E
47,0,51894,Vince Whaley,3.47%,5,144,+0.80
48,0,51349,Nico Echavarria,3.41%,6,176,E
49,0,32070,Rafael Campos,3.33%,4,120,+0.50
50,0,54628,Lee Hodges,3.30%,6,182,+0.33
51,0,45522,Christiaan Bezuidenhout,3.29%,5,152,+0.40
52,0,46113,Ryan McCormick,3.28%,4,122,-0.50
53,0,47591,Eric Cole,3.27%,7,214,E
54,0,25900,Lucas Glover,3.23%,6,186,-0.17
55,0,60004,Jacob Bridgeman,3.21%,5,156,E
56,0,33399,Adam Hadwin,3.16%,5,158,+0.40
57,0,29535,Brice Garnett,3.13%,3,96,-0.67
57,0,54591,Ben Griffin,3.13%,7,224,+0.14
59,0,35450,Patrick Cantlay,3.08%,4,130,+0.50
60,0,27139,David Skinns,3.05%,5,164,+0.60
61,0,33486,Roger Sloan,3.03%,4,132,E
62,0,52514,Trace Crowe,2.94%,4,136,-0.25
63,0,28089,Jason Day,2.90%,4,138,+0.25
64,0,32367,Jorge Campillo,2.88%,3,104,E
64,0,27330,Josh Teater,2.88%,3,104,E
66,0,47988,Nick Hardy,2.87%,5,174,+0.60
67,0,45609,Tyler Duncan,2.86%,4,140,E
67,0,54576,Patrick Fishburn,2.86%,4,140,+0.25
69,0,55708,Hayden Buckley,2.82%,4,142,-0.25
70,0,59143,Mac Meissner,2.78%,4,144,+0.25
70,0,47679,Victor Perez,2.78%,4,144,+0.25
72,0,46340,Alex Smalley,2.70%,4,148,E
73,0,34099,Harris English,2.69%,5,186,+0.80
74,0,47420,Jake Knapp,2.67%,4,150,E
74,0,34466,Peter Malnati,2.67%,4,150,-0.25
76,0,45157,Cam Davis,2.60%,4,154,E
76,0,32102,Rickie Fowler,2.60%,4,154,+0.25
78,0,39327,Ben Silverman,2.56%,4,156,+0.50
79,0,29908,C.T. Pan,2.54%,3,118,+0.33
80,0,50525,Collin Morikawa,2.53%,4,158,-0.25
81,0,39324,J.J. Spaun,2.50%,4,160,+0.25
81,0,31323,Gary Woodland,2.50%,4,160,+0.75
83,0,39975,Michael Kim,2.47%,4,162,+0.25
84,0,22405,Justin Rose,2.46%,3,122,E
85,0,51997,Andrew Novak,2.41%,4,166,+0.25
85,0,25493,Nick Taylor,2.41%,4,166,E
87,0,34255,Joseph Bramlett,2.38%,4,168,-0.75
87,0,50188,S.H. Kim,2.38%,5,210,+0.20
89,0,55454,Carl Yuan,2.34%,3,128,+0.33
90,0,46414,Aaron Rai,2.33%,4,172,-0.50
91,0,46442,Maverick McNealy,2.17%,4,184,+0.25
91,0,27214,Kevin Streelman,2.17%,3,138,E
93,0,51634,Sahith Theegala,2.15%,4,186,E
94,0,36871,Matt NeSmith,2.08%,3,144,E
94,0,50484,Hayden Springer,2.08%,3,144,E
96,0,40162,Justin Lower,2.06%,4,194,-0.25
97,0,50497,Adrien Dumont de Chassart,2.03%,3,148,-1.00
97,0,32839,Hideki Matsuyama,2.03%,3,148,-0.33
97,0,50493,Justin Suh,2.03%,3,148,-0.33
100,0,36801,Mark Hubbard,2.02%,4,198,-0.25
101,0,33408,Tyson Alexander,2.00%,3,150,+0.33
101,0,35617,Martin Trainer,2.00%,2,100,E
103,0,29221,Webb Simpson,1.96%,2,102,-0.50
104,0,51977,Max Greyserman,1.95%,3,154,E
104,0,30926,Chris Kirk,1.95%,3,154,-0.33
104,0,27129,Luke List,1.95%,3,154,+0.33
104,0,49960,Sepp Straka,1.95%,3,154,-0.33
108,0,33141,Keegan Bradley,1.90%,3,158,E
108,0,55182,Tom Kim,1.90%,3,158,+0.67
108,0,48081,Xander Schauffele,1.90%,3,158,+0.33
111,0,37212,Paul Barjon,1.89%,2,106,+0.50
111,0,50095,Austin Smotherman,1.89%,2,106,E
113,0,34587,Chan Kim,1.88%,3,160,E
114,0,57366,Cameron Young,1.85%,3,162,+0.67
115,0,35461,Beau Hossler,1.76%,3,170,+0.33
116,0,37455,Si Woo Kim,1.70%,3,176,-0.67
117,0,28420,Ryan Brehm,1.67%,2,120,-0.50
117,0,57362,Austin Eckroat,1.67%,3,180,E
117,0,52666,Sami Valimaki,1.67%,2,120,+2.00
120,0,32757,Patton Kizzire,1.61%,2,124,E
121,0,48153,Matthieu Pavon,1.59%,2,126,E
122,0,34563,Chesson Hadley,1.52%,2,132,+1.50
122,0,37378,Min Woo Lee,1.52%,2,132,+1.50
124,0,36699,Patrick Rodgers,1.50%,3,200,+0.67
125,0,35532,Tom Hoge,1.49%,3,202,+0.67
126,0,28237,Rory McIlroy,1.45%,2,138,+2.00
127,0,34046,Jordan Spieth,1.43%,2,140,-0.50
127,0,48699,Callum Tarren,1.43%,2,140,+0.50
129,0,30911,Tommy Fleetwood,1.41%,2,142,-0.50
129,0,24502,Adam Scott,1.41%,2,142,E
131,0,40115,Adam Svensson,1.40%,3,214,E
132,0,27064,Jhonattan Vegas,1.39%,2,144,+1.00
133,0,47504,Sam Burns,1.37%,2,146,E
133,0,45242,Kevin Yu,1.37%,2,146,E
135,0,52955,Ludvig Ãberg,1.33%,2,150,+0.50
136,0,32791,K.H. Lee,1.28%,2,156,E
137,0,39977,Max Homa,1.27%,2,158,+1.00
138,0,39997,Corey Conners,1.15%,2,174,E
139,0,58168,Davis Thompson,1.11%,2,180,-0.50
140,0,52375,Doug Ghim,1.10%,2,182,+1.00
141,0,28252,Seamus Power,1.04%,2,192,-0.50
142,0,55893,Sam Stevens,1.02%,2,196,E
143,0,48084,Wesley Bryan,1.00%,1,100,E
144,0,34374,Erik Barnes,.93%,1,108,+2.00
144,0,34021,Bud Cauley,.93%,1,108,E
146,0,59442,Parker Coody,.91%,1,110,E
147,0,56149,Wilson Furr,.88%,1,114,E
147,0,52453,Nicolai HÃ¸jgaard,.88%,1,114,E
149,0,32333,Kevin Tway,.83%,1,120,+1.00
150,0,47483,Will Zalatoris,.76%,1,132,E
151,0,33653,Thomas Detry,.75%,1,134,-1.00
151,0,33448,Justin Thomas,.75%,1,134,E
153,0,38991,Alejandro Tosti,.72%,1,138,E
154,0,60067,Joe Highsmith,.71%,1,140,E
154,0,12716,Charley Hoffman,.71%,1,140,E
156,0,40098,Matt Fitzpatrick,.70%,1,142,+1.00
156,0,59095,Chris Gotterup,.70%,1,142,E
158,0,52215,Robert MacIntyre,.69%,1,144,E
159,0,47995,Davis Riley,.68%,1,146,-1.00
160,0,33948,Byeong Hun An,.67%,1,150,E
161,0,29420,Billy Horschel,.66%,1,152,+1.00
162,0,59836,Pierceson Coody,.64%,1,156,E
162,0,29936,Ryan Fox,.64%,1,156,+1.00
162,0,48867,Matti Schmid,.64%,1,156,E
165,0,57975,Harry Hall,.63%,1,160,E
165,0,54421,Garrick Higgo,.63%,1,158,E
165,0,36799,Stephan Jaeger,.63%,1,158,+1.00
165,0,48117,Kurt Kitayama,.63%,1,158,+1.00
169,0,39546,Keith Mitchell,.62%,1,162,+1.00
170,0,56630,Akshay Bhatia,.58%,1,172,-1.00
171,0,39971,Sungjae Im,.57%,1,174,E
172,0,52372,Cameron Champ,.00%,0,114,E
172,0,51766,Wyndham Clark,.00%,0,134,E
172,0,47663,Kevin Dougherty,.00%,0,124,E
172,0,59866,Nick Dunlap,.00%,0,134,E
172,0,29725,Tony Finau,.00%,0,158,E
172,0,51696,Rico Hoey,.00%,0,168,E
172,0,46717,Viktor Hovland,.00%,0,114,E
172,0,49947,Taylor Moore,.00%,0,198,E
172,0,51070,Vincent Norrman,.00%,0,98,E
172,0,33968,ThorbjÃ¸rn Olesen,.00%,0,96,E
172,0,23320,Ryan Palmer,.00%,0,84,E
172,0,40250,Taylor Pendrith,.00%,0,152,E
172,0,40006,Erik van Rooyen,.00%,0,158,E
