RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 280-300,TOTAL DRIVES - OVERALL,RELATIVE TO PAR
1,0,29535,Brice Garnett,40.97%,245,598,-0.098
2,0,37455,Si Woo Kim,40.96%,444,1084,-0.151
3,0,36801,Mark Hubbard,39.49%,481,1218,-0.133
4,0,34076,Joel Dahmen,39.13%,396,1012,-0.051
5,0,39327,Ben Silverman,38.78%,380,980,-0.111
6,0,36884,Ben Kohles,38.58%,390,1011,-0.038
7,0,46414,Aaron Rai,38.42%,398,1036,-0.143
8,0,57900,Chandler Phillips,37.98%,392,1032,-0.125
9,0,52513,Carson Young,37.96%,388,1022,-0.103
10,0,33486,Roger Sloan,37.53%,280,746,-0.118
11,0,27644,Brian Harman,37.41%,413,1104,-0.114
12,0,32640,Troy Merritt,37.34%,301,806,-0.113
13,0,23108,Matt Kuchar,37.31%,347,930,-0.043
14,0,28775,Nate Lashley,37.30%,320,858,-0.109
15,0,24024,Zach Johnson,37.17%,223,600,-0.081
16,0,25493,Nick Taylor,37.03%,391,1056,-0.110
17,0,52375,Doug Ghim,36.79%,401,1090,-0.102
18,0,55708,Hayden Buckley,36.57%,305,834,-0.056
18,0,54591,Ben Griffin,36.57%,460,1258,-0.128
20,0,27349,Alex Noren,36.06%,300,832,-0.107
21,0,57362,Austin Eckroat,35.91%,390,1086,-0.036
22,0,40115,Adam Svensson,35.78%,498,1392,-0.100
23,0,50525,Collin Morikawa,35.76%,344,962,-0.078
24,0,22405,Justin Rose,35.75%,266,744,-0.083
25,0,31646,Emiliano Grillo,35.69%,384,1076,-0.044
26,0,51997,Andrew Novak,35.63%,377,1058,-0.080
27,0,46441,Robby Shelton,35.56%,325,914,-0.083
28,0,29420,Billy Horschel,35.45%,329,928,-0.070
28,0,39971,Sungjae Im,35.45%,390,1100,-0.151
30,0,34098,Russell Henley,35.44%,319,900,-0.132
30,0,30163,Henrik Norlander,35.44%,241,680,-0.137
32,0,23320,Ryan Palmer,35.37%,174,492,E
33,0,34466,Peter Malnati,35.28%,333,944,-0.033
34,0,34021,Bud Cauley,35.17%,249,708,-0.072
35,0,54783,Dylan Wu,35.02%,339,968,-0.109
36,0,40162,Justin Lower,34.76%,398,1145,-0.090
37,0,35532,Tom Hoge,34.70%,440,1268,-0.139
38,0,29908,C.T. Pan,34.68%,274,790,-0.029
39,0,36326,David Lipsky,34.49%,278,806,-0.079
40,0,32791,K.H. Lee,34.47%,323,937,-0.077
41,0,54628,Lee Hodges,34.45%,412,1196,-0.044
42,0,55182,Tom Kim,34.42%,347,1008,-0.014
43,0,35461,Beau Hossler,34.40%,377,1096,-0.130
44,0,51349,Nico Echavarria,34.36%,334,972,-0.078
45,0,27649,Brandt Snedeker,34.35%,248,722,-0.048
46,0,32367,Jorge Campillo,34.32%,197,574,-0.056
47,0,60004,Jacob Bridgeman,34.25%,285,832,-0.088
47,0,48319,Tom Whitney,34.25%,237,692,+0.030
49,0,45522,Christiaan Bezuidenhout,34.20%,343,1003,-0.137
50,0,51287,Ryo Hisatsune,34.16%,330,966,-0.064
51,0,22371,Aaron Baddeley,34.03%,277,814,-0.087
52,0,57975,Harry Hall,33.84%,331,978,-0.073
52,0,47993,Denny McCarthy,33.84%,375,1108,-0.155
54,0,51890,Greyson Sigg,33.66%,307,912,-0.062
55,0,33204,Shane Lowry,33.61%,287,854,-0.073
56,0,40058,Zac Blair,33.46%,344,1028,-0.084
57,0,52374,Brandon Wu,33.45%,293,876,-0.048
58,0,37275,Sam Ryder,33.41%,278,832,-0.079
59,0,35506,Mackenzie Hughes,33.36%,389,1166,-0.080
60,0,34563,Chesson Hadley,33.33%,282,846,-0.007
61,0,47983,Chad Ramey,33.30%,317,952,-0.032
62,0,27330,Josh Teater,33.27%,175,526,+0.011
63,0,32102,Rickie Fowler,33.26%,316,950,-0.022
64,0,45609,Tyler Duncan,32.82%,256,780,-0.023
65,0,49960,Sepp Straka,32.68%,302,924,-0.056
66,0,27936,Martin Laird,32.67%,264,808,-0.144
67,0,33968,ThorbjÃ¸rn Olesen,32.66%,179,548,-0.067
68,0,47347,Adam Schenk,32.65%,369,1130,-0.111
69,0,40026,Daniel Berger,32.61%,272,834,-0.070
70,0,50493,Justin Suh,32.56%,280,860,-0.011
71,0,52666,Sami Valimaki,32.53%,255,784,-0.067
72,0,34374,Erik Barnes,32.45%,197,607,+0.066
73,0,47591,Eric Cole,32.41%,433,1336,-0.048
74,0,30911,Tommy Fleetwood,32.37%,290,896,-0.076
75,0,52514,Trace Crowe,32.29%,237,734,-0.093
76,0,35617,Martin Trainer,32.04%,182,568,+0.060
77,0,39977,Max Homa,32.02%,308,962,+0.010
78,0,46442,Maverick McNealy,32.00%,351,1097,-0.125
79,0,29221,Webb Simpson,31.96%,218,682,-0.032
80,0,33399,Adam Hadwin,31.92%,316,990,-0.032
81,0,34099,Harris English,31.78%,347,1092,-0.043
82,0,25900,Lucas Glover,31.69%,341,1076,-0.135
83,0,39975,Michael Kim,31.65%,276,872,+0.004
84,0,50095,Austin Smotherman,31.63%,167,528,-0.132
85,0,26596,Ryan Moore,31.45%,278,884,-0.216
86,0,55789,Taylor Montgomery,31.38%,204,650,-0.029
87,0,28089,Jason Day,31.28%,259,828,-0.066
88,0,32757,Patton Kizzire,31.17%,230,738,-0.061
89,0,32839,Hideki Matsuyama,31.10%,278,894,-0.151
90,0,48153,Matthieu Pavon,30.95%,229,740,+0.026
91,0,26476,Chez Reavie,30.93%,240,776,-0.150
92,0,35310,Lanto Griffin,30.85%,248,804,+0.008
93,0,30927,Brendon Todd,30.69%,380,1238,-0.118
94,0,47806,Raul Pereda,30.65%,152,496,+0.026
95,0,28252,Seamus Power,30.61%,379,1238,-0.071
96,0,49771,J.T. Poston,30.59%,331,1082,-0.085
97,0,29478,Kevin Kisner,30.58%,200,654,-0.015
98,0,27129,Luke List,30.54%,281,920,-0.011
99,0,30926,Chris Kirk,30.47%,287,942,-0.045
100,0,12716,Charley Hoffman,30.29%,255,842,+0.082
101,0,34587,Chan Kim,30.27%,296,978,-0.105
102,0,27770,Camilo Villegas,30.21%,187,619,E
103,0,36871,Matt NeSmith,30.16%,260,862,-0.062
104,0,32366,Kevin Chappell,30.00%,171,570,+0.076
105,0,56630,Akshay Bhatia,29.95%,330,1102,-0.076
106,0,35450,Patrick Cantlay,29.46%,228,774,-0.083
107,0,46717,Viktor Hovland,29.40%,214,728,-0.145
108,0,50497,Adrien Dumont de Chassart,29.35%,236,804,+0.034
108,0,27214,Kevin Streelman,29.35%,233,794,+0.013
108,0,48887,Matt Wallace,29.35%,236,804,-0.093
111,0,59143,Mac Meissner,29.06%,261,898,-0.096
112,0,33408,Tyson Alexander,28.96%,245,846,-0.049
113,0,40098,Matt Fitzpatrick,28.92%,251,868,-0.072
114,0,48117,Kurt Kitayama,28.91%,281,972,-0.157
115,0,47483,Will Zalatoris,28.55%,233,816,+0.009
116,0,39324,J.J. Spaun,28.51%,288,1010,-0.035
117,0,34256,Andrew Putnam,28.49%,298,1046,-0.154
118,0,60067,Joe Highsmith,28.48%,229,804,-0.074
119,0,33653,Thomas Detry,28.35%,254,896,+0.043
120,0,50188,S.H. Kim,28.33%,353,1246,-0.071
121,0,36699,Patrick Rodgers,28.24%,349,1236,-0.037
122,0,46113,Ryan McCormick,28.15%,183,650,+0.022
123,0,59866,Nick Dunlap,28.14%,251,892,-0.064
124,0,39997,Corey Conners,28.11%,307,1092,-0.111
125,0,47995,Davis Riley,28.04%,272,970,+0.004
126,0,32070,Rafael Campos,27.96%,170,608,-0.012
127,0,47988,Nick Hardy,27.78%,295,1062,-0.003
128,0,59442,Parker Coody,27.64%,183,662,+0.082
129,0,27139,David Skinns,27.61%,259,938,-0.058
129,0,55454,Carl Yuan,27.61%,206,746,+0.141
131,0,48119,Ben Taylor,27.47%,206,750,+0.034
132,0,47679,Victor Perez,27.39%,229,836,-0.074
133,0,34046,Jordan Spieth,27.32%,241,882,-0.062
134,0,46046,Scottie Scheffler,26.96%,234,868,-0.197
135,0,51977,Max Greyserman,26.85%,236,879,-0.106
136,0,33141,Keegan Bradley,26.81%,267,996,-0.011
137,0,48867,Matti Schmid,26.78%,233,870,-0.004
138,0,24502,Adam Scott,26.74%,231,864,-0.100
139,0,52215,Robert MacIntyre,26.73%,232,868,-0.043
140,0,51634,Sahith Theegala,26.65%,315,1182,-0.048
141,0,46340,Alex Smalley,26.59%,218,820,+0.046
142,0,49947,Taylor Moore,26.51%,324,1222,-0.028
143,0,28420,Ryan Brehm,26.50%,168,634,+0.119
144,0,51696,Rico Hoey,26.46%,245,926,-0.090
145,0,40006,Erik van Rooyen,26.43%,258,976,-0.039
146,0,45157,Cam Davis,26.39%,265,1004,+0.008
147,0,51894,Vince Whaley,26.20%,196,748,+0.010
148,0,48084,Wesley Bryan,26.12%,128,490,-0.023
149,0,32333,Kevin Tway,26.11%,164,628,-0.159
150,0,45242,Kevin Yu,25.98%,238,916,-0.071
151,0,58168,Davis Thompson,25.95%,287,1106,-0.084
152,0,47420,Jake Knapp,25.83%,248,960,-0.004
153,0,52955,Ludvig Ãberg,25.54%,236,924,-0.093
154,0,55893,Sam Stevens,24.50%,270,1102,+0.022
155,0,54576,Patrick Fishburn,24.29%,188,774,-0.027
156,0,37212,Paul Barjon,24.26%,148,610,+0.074
157,0,52453,Nicolai HÃ¸jgaard,24.12%,150,622,-0.027
158,0,54421,Garrick Higgo,23.68%,207,874,-0.024
159,0,36799,Stephan Jaeger,23.67%,240,1014,-0.113
160,0,60767,Blaine Hale Jr.,23.57%,124,526,+0.121
161,0,29936,Ryan Fox,23.26%,221,950,+0.009
162,0,39546,Keith Mitchell,23.19%,244,1052,-0.041
163,0,29725,Tony Finau,22.67%,224,988,-0.116
164,0,33448,Justin Thomas,22.58%,187,828,-0.102
165,0,47504,Sam Burns,21.60%,200,926,-0.050
166,0,50484,Hayden Springer,21.58%,167,774,-0.048
167,0,57366,Cameron Young,21.43%,216,1008,-0.079
168,0,56149,Wilson Furr,21.14%,134,634,+0.007
169,0,40250,Taylor Pendrith,20.99%,207,986,-0.087
170,0,38991,Alejandro Tosti,20.97%,177,844,+0.181
171,0,51766,Wyndham Clark,20.83%,180,864,-0.078
172,0,51070,Vincent Norrman,20.59%,132,641,+0.167
173,0,48699,Callum Tarren,20.45%,164,802,+0.116
174,0,48081,Xander Schauffele,20.15%,193,958,-0.104
175,0,27064,Jhonattan Vegas,19.88%,167,840,-0.048
176,0,34255,Joseph Bramlett,19.58%,195,996,-0.036
177,0,59836,Pierceson Coody,19.37%,167,862,+0.048
178,0,31323,Gary Woodland,19.22%,191,994,+0.037
179,0,28237,Rory McIlroy,18.63%,161,864,-0.081
180,0,52372,Cameron Champ,18.25%,123,674,+0.016
181,0,37378,Min Woo Lee,17.77%,145,816,E
182,0,47663,Kevin Dougherty,17.59%,121,688,+0.033
183,0,59095,Chris Gotterup,17.27%,157,909,+0.057
184,0,33948,Byeong Hun An,16.20%,150,926,-0.073
