RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG (%),TOTAL SHOT DISTANCE,TOTAL DISTANCE
1,0,47663,Kevin Dougherty,70.15%,157738.0,224865
2,0,38991,Alejandro Tosti,69.76%,193998.4,278096
3,0,39546,Keith Mitchell,69.61%,243487.1,349783
4,0,33948,Byeong Hun An,69.40%,218424.1,314711
5,0,55893,Sam Stevens,69.28%,247587.4,357386
6,0,52372,Cameron Champ,69.08%,151373.6,219133
7,0,34255,Joseph Bramlett,69.06%,223210.5,323208
8,0,56149,Wilson Furr,69.04%,140264.5,203157
9,0,59836,Pierceson Coody,69.02%,198654.2,287819
10,0,37378,Min Woo Lee,69.00%,190588.1,276199
11,0,50484,Hayden Springer,68.94%,167103.6,242381
12,0,59095,Chris Gotterup,68.85%,208846.0,303345
13,0,54576,Patrick Fishburn,68.84%,167673.7,243566
13,0,40250,Taylor Pendrith,68.84%,232809.5,338198
15,0,57366,Cameron Young,68.77%,233664.9,339790
16,0,51766,Wyndham Clark,68.71%,201321.0,293003
17,0,45242,Kevin Yu,68.67%,206939.8,301346
18,0,34046,Jordan Spieth,68.63%,206070.2,300257
19,0,52955,Ludvig Ãberg,68.61%,207434.3,302348
20,0,37212,Paul Barjon,68.60%,137611.4,200592
21,0,28237,Rory McIlroy,68.58%,201201.0,293382
22,0,54421,Garrick Higgo,68.57%,196934.1,287216
23,0,29936,Ryan Fox,68.47%,221122.6,322927
24,0,27129,Luke List,68.46%,207425.6,303000
25,0,27064,Jhonattan Vegas,68.44%,192767.2,281648
26,0,47988,Nick Hardy,68.41%,240808.0,352005
27,0,40006,Erik van Rooyen,68.37%,225598.6,329988
28,0,60767,Blaine Hale Jr.,68.34%,116411.8,170336
29,0,48084,Wesley Bryan,68.32%,110532.7,161797
29,0,36699,Patrick Rodgers,68.32%,276482.0,404685
31,0,24502,Adam Scott,68.25%,203855.9,298676
31,0,48699,Callum Tarren,68.25%,174114.4,255114
33,0,47995,Davis Riley,68.18%,217697.1,319288
34,0,47504,Sam Burns,68.17%,214270.8,314299
35,0,55454,Carl Yuan,68.16%,167404.6,245603
36,0,28420,Ryan Brehm,68.11%,139366.6,204616
37,0,46717,Viktor Hovland,68.08%,167591.7,246181
38,0,46113,Ryan McCormick,68.04%,144059.8,211743
39,0,32333,Kevin Tway,68.03%,137493.2,202104
40,0,36799,Stephan Jaeger,68.00%,234574.4,344941
41,0,39975,Michael Kim,67.99%,191387.2,281476
41,0,51070,Vincent Norrman,67.99%,147330.5,216698
43,0,46046,Scottie Scheffler,67.98%,201140.7,295900
44,0,51696,Rico Hoey,67.97%,207614.1,305455
45,0,46340,Alex Smalley,67.94%,183487.3,270092
46,0,51894,Vince Whaley,67.93%,161437.1,237644
47,0,52514,Trace Crowe,67.87%,161905.4,238569
48,0,32366,Kevin Chappell,67.82%,124714.9,183902
48,0,49947,Taylor Moore,67.82%,271438.4,400260
50,0,29725,Tony Finau,67.79%,227586.8,335700
51,0,50095,Austin Smotherman,67.75%,110810.9,163563
52,0,60067,Joe Highsmith,67.72%,172346.3,254511
53,0,50497,Adrien Dumont de Chassart,67.67%,175118.9,258782
54,0,33448,Justin Thomas,67.60%,189432.9,280219
55,0,35450,Patrick Cantlay,67.55%,177209.3,262351
55,0,48117,Kurt Kitayama,67.55%,223784.3,331284
57,0,39997,Corey Conners,67.54%,249450.8,369330
57,0,51634,Sahith Theegala,67.54%,270648.4,400741
59,0,51977,Max Greyserman,67.51%,204272.5,302569
60,0,35461,Beau Hossler,67.48%,247927.8,367408
60,0,48867,Matti Schmid,67.48%,193180.6,286286
62,0,48081,Xander Schauffele,67.47%,217399.6,322222
63,0,57975,Harry Hall,67.45%,220599.2,327040
64,0,47347,Adam Schenk,67.43%,248921.0,369162
65,0,45609,Tyler Duncan,67.41%,175507.2,260354
66,0,35617,Martin Trainer,67.40%,127033.2,188467
67,0,12716,Charley Hoffman,67.39%,189780.4,281624
67,0,39324,J.J. Spaun,67.39%,224802.8,333604
69,0,32070,Rafael Campos,67.31%,134421.8,199707
69,0,31323,Gary Woodland,67.31%,224772.8,333926
71,0,56630,Akshay Bhatia,67.29%,252959.7,375922
72,0,60004,Jacob Bridgeman,67.23%,186257.7,277038
