RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:ARG,MEASURED ROUNDS
1,0,22405,Justin Rose,.567,30.048,53
2,0,20593,Greg Chalmers,.459,34.443,75
3,0,23983,Luke Donald,.430,20.628,48
3,0,20160,Charlie Wi,.430,31.414,73
5,0,22348,Nick O'Hern,.424,28.821,68
6,0,01810,Phil Mickelson,.398,23.873,60
7,0,34021,Bud Cauley,.388,35.339,91
8,0,20766,Padraig Harrington,.384,17.277,45
8,0,22378,Trevor Immelman,.384,21.901,57
10,0,24357,K.J. Choi,.382,21.371,56
11,0,29221,Webb Simpson,.371,24.485,66
12,0,27895,Jonas Blixt,.367,23.486,64
13,0,01320,Bob Estes,.347,22.523,65
14,0,27963,Chris Stroud,.325,24.396,75
15,0,27649,Brandt Snedeker,.316,20.544,65
16,0,23108,Matt Kuchar,.309,20.398,66
17,0,19846,Brian Gay,.293,22.888,78
18,0,21209,Sergio Garcia,.283,12.453,44
19,0,28089,Jason Day,.275,12.946,47
19,0,10809,Jim Furyk,.275,17.873,65
21,0,24924,Bill Haas,.273,16.638,61
21,0,28237,Rory McIlroy,.273,10.937,40
23,0,21961,Charles Howell III,.270,20.785,77
24,0,32200,Roberto Castro,.269,20.193,75
25,0,25632,Jimmy Walker,.258,23.493,91
26,0,08075,Jerry Kelly,.245,17.882,73
27,0,24361,Pat Perez,.232,16.027,69
28,0,26758,David Hearn,.231,20.366,88
29,0,29926,Danny Lee,.230,13.583,59
30,0,10860,Justin Leonard,.227,15.460,68
31,0,25686,Jason Dufner,.222,14.195,64
32,0,31558,J.J. Killeen,.213,17.903,84
33,0,06567,Vijay Singh,.212,17.137,81
34,0,01941,Tom Pernice Jr.,.209,10.883,52
35,0,24138,Ian Poulter,.207,7.856,38
36,0,27060,John Mallinger,.206,12.973,63
36,0,25396,Kevin Na,.206,13.395,65
38,0,20572,Rod Pampling,.203,14.016,69
38,0,24502,Adam Scott,.203,8.326,41
40,0,21350,Ryuji Imada,.196,13.516,69
41,0,23541,Ben Crane,.195,12.094,62
42,0,08793,Tiger Woods,.194,9.314,48
43,0,26851,Marc Leishman,.193,14.678,76
44,0,28500,Martin Flores,.192,15.738,82
45,0,28307,Matt Every,.191,12.228,64
46,0,08725,Tom Gillis,.189,13.033,69
46,0,02206,David Toms,.189,8.311,44
48,0,23800,Bryce Molder,.188,13.327,71
49,0,27141,J.B. Holmes,.186,14.521,78
50,0,27466,Spencer Levin,.180,11.847,66
51,0,24024,Zach Johnson,.176,13.003,74
52,0,21528,Henrik Stenson,.169,7.100,42
53,0,12782,Tim Herron,.163,12.376,76
54,0,23325,Vaughn Taylor,.160,10.252,64
55,0,20098,Stuart Appleby,.158,10.272,65
56,0,22371,Aaron Baddeley,.152,8.343,55
57,0,24140,Sean O'Hair,.149,11.295,76
58,0,06527,Steve Stricker,.147,7.913,54
59,0,32366,Kevin Chappell,.138,9.957,72
60,0,23353,J.J. Henry,.133,9.420,71
61,0,01766,Billy Mayfair,.131,10.236,78
62,0,23621,Rory Sabbatini,.129,9.283,72
63,0,22046,Geoff Ogilvy,.127,6.996,55
64,0,29289,S.Y. Noh,.122,10.351,85
65,0,26300,Matt Jones,.112,4.932,44
66,0,22913,John Rollins,.107,7.627,71
67,0,33122,Russell Knox,.105,5.866,56
68,0,29478,Kevin Kisner,.103,5.478,53
69,0,27644,Brian Harman,.101,8.857,88
70,0,01797,Rocco Mediate,.100,5.802,58
71,0,20574,Mathew Goggin,.099,5.470,55
72,0,30927,Brendon Todd,.094,5.929,63
73,0,22548,Patrick Sheehan,.092,4.057,44
74,0,21753,Brian Davis,.090,7.146,79
75,0,06034,Marco Dawson,.084,3.880,46
76,0,23718,Nathan Green,.083,4.745,57
77,0,06251,Chris DiMarco,.079,5.707,72
78,0,24846,Ricky Barnes,.075,6.171,82
79,0,29222,Billy Hurley III,.072,4.079,57
80,0,35139,Richard Lee,.071,4.074,57
81,0,21878,Mark Wilson,.069,4.668,68
82,0,20850,Daniel Chopra,.068,2.941,43
83,0,10213,Dicky Pride,.064,3.135,49
84,0,25804,Bubba Watson,.059,2.990,51
85,0,24925,Jonathan Byrd,.058,3.256,56
86,0,25345,Carl Pettersson,.049,3.929,80
87,0,25834,Daniel Summerhays,.045,3.035,68
88,0,23548,Bill Lunde,.044,2.974,67
89,0,26331,Charl Schwartzel,.039,1.577,40
90,0,22621,Ben Curtis,.036,1.750,48
91,0,32102,Rickie Fowler,.034,2.225,66
92,0,19970,Robert Karlsson,.030,1.245,41
93,0,27214,Kevin Streelman,.028,2.179,77
94,0,21731,Freddie Jacobson,.020,.862,44
95,0,33120,Mark Anderson,.017,1.033,61
96,0,20691,Greg Owen,.012,.933,77
97,0,26329,Louis Oosthuizen,.006,.291,49
98,0,33419,Cameron Tringale,.003,.237,77
99,0,23638,Brendon de Jonge,.000,.007,102
99,0,23409,James Driscoll,.000,-.029,70
101,0,28308,Troy Kelly,-.001,-.046,51
101,0,27330,Josh Teater,-.001,-.090,83
103,0,22961,David Mathis,-.002,-.131,69
104,0,25240,D.A. Points,-.003,-.215,80
105,0,12510,Chad Campbell,-.004,-.311,73
106,0,06522,Ernie Els,-.006,-.418,65
107,0,27095,Nick Watney,-.007,-.558,76
108,0,26596,Ryan Moore,-.009,-.769,81
109,0,01116,Michael Bradley,-.010,-.567,55
110,0,23135,Tim Clark,-.014,-.694,50
111,0,20645,John Senden,-.016,-.977,62
112,0,20104,Ken Duke,-.023,-2.063,90
113,0,34174,John Huh,-.025,-2.104,85
114,0,30925,Dustin Johnson,-.035,-1.839,53
115,0,30926,Chris Kirk,-.037,-3.131,85
116,0,01706,Davis Love III,-.038,-1.976,52
117,0,25818,Scott Piercy,-.042,-3.611,86
118,0,30110,Kyle Stanley,-.043,-3.011,70
119,0,30944,Jason Kokrak,-.045,-3.109,69
120,0,31202,William McGirt,-.047,-3.734,79
120,0,27933,John Merrick,-.047,-3.382,72
122,0,25562,Andres Romero,-.049,-2.662,54
123,0,30711,Colt Knost,-.053,-3.578,67
123,0,24490,George McNeill,-.053,-3.771,71
125,0,29910,Blake Adams,-.057,-5.046,88
126,0,23204,Gary Christian,-.067,-5.030,75
127,0,29476,Kyle Reifers,-.074,-5.482,74
128,0,20070,Matt Bettencourt,-.077,-4.635,60
129,0,28475,Jeff Overton,-.080,-7.367,92
130,0,21407,Arjun Atwal,-.084,-5.537,66
131,0,06004,Stephen Ames,-.097,-3.778,39
132,0,27936,Martin Laird,-.099,-5.372,54
133,0,26476,Chez Reavie,-.101,-6.638,66
134,0,30852,Ryo Ishikawa,-.104,-3.856,37
135,0,28093,Miguel Angel Carballo,-.106,-6.067,57
136,0,29518,Brendan Steele,-.112,-7.158,64
137,0,29420,Billy Horschel,-.116,-5.547,48
138,0,27770,Camilo Villegas,-.117,-8.576,73
139,0,24781,Hunter Mahan,-.122,-7.787,64
140,0,12716,Charley Hoffman,-.123,-9.319,76
141,0,34099,Harris English,-.124,-10.794,87
142,0,20848,Ángel Cabrera,-.126,-4.664,37
143,0,33141,Keegan Bradley,-.127,-9.013,71
144,0,27064,Jhonattan Vegas,-.135,-9.291,69
145,0,23788,D.J. Trahan,-.150,-9.279,62
146,0,24494,Erik Compton,-.155,-9.928,64
147,0,22293,Heath Slocum,-.158,-11.812,75
148,0,24507,Jason Bohn,-.162,-10.688,66
148,0,26289,Boo Weekley,-.162,-9.379,58
150,0,28455,Will Claxton,-.163,-14.026,86
